"","OTU","Sample","Abundance","collection_date","host_disease","sample_type","author","host_subtype","Collection","Kingdom","Phylum"
"734","ASV3","SRR11944246",4526,"2017-08","IBS","stool","Fukui","IBS-unspecified","1st","Bacteria","Actinobacteriota"
"743","ASV3","SRR11944165",4383,"2018-05","Healthy","stool","Fukui","HC","1st","Bacteria","Actinobacteriota"
"731","ASV3","SRR11944164",4367,"2018-04","Healthy","stool","Fukui","HC","1st","Bacteria","Actinobacteriota"
"699","ASV3","SRR11944223",4066,"2017-04","IBS","stool","Fukui","IBS-unspecified","1st","Bacteria","Actinobacteriota"
"416","ASV24","SRR11944235",4037,"2017-11","IBS","stool","Fukui","IBS-unspecified","1st","Bacteria","Fusobacteriota"
"711","ASV3","SRR11944224",4006,"2017-09","IBS","stool","Fukui","IBS-unspecified","1st","Bacteria","Actinobacteriota"
"663","ASV3","SRR11944200",4000,"2017-07","IBS","stool","Fukui","IBS-unspecified","1st","Bacteria","Actinobacteriota"
"754","ASV3","SRR11944158",3902,"2017-07","IBS","stool","Fukui","IBS-unspecified","1st","Bacteria","Actinobacteriota"
"362","ASV24","SRR11944207",3876,"2017-06","IBS","stool","Fukui","IBS-unspecified","1st","Bacteria","Fusobacteriota"
"720","ASV3","SRR11944180",3726,"2017-07","IBS","stool","Fukui","IBS-unspecified","1st","Bacteria","Actinobacteriota"
"712","ASV3","SRR11944214",3713,"2018-04","Healthy","stool","Fukui","HC","1st","Bacteria","Actinobacteriota"
"765","ASV3","SRR11944169",3673,"2018-04","Healthy","stool","Fukui","HC","1st","Bacteria","Actinobacteriota"
"715","ASV3","SRR11944193",3636,"2017-08","IBS","stool","Fukui","IBS-unspecified","1st","Bacteria","Actinobacteriota"
"440","ASV24","SRR11944244",3549,"2017-08","IBS","stool","Fukui","IBS-unspecified","1st","Bacteria","Fusobacteriota"
"685","ASV3","SRR11944140",3467,"2017-06","IBS","stool","Fukui","IBS-unspecified","1st","Bacteria","Actinobacteriota"
"751","ASV3","SRR11944196",3466,"2017-07","IBS","stool","Fukui","IBS-unspecified","1st","Bacteria","Actinobacteriota"
"738","ASV3","SRR11944243",3462,"2017-06","IBS","stool","Fukui","IBS-unspecified","1st","Bacteria","Actinobacteriota"
"686","ASV3","SRR11944232",3373,"2017-02","IBS","stool","Fukui","IBS-unspecified","1st","Bacteria","Actinobacteriota"
"666","ASV3","SRR11944170",3250,"2017-10","IBS","stool","Fukui","IBS-unspecified","1st","Bacteria","Actinobacteriota"
"584","ASV27","SRR11944243",3183,"2017-06","IBS","stool","Fukui","IBS-unspecified","1st","Bacteria","Proteobacteria"
"763","ASV3","SRR11944197",3155,"2017-11","IBS","stool","Fukui","IBS-unspecified","1st","Bacteria","Actinobacteriota"
"11","ASV1","SRR11944160",3029,"2017-05","IBS","stool","Fukui","IBS-unspecified","1st","Bacteria","Bacteroidota"
"745","ASV3","SRR11944155",3027,"2017-03","IBS","stool","Fukui","IBS-unspecified","1st","Bacteria","Actinobacteriota"
"554","ASV27","SRR11944139",2913,"2017-09","IBS","stool","Fukui","IBS-unspecified","1st","Bacteria","Proteobacteria"
"752","ASV3","SRR11944186",2855,"2018-04","Healthy","stool","Fukui","HC","1st","Bacteria","Actinobacteriota"
"608","ASV27","SRR11944245",2847,"2017-09","IBS","stool","Fukui","IBS-unspecified","1st","Bacteria","Proteobacteria"
"705","ASV3","SRR11944145",2836,"2017-07","IBS","stool","Fukui","IBS-unspecified","1st","Bacteria","Actinobacteriota"
"706","ASV3","SRR11944237",2801,"2017-09","IBS","stool","Fukui","IBS-unspecified","1st","Bacteria","Actinobacteriota"
"768","ASV3","SRR11944219",2684,"2017-10","IBS","stool","Fukui","IBS-unspecified","1st","Bacteria","Actinobacteriota"
"621","ASV27","SRR11944198",2676,"2017-07","IBS","stool","Fukui","IBS-unspecified","1st","Bacteria","Proteobacteria"
"343","ASV24","SRR11944200",2596,"2017-07","IBS","stool","Fukui","IBS-unspecified","1st","Bacteria","Fusobacteriota"
"557","ASV27","SRR11944233",2586,"2017-08","IBS","stool","Fukui","IBS-unspecified","1st","Bacteria","Proteobacteria"
"707","ASV3","SRR11944162",2496,"2017-09","IBS","stool","Fukui","IBS-unspecified","1st","Bacteria","Actinobacteriota"
"669","ASV3","SRR11944206",2427,"2018-03","Healthy","stool","Fukui","HC","1st","Bacteria","Actinobacteriota"
"565","ASV27","SRR11944144",2375,"2018-04","IBS","stool","Fukui","IBS-unspecified","1st","Bacteria","Proteobacteria"
"750","ASV3","SRR11944244",2363,"2017-08","IBS","stool","Fukui","IBS-unspecified","1st","Bacteria","Actinobacteriota"
"676","ASV3","SRR11944173",2360,"2017-09","IBS","stool","Fukui","IBS-unspecified","1st","Bacteria","Actinobacteriota"
"397","ASV24","SRR11944220",2354,"2018-02","IBS","stool","Fukui","IBS-unspecified","1st","Bacteria","Fusobacteriota"
"672","ASV3","SRR11944176",2348,"2018-03","Healthy","stool","Fukui","HC","1st","Bacteria","Actinobacteriota"
"661","ASV3","SRR11944175",2333,"2017-11","IBS","stool","Fukui","IBS-unspecified","1st","Bacteria","Actinobacteriota"
"695","ASV3","SRR11944161",2153,"2017-07","IBS","stool","Fukui","IBS-unspecified","1st","Bacteria","Actinobacteriota"
"143","ASV11","SRR11944143",2151,"2017-03","IBS","stool","Fukui","IBS-unspecified","1st","Bacteria","Firmicutes"
"599","ASV27","SRR11944149",2142,"2017-09","IBS","stool","Fukui","IBS-unspecified","1st","Bacteria","Proteobacteria"
"727","ASV3","SRR11944194",2136,"2018-03","Healthy","stool","Fukui","HC","1st","Bacteria","Actinobacteriota"
"741","ASV3","SRR11944167",2044,"2018-05","IBS","stool","Fukui","IBS-unspecified","1st","Bacteria","Actinobacteriota"
"732","ASV3","SRR11944181",2039,"2018-03","IBS","stool","Fukui","IBS-unspecified","1st","Bacteria","Actinobacteriota"
"610","ASV27","SRR11944215",1974,"2017-09","IBS","stool","Fukui","IBS-unspecified","1st","Bacteria","Proteobacteria"
"136","ASV11","SRR11944231",1949,"2017-05","IBS","stool","Fukui","IBS-unspecified","1st","Bacteria","Firmicutes"
"690","ASV3","SRR11944239",1920,"2018-05","IBS","stool","Fukui","IBS-unspecified","1st","Bacteria","Actinobacteriota"
"682","ASV3","SRR11944235",1887,"2017-11","IBS","stool","Fukui","IBS-unspecified","1st","Bacteria","Actinobacteriota"
"677","ASV3","SRR11944146",1858,"2018-04","IBS","stool","Fukui","IBS-unspecified","1st","Bacteria","Actinobacteriota"
"680","ASV3","SRR11944208",1823,"2018-01","IBS","stool","Fukui","IBS-unspecified","1st","Bacteria","Actinobacteriota"
"587","ASV27","SRR11944148",1784,"2018-03","IBS","stool","Fukui","IBS-unspecified","1st","Bacteria","Proteobacteria"
"406","ASV24","SRR11944159",1742,"2017-09","IBS","stool","Fukui","IBS-unspecified","1st","Bacteria","Fusobacteriota"
"589","ASV27","SRR11944192",1715,"2017-08","IBS","stool","Fukui","IBS-unspecified","1st","Bacteria","Proteobacteria"
"716","ASV3","SRR11944211",1683,"2018-02","IBS","stool","Fukui","IBS-unspecified","1st","Bacteria","Actinobacteriota"
"630","ASV27","SRR11944220",1650,"2018-02","IBS","stool","Fukui","IBS-unspecified","1st","Bacteria","Proteobacteria"
"774","ASV326","SRR11944205",1602,"2018-01","IBS","stool","Fukui","IBS-unspecified","1st","Bacteria","Verrucomicrobiota"
"757","ASV3","SRR11944230",1583,"2017-07","IBS","stool","Fukui","IBS-unspecified","1st","Bacteria","Actinobacteriota"
"758","ASV3","SRR11944229",1534,"2017-10","IBS","stool","Fukui","IBS-unspecified","1st","Bacteria","Actinobacteriota"
"631","ASV27","SRR11944155",1525,"2017-03","IBS","stool","Fukui","IBS-unspecified","1st","Bacteria","Proteobacteria"
"612","ASV27","SRR11944242",1443,"2018-05","IBS","stool","Fukui","IBS-unspecified","1st","Bacteria","Proteobacteria"
"742","ASV3","SRR11944166",1430,"2018-04","Healthy","stool","Fukui","HC","1st","Bacteria","Actinobacteriota"
"624","ASV27","SRR11944179",1402,"2018-02","Healthy","stool","Fukui","HC","1st","Bacteria","Proteobacteria"
"670","ASV3","SRR11944205",1394,"2018-01","IBS","stool","Fukui","IBS-unspecified","1st","Bacteria","Actinobacteriota"
"422","ASV24","SRR11944241",1289,"2018-05","IBS","stool","Fukui","IBS-unspecified","1st","Bacteria","Fusobacteriota"
"613","ASV27","SRR11944194",1280,"2018-03","Healthy","stool","Fukui","HC","1st","Bacteria","Proteobacteria"
"736","ASV3","SRR11944216",1280,"2018-04","Healthy","stool","Fukui","HC","1st","Bacteria","Actinobacteriota"
"618","ASV27","SRR11944219",1279,"2017-10","IBS","stool","Fukui","IBS-unspecified","1st","Bacteria","Proteobacteria"
"340","ASV24","SRR11944222",1234,"2017-09","IBS","stool","Fukui","IBS-unspecified","1st","Bacteria","Fusobacteriota"
"688","ASV3","SRR11944174",1225,"2017-07","IBS","stool","Fukui","IBS-unspecified","1st","Bacteria","Actinobacteriota"
"698","ASV3","SRR11944233",1211,"2017-08","IBS","stool","Fukui","IBS-unspecified","1st","Bacteria","Actinobacteriota"
"662","ASV3","SRR11944201",1189,"2018-01","IBS","stool","Fukui","IBS-unspecified","1st","Bacteria","Actinobacteriota"
"604","ASV27","SRR11944248",1182,"2017-08","IBS","stool","Fukui","IBS-unspecified","1st","Bacteria","Proteobacteria"
"650","ASV27","SRR11944161",1176,"2017-07","IBS","stool","Fukui","IBS-unspecified","1st","Bacteria","Proteobacteria"
"609","ASV27","SRR11944197",1175,"2017-11","IBS","stool","Fukui","IBS-unspecified","1st","Bacteria","Proteobacteria"
"708","ASV3","SRR11944179",1137,"2018-02","Healthy","stool","Fukui","HC","1st","Bacteria","Actinobacteriota"
"755","ASV3","SRR11944184",1131,"2018-02","Healthy","stool","Fukui","HC","1st","Bacteria","Actinobacteriota"
"767","ASV3","SRR11944220",1129,"2018-02","IBS","stool","Fukui","IBS-unspecified","1st","Bacteria","Actinobacteriota"
"558","ASV27","SRR11944223",1120,"2017-04","IBS","stool","Fukui","IBS-unspecified","1st","Bacteria","Proteobacteria"
"709","ASV3","SRR11944142",1114,"2017-07","IBS","stool","Fukui","IBS-unspecified","1st","Bacteria","Actinobacteriota"
"728","ASV3","SRR11944212",1102,"2018-04","Healthy","stool","Fukui","HC","1st","Bacteria","Actinobacteriota"
"490","ASV247","SRR11944240",1098,"2017-07","IBS","stool","Fukui","IBS-unspecified","1st","Bacteria","Desulfobacterota"
"648","ASV27","SRR11944181",1093,"2018-03","IBS","stool","Fukui","IBS-unspecified","1st","Bacteria","Proteobacteria"
"606","ASV27","SRR11944218",1089,"2018-04","Healthy","stool","Fukui","HC","1st","Bacteria","Proteobacteria"
"652","ASV27","SRR11944185",1088,"2018-05","IBS","stool","Fukui","IBS-unspecified","1st","Bacteria","Proteobacteria"
"491","ASV247","SRR11944192",1079,"2017-08","IBS","stool","Fukui","IBS-unspecified","1st","Bacteria","Desulfobacterota"
"583","ASV27","SRR11944206",1078,"2018-03","Healthy","stool","Fukui","HC","1st","Bacteria","Proteobacteria"
"588","ASV27","SRR11944240",1059,"2017-07","IBS","stool","Fukui","IBS-unspecified","1st","Bacteria","Proteobacteria"
"552","ASV27","SRR11944202",1057,"2018-04","Healthy","stool","Fukui","HC","1st","Bacteria","Proteobacteria"
"626","ASV27","SRR11944168",1056,"2018-04","Healthy","stool","Fukui","HC","1st","Bacteria","Proteobacteria"
"664","ASV3","SRR11944172",1048,"2018-03","Healthy","stool","Fukui","HC","1st","Bacteria","Actinobacteriota"
"568","ASV27","SRR11944235",1029,"2017-11","IBS","stool","Fukui","IBS-unspecified","1st","Bacteria","Proteobacteria"
"634","ASV27","SRR11944189",1027,"2018-07","IBS","stool","Fukui","IBS-unspecified","1st","Bacteria","Proteobacteria"
"533","ASV247","SRR11944155",1012,"2017-03","IBS","stool","Fukui","IBS-unspecified","1st","Bacteria","Desulfobacterota"
"659","ASV27","SRR11944164",1010,"2018-04","Healthy","stool","Fukui","HC","1st","Bacteria","Proteobacteria"
"740","ASV3","SRR11944185",991,"2018-05","IBS","stool","Fukui","IBS-unspecified","1st","Bacteria","Actinobacteriota"
"341","ASV24","SRR11944212",982,"2018-04","Healthy","stool","Fukui","HC","1st","Bacteria","Fusobacteriota"
"673","ASV3","SRR11944139",978,"2017-09","IBS","stool","Fukui","IBS-unspecified","1st","Bacteria","Actinobacteriota"
"766","ASV3","SRR11944159",978,"2017-09","IBS","stool","Fukui","IBS-unspecified","1st","Bacteria","Actinobacteriota"
"616","ASV27","SRR11944249",977,"2017-06","IBS","stool","Fukui","IBS-unspecified","1st","Bacteria","Proteobacteria"
"586","ASV27","SRR11944213",976,"2018-02","Healthy","stool","Fukui","HC","1st","Bacteria","Proteobacteria"
"441","ASV247","SRR11944205",964,"2018-01","IBS","stool","Fukui","IBS-unspecified","1st","Bacteria","Desulfobacterota"
"596","ASV27","SRR11944244",964,"2017-08","IBS","stool","Fukui","IBS-unspecified","1st","Bacteria","Proteobacteria"
"667","ASV3","SRR11944202",963,"2018-04","Healthy","stool","Fukui","HC","1st","Bacteria","Actinobacteriota"
"700","ASV3","SRR11944213",941,"2018-02","Healthy","stool","Fukui","HC","1st","Bacteria","Actinobacteriota"
"760","ASV3","SRR11944218",940,"2018-04","Healthy","stool","Fukui","HC","1st","Bacteria","Actinobacteriota"
"744","ASV3","SRR11944182",935,"2017-08","IBS","stool","Fukui","IBS-unspecified","1st","Bacteria","Actinobacteriota"
"595","ASV27","SRR11944207",926,"2017-06","IBS","stool","Fukui","IBS-unspecified","1st","Bacteria","Proteobacteria"
"717","ASV3","SRR11944156",918,"2017-12","IBS","stool","Fukui","IBS-unspecified","1st","Bacteria","Actinobacteriota"
"593","ASV27","SRR11944227",916,"2018-02","IBS","stool","Fukui","IBS-unspecified","1st","Bacteria","Proteobacteria"
"146","ASV11","SRR11944177",915,"2017-03","IBS","stool","Fukui","IBS-unspecified","1st","Bacteria","Firmicutes"
"764","ASV3","SRR11944187",910,"2018-07","IBS","stool","Fukui","IBS-unspecified","1st","Bacteria","Actinobacteriota"
"394","ASV24","SRR11944158",903,"2017-07","IBS","stool","Fukui","IBS-unspecified","1st","Bacteria","Fusobacteriota"
"749","ASV3","SRR11944152",899,"2018-04","IBS","stool","Fukui","IBS-unspecified","1st","Bacteria","Actinobacteriota"
"405","ASV24","SRR11944169",866,"2018-04","Healthy","stool","Fukui","HC","1st","Bacteria","Fusobacteriota"
"620","ASV27","SRR11944246",853,"2017-08","IBS","stool","Fukui","IBS-unspecified","1st","Bacteria","Proteobacteria"
"576","ASV27","SRR11944239",844,"2018-05","IBS","stool","Fukui","IBS-unspecified","1st","Bacteria","Proteobacteria"
"671","ASV3","SRR11944204",838,"2017-11","IBS","stool","Fukui","IBS-unspecified","1st","Bacteria","Actinobacteriota"
"748","ASV3","SRR11944217",828,"2018-03","Healthy","stool","Fukui","HC","1st","Bacteria","Actinobacteriota"
"678","ASV3","SRR11944238",812,"2017-07","IBS","stool","Fukui","IBS-unspecified","1st","Bacteria","Actinobacteriota"
"563","ASV27","SRR11944146",803,"2018-04","IBS","stool","Fukui","IBS-unspecified","1st","Bacteria","Proteobacteria"
"726","ASV3","SRR11944242",787,"2018-05","IBS","stool","Fukui","IBS-unspecified","1st","Bacteria","Actinobacteriota"
"697","ASV3","SRR11944141",786,"2018-02","IBS","stool","Fukui","IBS-unspecified","1st","Bacteria","Actinobacteriota"
"571","ASV27","SRR11944205",780,"2018-01","IBS","stool","Fukui","IBS-unspecified","1st","Bacteria","Proteobacteria"
"562","ASV27","SRR11944200",774,"2017-07","IBS","stool","Fukui","IBS-unspecified","1st","Bacteria","Proteobacteria"
"701","ASV3","SRR11944148",766,"2018-03","IBS","stool","Fukui","IBS-unspecified","1st","Bacteria","Actinobacteriota"
"656","ASV27","SRR11944182",734,"2017-08","IBS","stool","Fukui","IBS-unspecified","1st","Bacteria","Proteobacteria"
"623","ASV27","SRR11944151",724,"2018-03","IBS","stool","Fukui","IBS-unspecified","1st","Bacteria","Proteobacteria"
"564","ASV27","SRR11944145",713,"2017-07","IBS","stool","Fukui","IBS-unspecified","1st","Bacteria","Proteobacteria"
"602","ASV27","SRR11944211",710,"2018-02","IBS","stool","Fukui","IBS-unspecified","1st","Bacteria","Proteobacteria"
"660","ASV27","SRR11944165",709,"2018-05","Healthy","stool","Fukui","HC","1st","Bacteria","Proteobacteria"
"628","ASV27","SRR11944186",705,"2018-04","Healthy","stool","Fukui","HC","1st","Bacteria","Proteobacteria"
"694","ASV3","SRR11944236",701,"2017-10","IBS","stool","Fukui","IBS-unspecified","1st","Bacteria","Actinobacteriota"
"756","ASV3","SRR11944183",694,"2018-05","Healthy","stool","Fukui","HC","1st","Bacteria","Actinobacteriota"
"724","ASV3","SRR11944215",688,"2017-09","IBS","stool","Fukui","IBS-unspecified","1st","Bacteria","Actinobacteriota"
"761","ASV3","SRR11944199",686,"2018-02","Healthy","stool","Fukui","HC","1st","Bacteria","Actinobacteriota"
"691","ASV3","SRR11944191",681,"2018-03","Healthy","stool","Fukui","HC","1st","Bacteria","Actinobacteriota"
"361","ASV24","SRR11944217",635,"2018-03","Healthy","stool","Fukui","HC","1st","Bacteria","Fusobacteriota"
"578","ASV27","SRR11944190",627,"2018-02","Healthy","stool","Fukui","HC","1st","Bacteria","Proteobacteria"
"597","ASV27","SRR11944196",618,"2017-07","IBS","stool","Fukui","IBS-unspecified","1st","Bacteria","Proteobacteria"
"722","ASV3","SRR11944245",609,"2017-09","IBS","stool","Fukui","IBS-unspecified","1st","Bacteria","Actinobacteriota"
"770","ASV3","SRR11944188",608,"2018-03","Healthy","stool","Fukui","HC","1st","Bacteria","Actinobacteriota"
"769","ASV3","SRR11944189",592,"2018-07","IBS","stool","Fukui","IBS-unspecified","1st","Bacteria","Actinobacteriota"
"573","ASV27","SRR11944222",589,"2017-09","IBS","stool","Fukui","IBS-unspecified","1st","Bacteria","Proteobacteria"
"450","ASV247","SRR11944200",579,"2017-07","IBS","stool","Fukui","IBS-unspecified","1st","Bacteria","Desulfobacterota"
"693","ASV3","SRR11944144",567,"2018-04","IBS","stool","Fukui","IBS-unspecified","1st","Bacteria","Actinobacteriota"
"721","ASV3","SRR11944153",559,"2018-03","IBS","stool","Fukui","IBS-unspecified","1st","Bacteria","Actinobacteriota"
"645","ASV27","SRR11944183",556,"2018-05","Healthy","stool","Fukui","HC","1st","Bacteria","Proteobacteria"
"358","ASV24","SRR11944172",555,"2018-03","Healthy","stool","Fukui","HC","1st","Bacteria","Fusobacteriota"
"687","ASV3","SRR11944222",555,"2017-09","IBS","stool","Fukui","IBS-unspecified","1st","Bacteria","Actinobacteriota"
"575","ASV27","SRR11944147",554,"2018-03","IBS","stool","Fukui","IBS-unspecified","1st","Bacteria","Proteobacteria"
"598","ASV27","SRR11944214",553,"2018-04","Healthy","stool","Fukui","HC","1st","Bacteria","Proteobacteria"
"747","ASV3","SRR11944227",547,"2018-02","IBS","stool","Fukui","IBS-unspecified","1st","Bacteria","Actinobacteriota"
"460","ASV247","SRR11944214",543,"2018-04","Healthy","stool","Fukui","HC","1st","Bacteria","Desulfobacterota"
"633","ASV27","SRR11944199",535,"2018-02","Healthy","stool","Fukui","HC","1st","Bacteria","Proteobacteria"
"591","ASV27","SRR11944210",527,"2018-01","IBS","stool","Fukui","IBS-unspecified","1st","Bacteria","Proteobacteria"
"429","ASV24","SRR11944162",523,"2017-09","IBS","stool","Fukui","IBS-unspecified","1st","Bacteria","Fusobacteriota"
"438","ASV24","SRR11944245",505,"2017-09","IBS","stool","Fukui","IBS-unspecified","1st","Bacteria","Fusobacteriota"
"696","ASV3","SRR11944178",504,"2017-12","IBS","stool","Fukui","IBS-unspecified","1st","Bacteria","Actinobacteriota"
"638","ASV27","SRR11944169",464,"2018-04","Healthy","stool","Fukui","HC","1st","Bacteria","Proteobacteria"
"594","ASV27","SRR11944217",458,"2018-03","Healthy","stool","Fukui","HC","1st","Bacteria","Proteobacteria"
"538","ASV247","SRR11944171",444,"2017-07","IBS","stool","Fukui","IBS-unspecified","1st","Bacteria","Desulfobacterota"
"643","ASV27","SRR11944166",443,"2018-04","Healthy","stool","Fukui","HC","1st","Bacteria","Proteobacteria"
"579","ASV27","SRR11944209",441,"2018-03","Healthy","stool","Fukui","HC","1st","Bacteria","Proteobacteria"
"735","ASV3","SRR11944226",439,"2017-09","IBS","stool","Fukui","IBS-unspecified","1st","Bacteria","Actinobacteriota"
"746","ASV3","SRR11944247",438,"2017-09","IBS","stool","Fukui","IBS-unspecified","1st","Bacteria","Actinobacteriota"
"703","ASV3","SRR11944192",433,"2017-08","IBS","stool","Fukui","IBS-unspecified","1st","Bacteria","Actinobacteriota"
"551","ASV27","SRR11944141",431,"2018-02","IBS","stool","Fukui","IBS-unspecified","1st","Bacteria","Proteobacteria"
"622","ASV27","SRR11944188",423,"2018-03","Healthy","stool","Fukui","HC","1st","Bacteria","Proteobacteria"
"479","ASV247","SRR11944191",415,"2018-03","Healthy","stool","Fukui","HC","1st","Bacteria","Desulfobacterota"
"592","ASV27","SRR11944237",407,"2017-09","IBS","stool","Fukui","IBS-unspecified","1st","Bacteria","Proteobacteria"
"501","ASV247","SRR11944149",401,"2017-09","IBS","stool","Fukui","IBS-unspecified","1st","Bacteria","Desulfobacterota"
"481","ASV247","SRR11944144",395,"2018-04","IBS","stool","Fukui","IBS-unspecified","1st","Bacteria","Desulfobacterota"
"723","ASV3","SRR11944225",382,"2017-02","IBS","stool","Fukui","IBS-unspecified","1st","Bacteria","Actinobacteriota"
"719","ASV3","SRR11944163",380,"2017-12","IBS","stool","Fukui","IBS-unspecified","1st","Bacteria","Actinobacteriota"
"681","ASV3","SRR11944143",378,"2017-03","IBS","stool","Fukui","IBS-unspecified","1st","Bacteria","Actinobacteriota"
"646","ASV27","SRR11944173",370,"2017-09","IBS","stool","Fukui","IBS-unspecified","1st","Bacteria","Proteobacteria"
"580","ASV27","SRR11944236",369,"2017-10","IBS","stool","Fukui","IBS-unspecified","1st","Bacteria","Proteobacteria"
"679","ASV3","SRR11944190",369,"2018-02","Healthy","stool","Fukui","HC","1st","Bacteria","Actinobacteriota"
"486","ASV247","SRR11944243",367,"2017-06","IBS","stool","Fukui","IBS-unspecified","1st","Bacteria","Desulfobacterota"
"511","ASV247","SRR11944197",363,"2017-11","IBS","stool","Fukui","IBS-unspecified","1st","Bacteria","Desulfobacterota"
"569","ASV27","SRR11944225",358,"2017-02","IBS","stool","Fukui","IBS-unspecified","1st","Bacteria","Proteobacteria"
"702","ASV3","SRR11944240",358,"2017-07","IBS","stool","Fukui","IBS-unspecified","1st","Bacteria","Actinobacteriota"
"737","ASV3","SRR11944151",358,"2018-03","IBS","stool","Fukui","IBS-unspecified","1st","Bacteria","Actinobacteriota"
"572","ASV27","SRR11944232",356,"2017-02","IBS","stool","Fukui","IBS-unspecified","1st","Bacteria","Proteobacteria"
"336","ASV24","SRR11944225",350,"2017-02","IBS","stool","Fukui","IBS-unspecified","1st","Bacteria","Fusobacteriota"
"559","ASV27","SRR11944204",345,"2017-11","IBS","stool","Fukui","IBS-unspecified","1st","Bacteria","Proteobacteria"
"657","ASV27","SRR11944172",345,"2018-03","Healthy","stool","Fukui","HC","1st","Bacteria","Proteobacteria"
"642","ASV27","SRR11944176",344,"2018-03","Healthy","stool","Fukui","HC","1st","Bacteria","Proteobacteria"
"443","ASV247","SRR11944202",340,"2018-04","Healthy","stool","Fukui","HC","1st","Bacteria","Desulfobacterota"
"442","ASV247","SRR11944204",333,"2017-11","IBS","stool","Fukui","IBS-unspecified","1st","Bacteria","Desulfobacterota"
"570","ASV27","SRR11944224",310,"2017-09","IBS","stool","Fukui","IBS-unspecified","1st","Bacteria","Proteobacteria"
"753","ASV3","SRR11944168",309,"2018-04","Healthy","stool","Fukui","HC","1st","Bacteria","Actinobacteriota"
"516","ASV247","SRR11944167",306,"2018-05","IBS","stool","Fukui","IBS-unspecified","1st","Bacteria","Desulfobacterota"
"776","ASV326","SRR11944206",297,"2018-03","Healthy","stool","Fukui","HC","1st","Bacteria","Verrucomicrobiota"
"447","ASV247","SRR11944206",295,"2018-03","Healthy","stool","Fukui","HC","1st","Bacteria","Desulfobacterota"
"522","ASV247","SRR11944246",291,"2017-08","IBS","stool","Fukui","IBS-unspecified","1st","Bacteria","Desulfobacterota"
"689","ASV3","SRR11944147",284,"2018-03","IBS","stool","Fukui","IBS-unspecified","1st","Bacteria","Actinobacteriota"
"546","ASV247","SRR11944172",280,"2018-03","Healthy","stool","Fukui","HC","1st","Bacteria","Desulfobacterota"
"483","ASV247","SRR11944226",277,"2017-09","IBS","stool","Fukui","IBS-unspecified","1st","Bacteria","Desulfobacterota"
"433","ASV24","SRR11944247",275,"2017-09","IBS","stool","Fukui","IBS-unspecified","1st","Bacteria","Fusobacteriota"
"400","ASV24","SRR11944199",273,"2018-02","Healthy","stool","Fukui","HC","1st","Bacteria","Fusobacteriota"
"509","ASV247","SRR11944153",269,"2018-03","IBS","stool","Fukui","IBS-unspecified","1st","Bacteria","Desulfobacterota"
"333","ASV24","SRR11944223",266,"2017-04","IBS","stool","Fukui","IBS-unspecified","1st","Bacteria","Fusobacteriota"
"614","ASV27","SRR11944212",264,"2018-04","Healthy","stool","Fukui","HC","1st","Bacteria","Proteobacteria"
"528","ASV247","SRR11944168",255,"2018-04","Healthy","stool","Fukui","HC","1st","Bacteria","Desulfobacterota"
"545","ASV247","SRR11944182",248,"2017-08","IBS","stool","Fukui","IBS-unspecified","1st","Bacteria","Desulfobacterota"
"786","ASV326","SRR11944188",248,"2018-03","Healthy","stool","Fukui","HC","1st","Bacteria","Verrucomicrobiota"
"472","ASV247","SRR11944215",247,"2017-09","IBS","stool","Fukui","IBS-unspecified","1st","Bacteria","Desulfobacterota"
"428","ASV24","SRR11944236",240,"2017-10","IBS","stool","Fukui","IBS-unspecified","1st","Bacteria","Fusobacteriota"
"590","ASV27","SRR11944191",239,"2018-03","Healthy","stool","Fukui","HC","1st","Bacteria","Proteobacteria"
"498","ASV247","SRR11944244",236,"2017-08","IBS","stool","Fukui","IBS-unspecified","1st","Bacteria","Desulfobacterota"
"454","ASV247","SRR11944208",234,"2018-01","IBS","stool","Fukui","IBS-unspecified","1st","Bacteria","Desulfobacterota"
"369","ASV24","SRR11944183",230,"2018-05","Healthy","stool","Fukui","HC","1st","Bacteria","Fusobacteriota"
"507","ASV247","SRR11944228",228,"2017-10","IBS","stool","Fukui","IBS-unspecified","1st","Bacteria","Desulfobacterota"
"523","ASV247","SRR11944198",226,"2017-07","IBS","stool","Fukui","IBS-unspecified","1st","Bacteria","Desulfobacterota"
"605","ASV27","SRR11944228",225,"2017-10","IBS","stool","Fukui","IBS-unspecified","1st","Bacteria","Proteobacteria"
"477","ASV247","SRR11944147",219,"2018-03","IBS","stool","Fukui","IBS-unspecified","1st","Bacteria","Desulfobacterota"
"619","ASV27","SRR11944154",214,"2017-08","IBS","stool","Fukui","IBS-unspecified","1st","Bacteria","Proteobacteria"
"600","ASV27","SRR11944241",213,"2018-05","IBS","stool","Fukui","IBS-unspecified","1st","Bacteria","Proteobacteria"
"655","ASV27","SRR11944167",210,"2018-05","IBS","stool","Fukui","IBS-unspecified","1st","Bacteria","Proteobacteria"
"457","ASV247","SRR11944142",207,"2017-07","IBS","stool","Fukui","IBS-unspecified","1st","Bacteria","Desulfobacterota"
"339","ASV24","SRR11944204",205,"2017-11","IBS","stool","Fukui","IBS-unspecified","1st","Bacteria","Fusobacteriota"
"530","ASV247","SRR11944186",205,"2018-04","Healthy","stool","Fukui","HC","1st","Bacteria","Desulfobacterota"
