"","OTU","Sample","Abundance","sample_type","author","host_disease","host_subtype","Collection","Kingdom","Phylum","Class","Order","Family"
"1530","ASV2","SRR2923751",7057,"stool","Ringel","NA","NA","1st","Bacteria","Firmicutes","Clostridia","Lachnospirales","Lachnospiraceae"
"1552","ASV2","SRR2923811",5941,"stool","Ringel","NA","NA","1st","Bacteria","Firmicutes","Clostridia","Lachnospirales","Lachnospiraceae"
"1514","ASV2","SRR2923750",5669,"stool","Ringel","NA","NA","1st","Bacteria","Firmicutes","Clostridia","Lachnospirales","Lachnospiraceae"
"1561","ASV2","SRR2923768",5513,"stool","Ringel","NA","NA","1st","Bacteria","Firmicutes","Clostridia","Lachnospirales","Lachnospiraceae"
"1566","ASV2","SRR2923774",5179,"stool","Ringel","NA","NA","1st","Bacteria","Firmicutes","Clostridia","Lachnospirales","Lachnospiraceae"
"1544","ASV2","SRR2923761",4953,"stool","Ringel","NA","NA","1st","Bacteria","Firmicutes","Clostridia","Lachnospirales","Lachnospiraceae"
"59","ASV1","SRR2923813",4862,"stool","Ringel","NA","NA","1st","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Bacteroidaceae"
"1501","ASV2","SRR2923395",4606,"stool","Ringel","NA","NA","1st","Bacteria","Firmicutes","Clostridia","Lachnospirales","Lachnospiraceae"
"19","ASV1","SRR2923373",4540,"stool","Ringel","NA","NA","1st","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Bacteroidaceae"
"1572","ASV2","SRR2923808",4531,"stool","Ringel","NA","NA","1st","Bacteria","Firmicutes","Clostridia","Lachnospirales","Lachnospiraceae"
"1539","ASV2","SRR2923749",4481,"stool","Ringel","NA","NA","1st","Bacteria","Firmicutes","Clostridia","Lachnospirales","Lachnospiraceae"
"1513","ASV2","SRR2923363",4401,"stool","Ringel","NA","NA","1st","Bacteria","Firmicutes","Clostridia","Lachnospirales","Lachnospiraceae"
"1547","ASV2","SRR2923390",4180,"stool","Ringel","NA","NA","1st","Bacteria","Firmicutes","Clostridia","Lachnospirales","Lachnospiraceae"
"1546","ASV2","SRR2923353",4130,"stool","Ringel","NA","NA","1st","Bacteria","Firmicutes","Clostridia","Lachnospirales","Lachnospiraceae"
"1527","ASV2","SRR2923373",3944,"stool","Ringel","NA","NA","1st","Bacteria","Firmicutes","Clostridia","Lachnospirales","Lachnospiraceae"
"1504","ASV2","SRR2923796",3902,"stool","Ringel","NA","NA","1st","Bacteria","Firmicutes","Clostridia","Lachnospirales","Lachnospiraceae"
"53","ASV1","SRR2923378",3826,"stool","Ringel","NA","NA","1st","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Bacteroidaceae"
"22","ASV1","SRR2923751",3735,"stool","Ringel","NA","NA","1st","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Bacteroidaceae"
"16","ASV1","SRR2923382",3676,"stool","Ringel","NA","NA","1st","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Bacteroidaceae"
"1507","ASV2","SRR2923366",3608,"stool","Ringel","NA","NA","1st","Bacteria","Firmicutes","Clostridia","Lachnospirales","Lachnospiraceae"
"1538","ASV2","SRR2923382",3587,"stool","Ringel","NA","NA","1st","Bacteria","Firmicutes","Clostridia","Lachnospirales","Lachnospiraceae"
"1511","ASV2","SRR2923356",3559,"stool","Ringel","NA","NA","1st","Bacteria","Firmicutes","Clostridia","Lachnospirales","Lachnospiraceae"
"1559","ASV2","SRR2923387",3554,"stool","Ringel","NA","NA","1st","Bacteria","Firmicutes","Clostridia","Lachnospirales","Lachnospiraceae"
"47","ASV1","SRR2923349",3527,"stool","Ringel","NA","NA","1st","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Bacteroidaceae"
"1519","ASV2","SRR2923763",3500,"stool","Ringel","NA","NA","1st","Bacteria","Firmicutes","Clostridia","Lachnospirales","Lachnospiraceae"
"3841","ASV5","SRR2923755",3474,"stool","Ringel","NA","NA","1st","Bacteria","Firmicutes","Clostridia","Oscillospirales","Ruminococcaceae"
"3831","ASV5","SRR2923750",3473,"stool","Ringel","NA","NA","1st","Bacteria","Firmicutes","Clostridia","Oscillospirales","Ruminococcaceae"
"1543","ASV2","SRR2923375",3472,"stool","Ringel","NA","NA","1st","Bacteria","Firmicutes","Clostridia","Lachnospirales","Lachnospiraceae"
"38","ASV1","SRR2923390",3450,"stool","Ringel","NA","NA","1st","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Bacteroidaceae"
"3870","ASV5","SRR2923356",3435,"stool","Ringel","NA","NA","1st","Bacteria","Firmicutes","Clostridia","Oscillospirales","Ruminococcaceae"
"3898","ASV5","SRR2923806",3386,"stool","Ringel","NA","NA","1st","Bacteria","Firmicutes","Clostridia","Oscillospirales","Ruminococcaceae"
"3888","ASV5","SRR2923774",3348,"stool","Ringel","NA","NA","1st","Bacteria","Firmicutes","Clostridia","Oscillospirales","Ruminococcaceae"
"1541","ASV2","SRR2923813",3277,"stool","Ringel","NA","NA","1st","Bacteria","Firmicutes","Clostridia","Lachnospirales","Lachnospiraceae"
"1512","ASV2","SRR2923399",3182,"stool","Ringel","NA","NA","1st","Bacteria","Firmicutes","Clostridia","Lachnospirales","Lachnospiraceae"
"1549","ASV2","SRR2923380",3159,"stool","Ringel","NA","NA","1st","Bacteria","Firmicutes","Clostridia","Lachnospirales","Lachnospiraceae"
"914","ASV16","SRR2923771",3142,"stool","Ringel","NA","NA","1st","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Prevotellaceae"
"3874","ASV5","SRR2923358",3133,"stool","Ringel","NA","NA","1st","Bacteria","Firmicutes","Clostridia","Oscillospirales","Ruminococcaceae"
"1568","ASV2","SRR2923383",3104,"stool","Ringel","NA","NA","1st","Bacteria","Firmicutes","Clostridia","Lachnospirales","Lachnospiraceae"
"1533","ASV2","SRR2923400",3082,"stool","Ringel","NA","NA","1st","Bacteria","Firmicutes","Clostridia","Lachnospirales","Lachnospiraceae"
"1545","ASV2","SRR2923752",3067,"stool","Ringel","NA","NA","1st","Bacteria","Firmicutes","Clostridia","Lachnospirales","Lachnospiraceae"
"3843","ASV5","SRR2923395",3027,"stool","Ringel","NA","NA","1st","Bacteria","Firmicutes","Clostridia","Oscillospirales","Ruminococcaceae"
"3827","ASV5","SRR2923772",3026,"stool","Ringel","NA","NA","1st","Bacteria","Firmicutes","Clostridia","Oscillospirales","Ruminococcaceae"
"1556","ASV2","SRR2923772",3016,"stool","Ringel","NA","NA","1st","Bacteria","Firmicutes","Clostridia","Lachnospirales","Lachnospiraceae"
"1506","ASV2","SRR2923759",3011,"stool","Ringel","NA","NA","1st","Bacteria","Firmicutes","Clostridia","Lachnospirales","Lachnospiraceae"
"2862","ASV30","SRR2923792",2973,"stool","Ringel","NA","NA","1st","Bacteria","Firmicutes","Bacilli","Lactobacillales","Streptococcaceae"
"49","ASV1","SRR2923364",2969,"stool","Ringel","NA","NA","1st","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Bacteroidaceae"
"3849","ASV5","SRR2923763",2939,"stool","Ringel","NA","NA","1st","Bacteria","Firmicutes","Clostridia","Oscillospirales","Ruminococcaceae"
"1521","ASV2","SRR2923754",2934,"stool","Ringel","NA","NA","1st","Bacteria","Firmicutes","Clostridia","Lachnospirales","Lachnospiraceae"
"1548","ASV2","SRR2923799",2911,"stool","Ringel","NA","NA","1st","Bacteria","Firmicutes","Clostridia","Lachnospirales","Lachnospiraceae"
"3845","ASV5","SRR2923749",2908,"stool","Ringel","NA","NA","1st","Bacteria","Firmicutes","Clostridia","Oscillospirales","Ruminococcaceae"
"1515","ASV2","SRR2923350",2898,"stool","Ringel","NA","NA","1st","Bacteria","Firmicutes","Clostridia","Lachnospirales","Lachnospiraceae"
"60","ASV1","SRR2923398",2888,"stool","Ringel","NA","NA","1st","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Bacteroidaceae"
"1564","ASV2","SRR2923787",2882,"stool","Ringel","NA","NA","1st","Bacteria","Firmicutes","Clostridia","Lachnospirales","Lachnospiraceae"
"1570","ASV2","SRR2923800",2836,"stool","Ringel","NA","NA","1st","Bacteria","Firmicutes","Clostridia","Lachnospirales","Lachnospiraceae"
"1526","ASV2","SRR2923357",2768,"stool","Ringel","NA","NA","1st","Bacteria","Firmicutes","Clostridia","Lachnospirales","Lachnospiraceae"
"43","ASV1","SRR2923747",2760,"stool","Ringel","NA","NA","1st","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Bacteroidaceae"
"959","ASV16","SRR2923354",2759,"stool","Ringel","NA","NA","1st","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Prevotellaceae"
"3876","ASV5","SRR2923375",2738,"stool","Ringel","NA","NA","1st","Bacteria","Firmicutes","Clostridia","Oscillospirales","Ruminococcaceae"
"3865","ASV5","SRR2923400",2706,"stool","Ringel","NA","NA","1st","Bacteria","Firmicutes","Clostridia","Oscillospirales","Ruminococcaceae"
"3869","ASV5","SRR2923787",2664,"stool","Ringel","NA","NA","1st","Bacteria","Firmicutes","Clostridia","Oscillospirales","Ruminococcaceae"
"1575","ASV2","SRR2923354",2637,"stool","Ringel","NA","NA","1st","Bacteria","Firmicutes","Clostridia","Lachnospirales","Lachnospiraceae"
"1542","ASV2","SRR2923358",2587,"stool","Ringel","NA","NA","1st","Bacteria","Firmicutes","Clostridia","Lachnospirales","Lachnospiraceae"
"3850","ASV5","SRR2923751",2574,"stool","Ringel","NA","NA","1st","Bacteria","Firmicutes","Clostridia","Oscillospirales","Ruminococcaceae"
"1528","ASV2","SRR2923794",2573,"stool","Ringel","NA","NA","1st","Bacteria","Firmicutes","Clostridia","Lachnospirales","Lachnospiraceae"
"1557","ASV2","SRR2923378",2539,"stool","Ringel","NA","NA","1st","Bacteria","Firmicutes","Clostridia","Lachnospirales","Lachnospiraceae"
"907","ASV16","SRR2923757",2515,"stool","Ringel","NA","NA","1st","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Prevotellaceae"
"1540","ASV2","SRR2923349",2509,"stool","Ringel","NA","NA","1st","Bacteria","Firmicutes","Clostridia","Lachnospirales","Lachnospiraceae"
"1531","ASV2","SRR2923365",2477,"stool","Ringel","NA","NA","1st","Bacteria","Firmicutes","Clostridia","Lachnospirales","Lachnospiraceae"
"46","ASV1","SRR2923395",2470,"stool","Ringel","NA","NA","1st","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Bacteroidaceae"
"1555","ASV2","SRR2923803",2464,"stool","Ringel","NA","NA","1st","Bacteria","Firmicutes","Clostridia","Lachnospirales","Lachnospiraceae"
"955","ASV16","SRR2923351",2457,"stool","Ringel","NA","NA","1st","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Prevotellaceae"
"1522","ASV2","SRR2923747",2454,"stool","Ringel","NA","NA","1st","Bacteria","Firmicutes","Clostridia","Lachnospirales","Lachnospiraceae"
"14","ASV1","SRR2923800",2424,"stool","Ringel","NA","NA","1st","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Bacteroidaceae"
"1565","ASV2","SRR2923771",2418,"stool","Ringel","NA","NA","1st","Bacteria","Firmicutes","Clostridia","Lachnospirales","Lachnospiraceae"
"64","ASV1","SRR2923809",2365,"stool","Ringel","NA","NA","1st","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Bacteroidaceae"
"57","ASV1","SRR2923348",2354,"stool","Ringel","NA","NA","1st","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Bacteroidaceae"
"1529","ASV2","SRR2923385",2333,"stool","Ringel","NA","NA","1st","Bacteria","Firmicutes","Clostridia","Lachnospirales","Lachnospiraceae"
"3942","ASV51","SRR2923393",2263,"stool","Ringel","NA","NA","1st","Bacteria","Firmicutes","Bacilli","Lactobacillales","Lactobacillaceae"
"4101","ASV9","SRR2923787",2258,"stool","Ringel","NA","NA","1st","Bacteria","Firmicutes","Bacilli","Erysipelotrichales","Erysipelatoclostridiaceae"
"3858","ASV5","SRR2923811",2251,"stool","Ringel","NA","NA","1st","Bacteria","Firmicutes","Clostridia","Oscillospirales","Ruminococcaceae"
"8","ASV1","SRR2923796",2240,"stool","Ringel","NA","NA","1st","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Bacteroidaceae"
"1574","ASV2","SRR2923327",2214,"stool","Ringel","NA","NA","1st","Bacteria","Firmicutes","Clostridia","Lachnospirales","Lachnospiraceae"
"3899","ASV5","SRR2923391",2207,"stool","Ringel","NA","NA","1st","Bacteria","Firmicutes","Clostridia","Oscillospirales","Ruminococcaceae"
"1550","ASV2","SRR2923391",2181,"stool","Ringel","NA","NA","1st","Bacteria","Firmicutes","Clostridia","Lachnospirales","Lachnospiraceae"
"3861","ASV5","SRR2923803",2161,"stool","Ringel","NA","NA","1st","Bacteria","Firmicutes","Clostridia","Oscillospirales","Ruminococcaceae"
"3887","ASV5","SRR2923350",2148,"stool","Ringel","NA","NA","1st","Bacteria","Firmicutes","Clostridia","Oscillospirales","Ruminococcaceae"
"3854","ASV5","SRR2923799",2146,"stool","Ringel","NA","NA","1st","Bacteria","Firmicutes","Clostridia","Oscillospirales","Ruminococcaceae"
"1503","ASV2","SRR2923755",2142,"stool","Ringel","NA","NA","1st","Bacteria","Firmicutes","Clostridia","Lachnospirales","Lachnospiraceae"
"1520","ASV2","SRR2923398",2135,"stool","Ringel","NA","NA","1st","Bacteria","Firmicutes","Clostridia","Lachnospirales","Lachnospiraceae"
"40","ASV1","SRR2923366",2099,"stool","Ringel","NA","NA","1st","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Bacteroidaceae"
"3891","ASV5","SRR2923805",2083,"stool","Ringel","NA","NA","1st","Bacteria","Firmicutes","Clostridia","Oscillospirales","Ruminococcaceae"
"25","ASV1","SRR2923765",1982,"stool","Ringel","NA","NA","1st","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Bacteroidaceae"
"1536","ASV2","SRR2923369",1961,"stool","Ringel","NA","NA","1st","Bacteria","Firmicutes","Clostridia","Lachnospirales","Lachnospiraceae"
"1569","ASV2","SRR2923806",1948,"stool","Ringel","NA","NA","1st","Bacteria","Firmicutes","Clostridia","Lachnospirales","Lachnospiraceae"
"3882","ASV5","SRR2923369",1930,"stool","Ringel","NA","NA","1st","Bacteria","Firmicutes","Clostridia","Oscillospirales","Ruminococcaceae"
"62","ASV1","SRR2923772",1897,"stool","Ringel","NA","NA","1st","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Bacteroidaceae"
"3875","ASV5","SRR2923794",1861,"stool","Ringel","NA","NA","1st","Bacteria","Firmicutes","Clostridia","Oscillospirales","Ruminococcaceae"
"1532","ASV2","SRR2923797",1844,"stool","Ringel","NA","NA","1st","Bacteria","Firmicutes","Clostridia","Lachnospirales","Lachnospiraceae"
"17","ASV1","SRR2923792",1829,"stool","Ringel","NA","NA","1st","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Bacteroidaceae"
"65","ASV1","SRR2923365",1794,"stool","Ringel","NA","NA","1st","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Bacteroidaceae"
"13","ASV1","SRR2923754",1789,"stool","Ringel","NA","NA","1st","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Bacteroidaceae"
"1553","ASV2","SRR2923757",1778,"stool","Ringel","NA","NA","1st","Bacteria","Firmicutes","Clostridia","Lachnospirales","Lachnospiraceae"
"3884","ASV5","SRR2923800",1723,"stool","Ringel","NA","NA","1st","Bacteria","Firmicutes","Clostridia","Oscillospirales","Ruminococcaceae"
"3885","ASV5","SRR2923363",1721,"stool","Ringel","NA","NA","1st","Bacteria","Firmicutes","Clostridia","Oscillospirales","Ruminococcaceae"
"4","ASV1","SRR2923371",1714,"stool","Ringel","NA","NA","1st","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Bacteroidaceae"
"1508","ASV2","SRR2923397",1709,"stool","Ringel","NA","NA","1st","Bacteria","Firmicutes","Clostridia","Lachnospirales","Lachnospiraceae"
"906","ASV16","SRR2923358",1691,"stool","Ringel","NA","NA","1st","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Prevotellaceae"
"3826","ASV5","SRR2923397",1690,"stool","Ringel","NA","NA","1st","Bacteria","Firmicutes","Clostridia","Oscillospirales","Ruminococcaceae"
"3890","ASV5","SRR2923387",1677,"stool","Ringel","NA","NA","1st","Bacteria","Firmicutes","Clostridia","Oscillospirales","Ruminococcaceae"
"1502","ASV2","SRR2923792",1669,"stool","Ringel","NA","NA","1st","Bacteria","Firmicutes","Clostridia","Lachnospirales","Lachnospiraceae"
"73","ASV1","SRR2923400",1660,"stool","Ringel","NA","NA","1st","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Bacteroidaceae"
"1535","ASV2","SRR2923355",1645,"stool","Ringel","NA","NA","1st","Bacteria","Firmicutes","Clostridia","Lachnospirales","Lachnospiraceae"
"45","ASV1","SRR2923356",1639,"stool","Ringel","NA","NA","1st","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Bacteroidaceae"
"1523","ASV2","SRR2923748",1633,"stool","Ringel","NA","NA","1st","Bacteria","Firmicutes","Clostridia","Lachnospirales","Lachnospiraceae"
"3893","ASV5","SRR2923360",1622,"stool","Ringel","NA","NA","1st","Bacteria","Firmicutes","Clostridia","Oscillospirales","Ruminococcaceae"
"3839","ASV5","SRR2923399",1612,"stool","Ringel","NA","NA","1st","Bacteria","Firmicutes","Clostridia","Oscillospirales","Ruminococcaceae"
"4112","ASV9","SRR2923774",1605,"stool","Ringel","NA","NA","1st","Bacteria","Firmicutes","Bacilli","Erysipelotrichales","Erysipelatoclostridiaceae"
"3862","ASV5","SRR2923359",1603,"stool","Ringel","NA","NA","1st","Bacteria","Firmicutes","Clostridia","Oscillospirales","Ruminococcaceae"
"1567","ASV2","SRR2923765",1601,"stool","Ringel","NA","NA","1st","Bacteria","Firmicutes","Clostridia","Lachnospirales","Lachnospiraceae"
"3834","ASV5","SRR2923398",1595,"stool","Ringel","NA","NA","1st","Bacteria","Firmicutes","Clostridia","Oscillospirales","Ruminococcaceae"
"3864","ASV5","SRR2923366",1590,"stool","Ringel","NA","NA","1st","Bacteria","Firmicutes","Clostridia","Oscillospirales","Ruminococcaceae"
"1554","ASV2","SRR2923802",1589,"stool","Ringel","NA","NA","1st","Bacteria","Firmicutes","Clostridia","Lachnospirales","Lachnospiraceae"
"3881","ASV5","SRR2923754",1544,"stool","Ringel","NA","NA","1st","Bacteria","Firmicutes","Clostridia","Oscillospirales","Ruminococcaceae"
"1563","ASV2","SRR2923809",1541,"stool","Ringel","NA","NA","1st","Bacteria","Firmicutes","Clostridia","Lachnospirales","Lachnospiraceae"
"3879","ASV5","SRR2923765",1529,"stool","Ringel","NA","NA","1st","Bacteria","Firmicutes","Clostridia","Oscillospirales","Ruminococcaceae"
"657","ASV14","SRR2923787",1512,"stool","Ringel","NA","NA","1st","Bacteria","Actinobacteriota","Coriobacteriia","Coriobacteriales","Coriobacteriaceae"
"1517","ASV2","SRR2923359",1510,"stool","Ringel","NA","NA","1st","Bacteria","Firmicutes","Clostridia","Lachnospirales","Lachnospiraceae"
"3883","ASV5","SRR2923348",1479,"stool","Ringel","NA","NA","1st","Bacteria","Firmicutes","Clostridia","Oscillospirales","Ruminococcaceae"
"1551","ASV2","SRR2923348",1433,"stool","Ringel","NA","NA","1st","Bacteria","Firmicutes","Clostridia","Lachnospirales","Lachnospiraceae"
"68","ASV1","SRR2923799",1432,"stool","Ringel","NA","NA","1st","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Bacteroidaceae"
"3886","ASV5","SRR2923349",1419,"stool","Ringel","NA","NA","1st","Bacteria","Firmicutes","Clostridia","Oscillospirales","Ruminococcaceae"
"624","ASV14","SRR2923399",1388,"stool","Ringel","NA","NA","1st","Bacteria","Actinobacteriota","Coriobacteriia","Coriobacteriales","Coriobacteriaceae"
"29","ASV1","SRR2923355",1373,"stool","Ringel","NA","NA","1st","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Bacteroidaceae"
"7","ASV1","SRR2923385",1349,"stool","Ringel","NA","NA","1st","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Bacteroidaceae"
"4117","ASV9","SRR2923378",1328,"stool","Ringel","NA","NA","1st","Bacteria","Firmicutes","Bacilli","Erysipelotrichales","Erysipelatoclostridiaceae"
"1571","ASV2","SRR2923805",1289,"stool","Ringel","NA","NA","1st","Bacteria","Firmicutes","Clostridia","Lachnospirales","Lachnospiraceae"
"4062","ASV9","SRR2923811",1282,"stool","Ringel","NA","NA","1st","Bacteria","Firmicutes","Bacilli","Erysipelotrichales","Erysipelatoclostridiaceae"
"48","ASV1","SRR2923350",1258,"stool","Ringel","NA","NA","1st","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Bacteroidaceae"
"20","ASV1","SRR2923357",1245,"stool","Ringel","NA","NA","1st","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Bacteroidaceae"
"3838","ASV5","SRR2923752",1229,"stool","Ringel","NA","NA","1st","Bacteria","Firmicutes","Clostridia","Oscillospirales","Ruminococcaceae"
"1562","ASV2","SRR2923368",1228,"stool","Ringel","NA","NA","1st","Bacteria","Firmicutes","Clostridia","Lachnospirales","Lachnospiraceae"
"4063","ASV9","SRR2923363",1218,"stool","Ringel","NA","NA","1st","Bacteria","Firmicutes","Bacilli","Erysipelotrichales","Erysipelatoclostridiaceae"
"631","ASV14","SRR2923808",1204,"stool","Ringel","NA","NA","1st","Bacteria","Actinobacteriota","Coriobacteriia","Coriobacteriales","Coriobacteriaceae"
"2284","ASV26","SRR2923363",1203,"stool","Ringel","NA","NA","1st","Bacteria","Firmicutes","Bacilli","Erysipelotrichales","Erysipelotrichaceae"
"4060","ASV9","SRR2923761",1199,"stool","Ringel","NA","NA","1st","Bacteria","Firmicutes","Bacilli","Erysipelotrichales","Erysipelatoclostridiaceae"
"1505","ASV2","SRR2923364",1194,"stool","Ringel","NA","NA","1st","Bacteria","Firmicutes","Clostridia","Lachnospirales","Lachnospiraceae"
"2512","ASV28","SRR2923789",1188,"stool","Ringel","NA","NA","1st","Bacteria","Firmicutes","Clostridia","Christensenellales","Christensenellaceae"
"3338","ASV34","SRR2923748",1178,"stool","Ringel","NA","NA","1st","Bacteria","Firmicutes","Clostridia","Peptostreptococcales-Tissierellales","Peptostreptococcaceae"
"1537","ASV2","SRR2923766",1167,"stool","Ringel","NA","NA","1st","Bacteria","Firmicutes","Clostridia","Lachnospirales","Lachnospiraceae"
"3855","ASV5","SRR2923789",1166,"stool","Ringel","NA","NA","1st","Bacteria","Firmicutes","Clostridia","Oscillospirales","Ruminococcaceae"
"3308","ASV34","SRR2923755",1157,"stool","Ringel","NA","NA","1st","Bacteria","Firmicutes","Clostridia","Peptostreptococcales-Tissierellales","Peptostreptococcaceae"
"3866","ASV5","SRR2923747",1127,"stool","Ringel","NA","NA","1st","Bacteria","Firmicutes","Clostridia","Oscillospirales","Ruminococcaceae"
"3322","ASV34","SRR2923380",1078,"stool","Ringel","NA","NA","1st","Bacteria","Firmicutes","Clostridia","Peptostreptococcales-Tissierellales","Peptostreptococcaceae"
"24","ASV1","SRR2923797",1067,"stool","Ringel","NA","NA","1st","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Bacteroidaceae"
"4065","ASV9","SRR2923750",1049,"stool","Ringel","NA","NA","1st","Bacteria","Firmicutes","Bacilli","Erysipelotrichales","Erysipelatoclostridiaceae"
"3857","ASV5","SRR2923768",1041,"stool","Ringel","NA","NA","1st","Bacteria","Firmicutes","Clostridia","Oscillospirales","Ruminococcaceae"
"3897","ASV5","SRR2923354",1041,"stool","Ringel","NA","NA","1st","Bacteria","Firmicutes","Clostridia","Oscillospirales","Ruminococcaceae"
"3","ASV1","SRR2923757",1033,"stool","Ringel","NA","NA","1st","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Bacteroidaceae"
"971","ASV16","SRR2923805",1023,"stool","Ringel","NA","NA","1st","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Prevotellaceae"
"1558","ASV2","SRR2923351",1008,"stool","Ringel","NA","NA","1st","Bacteria","Firmicutes","Clostridia","Lachnospirales","Lachnospiraceae"
"1525","ASV2","SRR2923371",1007,"stool","Ringel","NA","NA","1st","Bacteria","Firmicutes","Clostridia","Lachnospirales","Lachnospiraceae"
"3863","ASV5","SRR2923365",1005,"stool","Ringel","NA","NA","1st","Bacteria","Firmicutes","Clostridia","Oscillospirales","Ruminococcaceae"
"2894","ASV30","SRR2923808",1001,"stool","Ringel","NA","NA","1st","Bacteria","Firmicutes","Bacilli","Lactobacillales","Streptococcaceae"
"30","ASV1","SRR2923802",994,"stool","Ringel","NA","NA","1st","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Bacteroidaceae"
"2321","ASV26","SRR2923368",981,"stool","Ringel","NA","NA","1st","Bacteria","Firmicutes","Bacilli","Erysipelotrichales","Erysipelotrichaceae"
"653","ASV14","SRR2923353",975,"stool","Ringel","NA","NA","1st","Bacteria","Actinobacteriota","Coriobacteriia","Coriobacteriales","Coriobacteriaceae"
"3871","ASV5","SRR2923371",960,"stool","Ringel","NA","NA","1st","Bacteria","Firmicutes","Clostridia","Oscillospirales","Ruminococcaceae"
"661","ASV14","SRR2923749",928,"stool","Ringel","NA","NA","1st","Bacteria","Actinobacteriota","Coriobacteriia","Coriobacteriales","Coriobacteriaceae"
"4077","ASV9","SRR2923395",900,"stool","Ringel","NA","NA","1st","Bacteria","Firmicutes","Bacilli","Erysipelotrichales","Erysipelatoclostridiaceae"
"3848","ASV5","SRR2923761",896,"stool","Ringel","NA","NA","1st","Bacteria","Firmicutes","Clostridia","Oscillospirales","Ruminococcaceae"
"4092","ASV9","SRR2923813",895,"stool","Ringel","NA","NA","1st","Bacteria","Firmicutes","Bacilli","Erysipelotrichales","Erysipelatoclostridiaceae"
"3889","ASV5","SRR2923797",891,"stool","Ringel","NA","NA","1st","Bacteria","Firmicutes","Clostridia","Oscillospirales","Ruminococcaceae"
"165","ASV107","SRR2923789",874,"stool","Ringel","NA","NA","1st","Bacteria","Firmicutes","Clostridia","Oscillospirales","Oscillospiraceae"
"31","ASV1","SRR2923749",846,"stool","Ringel","NA","NA","1st","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Bacteroidaceae"
"2288","ASV26","SRR2923803",841,"stool","Ringel","NA","NA","1st","Bacteria","Firmicutes","Bacilli","Erysipelotrichales","Erysipelotrichaceae"
"67","ASV1","SRR2923768",840,"stool","Ringel","NA","NA","1st","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Bacteroidaceae"
"3832","ASV5","SRR2923813",818,"stool","Ringel","NA","NA","1st","Bacteria","Firmicutes","Clostridia","Oscillospirales","Ruminococcaceae"
"3833","ASV5","SRR2923771",818,"stool","Ringel","NA","NA","1st","Bacteria","Firmicutes","Clostridia","Oscillospirales","Ruminococcaceae"
"3867","ASV5","SRR2923361",815,"stool","Ringel","NA","NA","1st","Bacteria","Firmicutes","Clostridia","Oscillospirales","Ruminococcaceae"
"3900","ASV5","SRR2923353",814,"stool","Ringel","NA","NA","1st","Bacteria","Firmicutes","Clostridia","Oscillospirales","Ruminococcaceae"
"1516","ASV2","SRR2923361",806,"stool","Ringel","NA","NA","1st","Bacteria","Firmicutes","Clostridia","Lachnospirales","Lachnospiraceae"
"3829","ASV5","SRR2923809",806,"stool","Ringel","NA","NA","1st","Bacteria","Firmicutes","Clostridia","Oscillospirales","Ruminococcaceae"
"4113","ASV9","SRR2923391",801,"stool","Ringel","NA","NA","1st","Bacteria","Firmicutes","Bacilli","Erysipelotrichales","Erysipelatoclostridiaceae"
