"","OTU","Sample","Abundance","sample_type","author","host_disease","host_subtype","Collection","Kingdom","Phylum","Class","Order"
"1182","ASV2","SRR2923751",7057,"stool","Ringel","NA","NA","1st","Bacteria","Firmicutes","Clostridia","Lachnospirales"
"1133","ASV2","SRR2923811",5941,"stool","Ringel","NA","NA","1st","Bacteria","Firmicutes","Clostridia","Lachnospirales"
"1185","ASV2","SRR2923750",5669,"stool","Ringel","NA","NA","1st","Bacteria","Firmicutes","Clostridia","Lachnospirales"
"1179","ASV2","SRR2923768",5513,"stool","Ringel","NA","NA","1st","Bacteria","Firmicutes","Clostridia","Lachnospirales"
"1130","ASV2","SRR2923774",5183,"stool","Ringel","NA","NA","1st","Bacteria","Firmicutes","Clostridia","Lachnospirales"
"36","ASV1","SRR2923813",4975,"stool","Ringel","NA","NA","1st","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales"
"1166","ASV2","SRR2923761",4953,"stool","Ringel","NA","NA","1st","Bacteria","Firmicutes","Clostridia","Lachnospirales"
"19","ASV1","SRR2923373",4717,"stool","Ringel","NA","NA","1st","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales"
"1134","ASV2","SRR2923395",4606,"stool","Ringel","NA","NA","1st","Bacteria","Firmicutes","Clostridia","Lachnospirales"
"1171","ASV2","SRR2923808",4531,"stool","Ringel","NA","NA","1st","Bacteria","Firmicutes","Clostridia","Lachnospirales"
"1184","ASV2","SRR2923749",4481,"stool","Ringel","NA","NA","1st","Bacteria","Firmicutes","Clostridia","Lachnospirales"
"1194","ASV2","SRR2923363",4401,"stool","Ringel","NA","NA","1st","Bacteria","Firmicutes","Clostridia","Lachnospirales"
"5","ASV1","SRR2923378",4222,"stool","Ringel","NA","NA","1st","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales"
"1148","ASV2","SRR2923390",4180,"stool","Ringel","NA","NA","1st","Bacteria","Firmicutes","Clostridia","Lachnospirales"
"1174","ASV2","SRR2923353",4130,"stool","Ringel","NA","NA","1st","Bacteria","Firmicutes","Clostridia","Lachnospirales"
"2740","ASV5","SRR2923806",4073,"stool","Ringel","NA","NA","1st","Bacteria","Firmicutes","Clostridia","Oscillospirales"
"2731","ASV5","SRR2923774",4005,"stool","Ringel","NA","NA","1st","Bacteria","Firmicutes","Clostridia","Oscillospirales"
"1178","ASV2","SRR2923373",3944,"stool","Ringel","NA","NA","1st","Bacteria","Firmicutes","Clostridia","Lachnospirales"
"59","ASV1","SRR2923382",3914,"stool","Ringel","NA","NA","1st","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales"
"1163","ASV2","SRR2923796",3902,"stool","Ringel","NA","NA","1st","Bacteria","Firmicutes","Clostridia","Lachnospirales"
"47","ASV1","SRR2923771",3848,"stool","Ringel","NA","NA","1st","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales"
"10","ASV1","SRR2923751",3816,"stool","Ringel","NA","NA","1st","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales"
"2756","ASV5","SRR2923356",3789,"stool","Ringel","NA","NA","1st","Bacteria","Firmicutes","Clostridia","Oscillospirales"
"35","ASV1","SRR2923757",3773,"stool","Ringel","NA","NA","1st","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales"
"55","ASV1","SRR2923349",3654,"stool","Ringel","NA","NA","1st","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales"
"2749","ASV5","SRR2923358",3647,"stool","Ringel","NA","NA","1st","Bacteria","Firmicutes","Clostridia","Oscillospirales"
"2707","ASV5","SRR2923755",3644,"stool","Ringel","NA","NA","1st","Bacteria","Firmicutes","Clostridia","Oscillospirales"
"2720","ASV5","SRR2923763",3625,"stool","Ringel","NA","NA","1st","Bacteria","Firmicutes","Clostridia","Oscillospirales"
"2705","ASV5","SRR2923787",3623,"stool","Ringel","NA","NA","1st","Bacteria","Firmicutes","Clostridia","Oscillospirales"
"1198","ASV2","SRR2923366",3608,"stool","Ringel","NA","NA","1st","Bacteria","Firmicutes","Clostridia","Lachnospirales"
"1197","ASV2","SRR2923382",3587,"stool","Ringel","NA","NA","1st","Bacteria","Firmicutes","Clostridia","Lachnospirales"
"1160","ASV2","SRR2923356",3559,"stool","Ringel","NA","NA","1st","Bacteria","Firmicutes","Clostridia","Lachnospirales"
"1129","ASV2","SRR2923387",3554,"stool","Ringel","NA","NA","1st","Bacteria","Firmicutes","Clostridia","Lachnospirales"
"1180","ASV2","SRR2923763",3507,"stool","Ringel","NA","NA","1st","Bacteria","Firmicutes","Clostridia","Lachnospirales"
"2738","ASV5","SRR2923750",3483,"stool","Ringel","NA","NA","1st","Bacteria","Firmicutes","Clostridia","Oscillospirales"
"1192","ASV2","SRR2923375",3472,"stool","Ringel","NA","NA","1st","Bacteria","Firmicutes","Clostridia","Lachnospirales"
"15","ASV1","SRR2923390",3464,"stool","Ringel","NA","NA","1st","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales"
"2706","ASV5","SRR2923772",3371,"stool","Ringel","NA","NA","1st","Bacteria","Firmicutes","Clostridia","Oscillospirales"
"73","ASV1","SRR2923354",3313,"stool","Ringel","NA","NA","1st","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales"
"1139","ASV2","SRR2923813",3277,"stool","Ringel","NA","NA","1st","Bacteria","Firmicutes","Clostridia","Lachnospirales"
"1154","ASV2","SRR2923399",3182,"stool","Ringel","NA","NA","1st","Bacteria","Firmicutes","Clostridia","Lachnospirales"
"2743","ASV5","SRR2923395",3166,"stool","Ringel","NA","NA","1st","Bacteria","Firmicutes","Clostridia","Oscillospirales"
"1191","ASV2","SRR2923380",3159,"stool","Ringel","NA","NA","1st","Bacteria","Firmicutes","Clostridia","Lachnospirales"
"2725","ASV5","SRR2923400",3142,"stool","Ringel","NA","NA","1st","Bacteria","Firmicutes","Clostridia","Oscillospirales"
"2145","ASV30","SRR2923393",3124,"stool","Ringel","NA","NA","1st","Bacteria","Firmicutes","Bacilli","Lactobacillales"
"2745","ASV5","SRR2923375",3106,"stool","Ringel","NA","NA","1st","Bacteria","Firmicutes","Clostridia","Oscillospirales"
"1136","ASV2","SRR2923383",3104,"stool","Ringel","NA","NA","1st","Bacteria","Firmicutes","Clostridia","Lachnospirales"
"2737","ASV5","SRR2923749",3084,"stool","Ringel","NA","NA","1st","Bacteria","Firmicutes","Clostridia","Oscillospirales"
"1155","ASV2","SRR2923400",3082,"stool","Ringel","NA","NA","1st","Bacteria","Firmicutes","Clostridia","Lachnospirales"
"71","ASV1","SRR2923747",3071,"stool","Ringel","NA","NA","1st","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales"
"1196","ASV2","SRR2923752",3067,"stool","Ringel","NA","NA","1st","Bacteria","Firmicutes","Clostridia","Lachnospirales"
"68","ASV1","SRR2923398",3033,"stool","Ringel","NA","NA","1st","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales"
"1127","ASV2","SRR2923772",3016,"stool","Ringel","NA","NA","1st","Bacteria","Firmicutes","Clostridia","Lachnospirales"
"1152","ASV2","SRR2923759",3011,"stool","Ringel","NA","NA","1st","Bacteria","Firmicutes","Clostridia","Lachnospirales"
"2160","ASV30","SRR2923792",2973,"stool","Ringel","NA","NA","1st","Bacteria","Firmicutes","Bacilli","Lactobacillales"
"22","ASV1","SRR2923364",2971,"stool","Ringel","NA","NA","1st","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales"
"1193","ASV2","SRR2923754",2934,"stool","Ringel","NA","NA","1st","Bacteria","Firmicutes","Clostridia","Lachnospirales"
"1156","ASV2","SRR2923799",2917,"stool","Ringel","NA","NA","1st","Bacteria","Firmicutes","Clostridia","Lachnospirales"
"1137","ASV2","SRR2923350",2908,"stool","Ringel","NA","NA","1st","Bacteria","Firmicutes","Clostridia","Lachnospirales"
"1140","ASV2","SRR2923787",2882,"stool","Ringel","NA","NA","1st","Bacteria","Firmicutes","Clostridia","Lachnospirales"
"1157","ASV2","SRR2923800",2838,"stool","Ringel","NA","NA","1st","Bacteria","Firmicutes","Clostridia","Lachnospirales"
"2859","ASV9","SRR2923787",2786,"stool","Ringel","NA","NA","1st","Bacteria","Firmicutes","Bacilli","Erysipelotrichales"
"1187","ASV2","SRR2923357",2768,"stool","Ringel","NA","NA","1st","Bacteria","Firmicutes","Clostridia","Lachnospirales"
"2713","ASV5","SRR2923799",2756,"stool","Ringel","NA","NA","1st","Bacteria","Firmicutes","Clostridia","Oscillospirales"
"37","ASV1","SRR2923358",2719,"stool","Ringel","NA","NA","1st","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales"
"2715","ASV5","SRR2923391",2710,"stool","Ringel","NA","NA","1st","Bacteria","Firmicutes","Clostridia","Oscillospirales"
"67","ASV1","SRR2923800",2657,"stool","Ringel","NA","NA","1st","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales"
"1188","ASV2","SRR2923354",2637,"stool","Ringel","NA","NA","1st","Bacteria","Firmicutes","Clostridia","Lachnospirales"
"2752","ASV5","SRR2923751",2608,"stool","Ringel","NA","NA","1st","Bacteria","Firmicutes","Clostridia","Oscillospirales"
"1153","ASV2","SRR2923358",2587,"stool","Ringel","NA","NA","1st","Bacteria","Firmicutes","Clostridia","Lachnospirales"
"1149","ASV2","SRR2923794",2573,"stool","Ringel","NA","NA","1st","Bacteria","Firmicutes","Clostridia","Lachnospirales"
"1164","ASV2","SRR2923378",2539,"stool","Ringel","NA","NA","1st","Bacteria","Firmicutes","Clostridia","Lachnospirales"
"1145","ASV2","SRR2923349",2509,"stool","Ringel","NA","NA","1st","Bacteria","Firmicutes","Clostridia","Lachnospirales"
"28","ASV1","SRR2923348",2499,"stool","Ringel","NA","NA","1st","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales"
"14","ASV1","SRR2923395",2480,"stool","Ringel","NA","NA","1st","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales"
"1199","ASV2","SRR2923365",2477,"stool","Ringel","NA","NA","1st","Bacteria","Firmicutes","Clostridia","Lachnospirales"
"48","ASV1","SRR2923765",2470,"stool","Ringel","NA","NA","1st","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales"
"61","ASV1","SRR2923809",2467,"stool","Ringel","NA","NA","1st","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales"
"1159","ASV2","SRR2923803",2464,"stool","Ringel","NA","NA","1st","Bacteria","Firmicutes","Clostridia","Lachnospirales"
"27","ASV1","SRR2923351",2457,"stool","Ringel","NA","NA","1st","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales"
"1169","ASV2","SRR2923747",2454,"stool","Ringel","NA","NA","1st","Bacteria","Firmicutes","Clostridia","Lachnospirales"
"2925","ASV9","SRR2923363",2421,"stool","Ringel","NA","NA","1st","Bacteria","Firmicutes","Bacilli","Erysipelotrichales"
"1189","ASV2","SRR2923771",2418,"stool","Ringel","NA","NA","1st","Bacteria","Firmicutes","Clostridia","Lachnospirales"
"2721","ASV5","SRR2923811",2418,"stool","Ringel","NA","NA","1st","Bacteria","Firmicutes","Clostridia","Oscillospirales"
"43","ASV1","SRR2923796",2384,"stool","Ringel","NA","NA","1st","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales"
"2702","ASV5","SRR2923350",2376,"stool","Ringel","NA","NA","1st","Bacteria","Firmicutes","Clostridia","Oscillospirales"
"2726","ASV5","SRR2923805",2361,"stool","Ringel","NA","NA","1st","Bacteria","Firmicutes","Clostridia","Oscillospirales"
"1128","ASV2","SRR2923385",2333,"stool","Ringel","NA","NA","1st","Bacteria","Firmicutes","Clostridia","Lachnospirales"
"2703","ASV5","SRR2923789",2325,"stool","Ringel","NA","NA","1st","Bacteria","Firmicutes","Clostridia","Oscillospirales"
"2712","ASV5","SRR2923803",2323,"stool","Ringel","NA","NA","1st","Bacteria","Firmicutes","Clostridia","Oscillospirales"
"72","ASV1","SRR2923366",2297,"stool","Ringel","NA","NA","1st","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales"
"52","ASV1","SRR2923400",2252,"stool","Ringel","NA","NA","1st","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales"
"2763","ASV5","SRR2923363",2236,"stool","Ringel","NA","NA","1st","Bacteria","Firmicutes","Clostridia","Oscillospirales"
"1143","ASV2","SRR2923327",2214,"stool","Ringel","NA","NA","1st","Bacteria","Firmicutes","Clostridia","Lachnospirales"
"2733","ASV5","SRR2923369",2213,"stool","Ringel","NA","NA","1st","Bacteria","Firmicutes","Clostridia","Oscillospirales"
"1162","ASV2","SRR2923391",2181,"stool","Ringel","NA","NA","1st","Bacteria","Firmicutes","Clostridia","Lachnospirales"
"1132","ASV2","SRR2923755",2148,"stool","Ringel","NA","NA","1st","Bacteria","Firmicutes","Clostridia","Lachnospirales"
"1175","ASV2","SRR2923398",2135,"stool","Ringel","NA","NA","1st","Bacteria","Firmicutes","Clostridia","Lachnospirales"
"2","ASV1","SRR2923792",2019,"stool","Ringel","NA","NA","1st","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales"
"69","ASV1","SRR2923754",2015,"stool","Ringel","NA","NA","1st","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales"
"4","ASV1","SRR2923772",2010,"stool","Ringel","NA","NA","1st","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales"
"2730","ASV5","SRR2923387",1999,"stool","Ringel","NA","NA","1st","Bacteria","Firmicutes","Clostridia","Oscillospirales"
"49","ASV1","SRR2923365",1975,"stool","Ringel","NA","NA","1st","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales"
"1141","ASV2","SRR2923369",1961,"stool","Ringel","NA","NA","1st","Bacteria","Firmicutes","Clostridia","Lachnospirales"
"1170","ASV2","SRR2923806",1959,"stool","Ringel","NA","NA","1st","Bacteria","Firmicutes","Clostridia","Lachnospirales"
"2758","ASV5","SRR2923794",1943,"stool","Ringel","NA","NA","1st","Bacteria","Firmicutes","Clostridia","Oscillospirales"
"2766","ASV5","SRR2923366",1872,"stool","Ringel","NA","NA","1st","Bacteria","Firmicutes","Clostridia","Oscillospirales"
"2754","ASV5","SRR2923754",1869,"stool","Ringel","NA","NA","1st","Bacteria","Firmicutes","Clostridia","Oscillospirales"
"1142","ASV2","SRR2923797",1844,"stool","Ringel","NA","NA","1st","Bacteria","Firmicutes","Clostridia","Lachnospirales"
"2724","ASV5","SRR2923399",1829,"stool","Ringel","NA","NA","1st","Bacteria","Firmicutes","Clostridia","Oscillospirales"
"2757","ASV5","SRR2923397",1808,"stool","Ringel","NA","NA","1st","Bacteria","Firmicutes","Clostridia","Oscillospirales"
"2727","ASV5","SRR2923800",1785,"stool","Ringel","NA","NA","1st","Bacteria","Firmicutes","Clostridia","Oscillospirales"
"1138","ASV2","SRR2923757",1778,"stool","Ringel","NA","NA","1st","Bacteria","Firmicutes","Clostridia","Lachnospirales"
"2747","ASV5","SRR2923765",1747,"stool","Ringel","NA","NA","1st","Bacteria","Firmicutes","Clostridia","Oscillospirales"
"30","ASV1","SRR2923385",1746,"stool","Ringel","NA","NA","1st","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales"
"2750","ASV5","SRR2923359",1722,"stool","Ringel","NA","NA","1st","Bacteria","Firmicutes","Clostridia","Oscillospirales"
"2751","ASV5","SRR2923360",1721,"stool","Ringel","NA","NA","1st","Bacteria","Firmicutes","Clostridia","Oscillospirales"
"2775","ASV5","SRR2923380",1719,"stool","Ringel","NA","NA","1st","Bacteria","Firmicutes","Clostridia","Oscillospirales"
"57","ASV1","SRR2923371",1714,"stool","Ringel","NA","NA","1st","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales"
"1161","ASV2","SRR2923397",1709,"stool","Ringel","NA","NA","1st","Bacteria","Firmicutes","Clostridia","Lachnospirales"
"2771","ASV5","SRR2923768",1673,"stool","Ringel","NA","NA","1st","Bacteria","Firmicutes","Clostridia","Oscillospirales"
"1135","ASV2","SRR2923792",1669,"stool","Ringel","NA","NA","1st","Bacteria","Firmicutes","Clostridia","Lachnospirales"
"53","ASV1","SRR2923356",1657,"stool","Ringel","NA","NA","1st","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales"
"1146","ASV2","SRR2923355",1645,"stool","Ringel","NA","NA","1st","Bacteria","Firmicutes","Clostridia","Lachnospirales"
"2767","ASV5","SRR2923398",1644,"stool","Ringel","NA","NA","1st","Bacteria","Firmicutes","Clostridia","Oscillospirales"
"40","ASV1","SRR2923799",1636,"stool","Ringel","NA","NA","1st","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales"
"1183","ASV2","SRR2923748",1633,"stool","Ringel","NA","NA","1st","Bacteria","Firmicutes","Clostridia","Lachnospirales"
"26","ASV1","SRR2923355",1624,"stool","Ringel","NA","NA","1st","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales"
"2723","ASV5","SRR2923348",1620,"stool","Ringel","NA","NA","1st","Bacteria","Firmicutes","Clostridia","Oscillospirales"
"2920","ASV9","SRR2923774",1610,"stool","Ringel","NA","NA","1st","Bacteria","Firmicutes","Bacilli","Erysipelotrichales"
"1186","ASV2","SRR2923765",1601,"stool","Ringel","NA","NA","1st","Bacteria","Firmicutes","Clostridia","Lachnospirales"
"2753","ASV5","SRR2923752",1590,"stool","Ringel","NA","NA","1st","Bacteria","Firmicutes","Clostridia","Oscillospirales"
"1158","ASV2","SRR2923802",1589,"stool","Ringel","NA","NA","1st","Bacteria","Firmicutes","Clostridia","Lachnospirales"
"2701","ASV5","SRR2923797",1577,"stool","Ringel","NA","NA","1st","Bacteria","Firmicutes","Clostridia","Oscillospirales"
"394","ASV14","SRR2923787",1567,"stool","Ringel","NA","NA","1st","Bacteria","Actinobacteriota","Coriobacteriia","Coriobacteriales"
"75","ASV1","SRR2923357",1556,"stool","Ringel","NA","NA","1st","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales"
"1172","ASV2","SRR2923809",1541,"stool","Ringel","NA","NA","1st","Bacteria","Firmicutes","Clostridia","Lachnospirales"
"1167","ASV2","SRR2923359",1513,"stool","Ringel","NA","NA","1st","Bacteria","Firmicutes","Clostridia","Lachnospirales"
"2710","ASV5","SRR2923349",1498,"stool","Ringel","NA","NA","1st","Bacteria","Firmicutes","Clostridia","Oscillospirales"
"403","ASV14","SRR2923399",1476,"stool","Ringel","NA","NA","1st","Bacteria","Actinobacteriota","Coriobacteriia","Coriobacteriales"
"65","ASV1","SRR2923350",1471,"stool","Ringel","NA","NA","1st","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales"
"2762","ASV5","SRR2923362",1459,"stool","Ringel","NA","NA","1st","Bacteria","Firmicutes","Clostridia","Oscillospirales"
"1144","ASV2","SRR2923348",1433,"stool","Ringel","NA","NA","1st","Bacteria","Firmicutes","Clostridia","Lachnospirales"
"2888","ASV9","SRR2923378",1430,"stool","Ringel","NA","NA","1st","Bacteria","Firmicutes","Bacilli","Erysipelotrichales"
"2870","ASV9","SRR2923803",1398,"stool","Ringel","NA","NA","1st","Bacteria","Firmicutes","Bacilli","Erysipelotrichales"
"13","ASV1","SRR2923797",1363,"stool","Ringel","NA","NA","1st","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales"
"1173","ASV2","SRR2923805",1289,"stool","Ringel","NA","NA","1st","Bacteria","Firmicutes","Clostridia","Lachnospirales"
"2866","ASV9","SRR2923811",1282,"stool","Ringel","NA","NA","1st","Bacteria","Firmicutes","Bacilli","Erysipelotrichales"
"397","ASV14","SRR2923353",1280,"stool","Ringel","NA","NA","1st","Bacteria","Actinobacteriota","Coriobacteriia","Coriobacteriales"
"1131","ASV2","SRR2923368",1228,"stool","Ringel","NA","NA","1st","Bacteria","Firmicutes","Clostridia","Lachnospirales"
"416","ASV14","SRR2923808",1215,"stool","Ringel","NA","NA","1st","Bacteria","Actinobacteriota","Coriobacteriia","Coriobacteriales"
"2877","ASV9","SRR2923761",1214,"stool","Ringel","NA","NA","1st","Bacteria","Firmicutes","Bacilli","Erysipelotrichales"
"2543","ASV34","SRR2923380",1207,"stool","Ringel","NA","NA","1st","Bacteria","Firmicutes","Clostridia","Peptostreptococcales-Tissierellales"
"2509","ASV34","SRR2923748",1201,"stool","Ringel","NA","NA","1st","Bacteria","Firmicutes","Clostridia","Peptostreptococcales-Tissierellales"
"2728","ASV5","SRR2923354",1200,"stool","Ringel","NA","NA","1st","Bacteria","Firmicutes","Clostridia","Oscillospirales"
"1181","ASV2","SRR2923364",1194,"stool","Ringel","NA","NA","1st","Bacteria","Firmicutes","Clostridia","Lachnospirales"
"1991","ASV28","SRR2923789",1188,"stool","Ringel","NA","NA","1st","Bacteria","Firmicutes","Clostridia","Christensenellales"
"2739","ASV5","SRR2923747",1184,"stool","Ringel","NA","NA","1st","Bacteria","Firmicutes","Clostridia","Oscillospirales"
"2506","ASV34","SRR2923755",1179,"stool","Ringel","NA","NA","1st","Bacteria","Firmicutes","Clostridia","Peptostreptococcales-Tissierellales"
"1165","ASV2","SRR2923766",1167,"stool","Ringel","NA","NA","1st","Bacteria","Firmicutes","Clostridia","Lachnospirales"
"62","ASV1","SRR2923805",1155,"stool","Ringel","NA","NA","1st","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales"
"2760","ASV5","SRR2923371",1155,"stool","Ringel","NA","NA","1st","Bacteria","Firmicutes","Clostridia","Oscillospirales"
"12","ASV1","SRR2923802",1149,"stool","Ringel","NA","NA","1st","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales"
"2744","ASV5","SRR2923792",1149,"stool","Ringel","NA","NA","1st","Bacteria","Firmicutes","Clostridia","Oscillospirales"
"2708","ASV5","SRR2923773",1126,"stool","Ringel","NA","NA","1st","Bacteria","Firmicutes","Clostridia","Oscillospirales"
"17","ASV1","SRR2923789",1101,"stool","Ringel","NA","NA","1st","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales"
"2909","ASV9","SRR2923750",1072,"stool","Ringel","NA","NA","1st","Bacteria","Firmicutes","Bacilli","Erysipelotrichales"
"2874","ASV9","SRR2923789",1071,"stool","Ringel","NA","NA","1st","Bacteria","Firmicutes","Bacilli","Erysipelotrichales"
"2736","ASV5","SRR2923748",1056,"stool","Ringel","NA","NA","1st","Bacteria","Firmicutes","Clostridia","Oscillospirales"
"2717","ASV5","SRR2923791",1040,"stool","Ringel","NA","NA","1st","Bacteria","Firmicutes","Clostridia","Oscillospirales"
"2890","ASV9","SRR2923368",1040,"stool","Ringel","NA","NA","1st","Bacteria","Firmicutes","Bacilli","Erysipelotrichales"
"2765","ASV5","SRR2923365",1022,"stool","Ringel","NA","NA","1st","Bacteria","Firmicutes","Clostridia","Oscillospirales"
"2719","ASV5","SRR2923761",1021,"stool","Ringel","NA","NA","1st","Bacteria","Firmicutes","Clostridia","Oscillospirales"
"58","ASV1","SRR2923759",1016,"stool","Ringel","NA","NA","1st","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales"
"2157","ASV30","SRR2923808",1012,"stool","Ringel","NA","NA","1st","Bacteria","Firmicutes","Bacilli","Lactobacillales"
"1147","ASV2","SRR2923351",1011,"stool","Ringel","NA","NA","1st","Bacteria","Firmicutes","Clostridia","Lachnospirales"
"1151","ASV2","SRR2923371",1007,"stool","Ringel","NA","NA","1st","Bacteria","Firmicutes","Clostridia","Lachnospirales"
"2873","ASV9","SRR2923794",988,"stool","Ringel","NA","NA","1st","Bacteria","Firmicutes","Bacilli","Erysipelotrichales"
"33","ASV1","SRR2923768",987,"stool","Ringel","NA","NA","1st","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales"
"2755","ASV5","SRR2923809",974,"stool","Ringel","NA","NA","1st","Bacteria","Firmicutes","Clostridia","Oscillospirales"
"429","ASV14","SRR2923749",969,"stool","Ringel","NA","NA","1st","Bacteria","Actinobacteriota","Coriobacteriia","Coriobacteriales"
"2774","ASV5","SRR2923766",960,"stool","Ringel","NA","NA","1st","Bacteria","Firmicutes","Clostridia","Oscillospirales"
"2768","ASV5","SRR2923771",939,"stool","Ringel","NA","NA","1st","Bacteria","Firmicutes","Clostridia","Oscillospirales"
"7","ASV1","SRR2923761",917,"stool","Ringel","NA","NA","1st","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales"
"2711","ASV5","SRR2923802",912,"stool","Ringel","NA","NA","1st","Bacteria","Firmicutes","Clostridia","Oscillospirales"
"2893","ASV9","SRR2923813",907,"stool","Ringel","NA","NA","1st","Bacteria","Firmicutes","Bacilli","Erysipelotrichales"
"2862","ASV9","SRR2923395",904,"stool","Ringel","NA","NA","1st","Bacteria","Firmicutes","Bacilli","Erysipelotrichales"
"2748","ASV5","SRR2923361",885,"stool","Ringel","NA","NA","1st","Bacteria","Firmicutes","Clostridia","Oscillospirales"
"2761","ASV5","SRR2923813",881,"stool","Ringel","NA","NA","1st","Bacteria","Firmicutes","Clostridia","Oscillospirales"
"2858","ASV9","SRR2923351",873,"stool","Ringel","NA","NA","1st","Bacteria","Firmicutes","Bacilli","Erysipelotrichales"
"433","ASV14","SRR2923391",857,"stool","Ringel","NA","NA","1st","Bacteria","Actinobacteriota","Coriobacteriia","Coriobacteriales"
"24","ASV1","SRR2923748",855,"stool","Ringel","NA","NA","1st","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales"
"51","ASV1","SRR2923749",846,"stool","Ringel","NA","NA","1st","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales"
"2718","ASV5","SRR2923353",823,"stool","Ringel","NA","NA","1st","Bacteria","Firmicutes","Clostridia","Oscillospirales"
"2773","ASV5","SRR2923759",814,"stool","Ringel","NA","NA","1st","Bacteria","Firmicutes","Clostridia","Oscillospirales"
"2886","ASV9","SRR2923391",812,"stool","Ringel","NA","NA","1st","Bacteria","Firmicutes","Bacilli","Erysipelotrichales"
"2759","ASV5","SRR2923796",810,"stool","Ringel","NA","NA","1st","Bacteria","Firmicutes","Clostridia","Oscillospirales"
"1195","ASV2","SRR2923361",806,"stool","Ringel","NA","NA","1st","Bacteria","Firmicutes","Clostridia","Lachnospirales"
"39","ASV1","SRR2923803",798,"stool","Ringel","NA","NA","1st","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales"
"20","ASV1","SRR2923368",789,"stool","Ringel","NA","NA","1st","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales"
"2769","ASV5","SRR2923378",778,"stool","Ringel","NA","NA","1st","Bacteria","Firmicutes","Clostridia","Oscillospirales"
"1190","ASV2","SRR2923376",772,"stool","Ringel","NA","NA","1st","Bacteria","Firmicutes","Clostridia","Lachnospirales"
"1981","ASV28","SRR2923358",743,"stool","Ringel","NA","NA","1st","Bacteria","Firmicutes","Clostridia","Christensenellales"
"2770","ASV5","SRR2923357",735,"stool","Ringel","NA","NA","1st","Bacteria","Firmicutes","Clostridia","Oscillospirales"
"2865","ASV9","SRR2923755",720,"stool","Ringel","NA","NA","1st","Bacteria","Firmicutes","Bacilli","Erysipelotrichales"
"2764","ASV5","SRR2923364",713,"stool","Ringel","NA","NA","1st","Bacteria","Firmicutes","Clostridia","Oscillospirales"
"398","ASV14","SRR2923761",693,"stool","Ringel","NA","NA","1st","Bacteria","Actinobacteriota","Coriobacteriia","Coriobacteriales"
"1957","ASV28","SRR2923797",687,"stool","Ringel","NA","NA","1st","Bacteria","Firmicutes","Clostridia","Christensenellales"
"2916","ASV9","SRR2923366",687,"stool","Ringel","NA","NA","1st","Bacteria","Firmicutes","Bacilli","Erysipelotrichales"
"2885","ASV9","SRR2923397",676,"stool","Ringel","NA","NA","1st","Bacteria","Firmicutes","Bacilli","Erysipelotrichales"
"38","ASV1","SRR2923808",672,"stool","Ringel","NA","NA","1st","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales"
"74","ASV1","SRR2923360",665,"stool","Ringel","NA","NA","1st","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales"
