"","OTU","Sample","Abundance","sample_type","author","host_disease","host_subtype","Collection","Kingdom","Phylum","Class","Order","Family","Genus"
"3165","ASV2037","SRR2923794",16,"stool","Ringel","NA","NA","1st","Bacteria","Actinobacteriota","Actinobacteria","Actinomycetales","Actinomycetaceae","Actinomyces"
"3758","ASV226","SRR2923356",16,"stool","Ringel","NA","NA","1st","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Rikenellaceae","Alistipes"
"3786","ASV226","SRR2923373",16,"stool","Ringel","NA","NA","1st","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Rikenellaceae","Alistipes"
"3797","ASV226","SRR2923806",16,"stool","Ringel","NA","NA","1st","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Rikenellaceae","Alistipes"
"3839","ASV230","SRR2923397",16,"stool","Ringel","NA","NA","1st","Bacteria","Firmicutes","Clostridia","Oscillospirales","Ruminococcaceae","Incertae_Sedis"
"3895","ASV230","SRR2923747",16,"stool","Ringel","NA","NA","1st","Bacteria","Firmicutes","Clostridia","Oscillospirales","Ruminococcaceae","Incertae_Sedis"
"4011","ASV235","SRR2923376",16,"stool","Ringel","NA","NA","1st","Bacteria","Actinobacteriota","Coriobacteriia","Coriobacteriales","Eggerthellaceae","Adlercreutzia"
"4533","ASV26","SRR2923359",16,"stool","Ringel","NA","NA","1st","Bacteria","Firmicutes","Bacilli","Erysipelotrichales","Erysipelotrichaceae","Turicibacter"
"5377","ASV28","SRR2923759",16,"stool","Ringel","NA","NA","1st","Bacteria","Firmicutes","Clostridia","Christensenellales","Christensenellaceae","Christensenellaceae_R-7_group"
"5390","ASV28","SRR2923761",16,"stool","Ringel","NA","NA","1st","Bacteria","Firmicutes","Clostridia","Christensenellales","Christensenellaceae","Christensenellaceae_R-7_group"
"6465","ASV30","SRR2923361",16,"stool","Ringel","NA","NA","1st","Bacteria","Firmicutes","Bacilli","Lactobacillales","Streptococcaceae","Streptococcus"
"7652","ASV334","SRR2923368",16,"stool","Ringel","NA","NA","1st","Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacterales","Enterobacteriaceae","Escherichia/Shigella"
"8064","ASV378","SRR2923789",16,"stool","Ringel","NA","NA","1st","Bacteria","Firmicutes","Clostridia","Peptostreptococcales-Tissierellales","Anaerovoracaceae","Family_XIII_AD3011_group"
"8316","ASV411","SRR2923369",16,"stool","Ringel","NA","NA","1st","Bacteria","Firmicutes","Clostridia","Oscillospirales","Oscillospiraceae","Flavonifractor"
"8479","ASV45","SRR2923797",16,"stool","Ringel","NA","NA","1st","Bacteria","Firmicutes","Bacilli","Erysipelotrichales","Erysipelotrichaceae","Faecalitalea"
"8488","ASV45","SRR2923766",16,"stool","Ringel","NA","NA","1st","Bacteria","Firmicutes","Bacilli","Erysipelotrichales","Erysipelotrichaceae","Faecalitalea"
"8668","ASV495","SRR2923387",16,"stool","Ringel","NA","NA","1st","Bacteria","Firmicutes","Negativicutes","Veillonellales-Selenomonadales","Selenomonadaceae","Megamonas"
"8973","ASV51","SRR2923348",16,"stool","Ringel","NA","NA","1st","Bacteria","Firmicutes","Bacilli","Lactobacillales","Lactobacillaceae","Lactobacillus"
"9093","ASV58","SRR2923748",16,"stool","Ringel","NA","NA","1st","Bacteria","Firmicutes","Clostridia","Lachnospirales","Lachnospiraceae","Fusicatenibacter"
"9173","ASV607","SRR2923376",16,"stool","Ringel","NA","NA","1st","Bacteria","Firmicutes","Clostridia","Lachnospirales","Lachnospiraceae","Marvinbryantia"
"9624","ASV682","SRR2923761",16,"stool","Ringel","NA","NA","1st","Bacteria","Firmicutes","Bacilli","Erysipelotrichales","Erysipelatoclostridiaceae","Coprobacillus"
"9817","ASV716","SRR2923768",16,"stool","Ringel","NA","NA","1st","Bacteria","Actinobacteriota","Coriobacteriia","Coriobacteriales","Eggerthellaceae","Eggerthella"
"10049","ASV798","SRR2923800",16,"stool","Ringel","NA","NA","1st","Bacteria","Firmicutes","Clostridia","Lachnospirales","Lachnospiraceae","Tuzzerella"
"10190","ASV83","SRR2923750",16,"stool","Ringel","NA","NA","1st","Bacteria","Firmicutes","Clostridia","Peptostreptococcales-Tissierellales","Peptostreptococcaceae","Intestinibacter"
"10194","ASV83","SRR2923805",16,"stool","Ringel","NA","NA","1st","Bacteria","Firmicutes","Clostridia","Peptostreptococcales-Tissierellales","Peptostreptococcaceae","Intestinibacter"
"10512","ASV92","SRR2923800",16,"stool","Ringel","NA","NA","1st","Bacteria","Firmicutes","Negativicutes","Acidaminococcales","Acidaminococcaceae","Phascolarctobacterium"
"10782","ASV948","SRR2923378",16,"stool","Ringel","NA","NA","1st","Bacteria","Firmicutes","Clostridia","Lachnospirales","Lachnospiraceae","Tyzzerella"
"10961","ASV994","SRR2923391",16,"stool","Ringel","NA","NA","1st","Bacteria","Firmicutes","Clostridia","Oscillospirales","Butyricicoccaceae","Butyricicoccus"
"237","ASV114","SRR2923771",15,"stool","Ringel","NA","NA","1st","Bacteria","Firmicutes","Clostridia","Lachnospirales","Lachnospiraceae","Lachnospiraceae_ND3007_group"
"244","ASV114","SRR2923763",15,"stool","Ringel","NA","NA","1st","Bacteria","Firmicutes","Clostridia","Lachnospirales","Lachnospiraceae","Lachnospiraceae_ND3007_group"
"491","ASV1182","SRR2923400",15,"stool","Ringel","NA","NA","1st","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Marinifilaceae","Odoribacter"
"809","ASV126","SRR2923747",15,"stool","Ringel","NA","NA","1st","Bacteria","Firmicutes","Clostridia","Lachnospirales","Lachnospiraceae","Lachnospiraceae_NK4A136_group"
"968","ASV133","SRR2923768",15,"stool","Ringel","NA","NA","1st","Bacteria","Firmicutes","Clostridia","Monoglobales","Monoglobaceae","Monoglobus"
"1804","ASV1582","SRR2923371",15,"stool","Ringel","NA","NA","1st","Bacteria","Firmicutes","Clostridia","Lachnospirales","Lachnospiraceae","Lachnospiraceae_FCS020_group"
"3725","ASV221","SRR2923378",15,"stool","Ringel","NA","NA","1st","Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Sutterellaceae","Parasutterella"
"3750","ASV221","SRR2923754",15,"stool","Ringel","NA","NA","1st","Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Sutterellaceae","Parasutterella"
"3811","ASV226","SRR2923359",15,"stool","Ringel","NA","NA","1st","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Rikenellaceae","Alistipes"
"3830","ASV230","SRR2923356",15,"stool","Ringel","NA","NA","1st","Bacteria","Firmicutes","Clostridia","Oscillospirales","Ruminococcaceae","Incertae_Sedis"
"5328","ASV28","SRR2923361",15,"stool","Ringel","NA","NA","1st","Bacteria","Firmicutes","Clostridia","Christensenellales","Christensenellaceae","Christensenellaceae_R-7_group"
"6395","ASV3","SRR2923806",15,"stool","Ringel","NA","NA","1st","Bacteria","Firmicutes","Clostridia","Lachnospirales","Lachnospiraceae","Agathobacter"
"6431","ASV3","SRR2923755",15,"stool","Ringel","NA","NA","1st","Bacteria","Firmicutes","Clostridia","Lachnospirales","Lachnospiraceae","Agathobacter"
"6460","ASV30","SRR2923754",15,"stool","Ringel","NA","NA","1st","Bacteria","Firmicutes","Bacilli","Lactobacillales","Streptococcaceae","Streptococcus"
"6467","ASV30","SRR2923802",15,"stool","Ringel","NA","NA","1st","Bacteria","Firmicutes","Bacilli","Lactobacillales","Streptococcaceae","Streptococcus"
"7116","ASV308","SRR2923748",15,"stool","Ringel","NA","NA","1st","Bacteria","Firmicutes","Clostridia","Oscillospirales","Oscillospiraceae","NK4A214_group"
"7768","ASV34","SRR2923803",15,"stool","Ringel","NA","NA","1st","Bacteria","Firmicutes","Clostridia","Peptostreptococcales-Tissierellales","Peptostreptococcaceae","Romboutsia"
"8547","ASV45","SRR2923755",15,"stool","Ringel","NA","NA","1st","Bacteria","Firmicutes","Bacilli","Erysipelotrichales","Erysipelotrichaceae","Faecalitalea"
"9333","ASV636","SRR2923355",15,"stool","Ringel","NA","NA","1st","Bacteria","Firmicutes","Clostridia","Oscillospirales","Ruminococcaceae","Negativibacillus"
"10526","ASV92","SRR2923811",15,"stool","Ringel","NA","NA","1st","Bacteria","Firmicutes","Negativicutes","Acidaminococcales","Acidaminococcaceae","Phascolarctobacterium"
"10573","ASV92","SRR2923380",15,"stool","Ringel","NA","NA","1st","Bacteria","Firmicutes","Negativicutes","Acidaminococcales","Acidaminococcaceae","Phascolarctobacterium"
"10710","ASV946","SRR2923805",15,"stool","Ringel","NA","NA","1st","Bacteria","Firmicutes","Clostridia","Oscillospirales","Oscillospiraceae","UCG-003"
"10964","ASV994","SRR2923811",15,"stool","Ringel","NA","NA","1st","Bacteria","Firmicutes","Clostridia","Oscillospirales","Butyricicoccaceae","Butyricicoccus"
"11011","ASV994","SRR2923363",15,"stool","Ringel","NA","NA","1st","Bacteria","Firmicutes","Clostridia","Oscillospirales","Butyricicoccaceae","Butyricicoccus"
"83","ASV107","SRR2923761",14,"stool","Ringel","NA","NA","1st","Bacteria","Firmicutes","Clostridia","Oscillospirales","Oscillospiraceae","UCG-002"
"804","ASV126","SRR2923351",14,"stool","Ringel","NA","NA","1st","Bacteria","Firmicutes","Clostridia","Lachnospirales","Lachnospiraceae","Lachnospiraceae_NK4A136_group"
"841","ASV1260","SRR2923806",14,"stool","Ringel","NA","NA","1st","Bacteria","Firmicutes","Clostridia","Peptostreptococcales-Tissierellales","Anaerovoracaceae","Family_XIII_UCG-001"
"921","ASV133","SRR2923809",14,"stool","Ringel","NA","NA","1st","Bacteria","Firmicutes","Clostridia","Monoglobales","Monoglobaceae","Monoglobus"
"927","ASV133","SRR2923399",14,"stool","Ringel","NA","NA","1st","Bacteria","Firmicutes","Clostridia","Monoglobales","Monoglobaceae","Monoglobus"
"944","ASV133","SRR2923383",14,"stool","Ringel","NA","NA","1st","Bacteria","Firmicutes","Clostridia","Monoglobales","Monoglobaceae","Monoglobus"
"3335","ASV2159","SRR2923397",14,"stool","Ringel","NA","NA","1st","Bacteria","Actinobacteriota","Coriobacteriia","Coriobacteriales","Eggerthellaceae","Enterorhabdus"
"3756","ASV226","SRR2923390",14,"stool","Ringel","NA","NA","1st","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Rikenellaceae","Alistipes"
"3828","ASV230","SRR2923387",14,"stool","Ringel","NA","NA","1st","Bacteria","Firmicutes","Clostridia","Oscillospirales","Ruminococcaceae","Incertae_Sedis"
"3893","ASV230","SRR2923803",14,"stool","Ringel","NA","NA","1st","Bacteria","Firmicutes","Clostridia","Oscillospirales","Ruminococcaceae","Incertae_Sedis"
"3978","ASV235","SRR2923797",14,"stool","Ringel","NA","NA","1st","Bacteria","Actinobacteriota","Coriobacteriia","Coriobacteriales","Eggerthellaceae","Adlercreutzia"
"4024","ASV235","SRR2923748",14,"stool","Ringel","NA","NA","1st","Bacteria","Actinobacteriota","Coriobacteriia","Coriobacteriales","Eggerthellaceae","Adlercreutzia"
"4525","ASV26","SRR2923390",14,"stool","Ringel","NA","NA","1st","Bacteria","Firmicutes","Bacilli","Erysipelotrichales","Erysipelotrichaceae","Turicibacter"
"5357","ASV28","SRR2923397",14,"stool","Ringel","NA","NA","1st","Bacteria","Firmicutes","Clostridia","Christensenellales","Christensenellaceae","Christensenellaceae_R-7_group"
"6505","ASV30","SRR2923349",14,"stool","Ringel","NA","NA","1st","Bacteria","Firmicutes","Bacilli","Lactobacillales","Streptococcaceae","Streptococcus"
"7881","ASV350","SRR2923754",14,"stool","Ringel","NA","NA","1st","Bacteria","Firmicutes","Clostridia","Oscillospirales","Oscillospiraceae","Oscillibacter"
"7942","ASV350","SRR2923348",14,"stool","Ringel","NA","NA","1st","Bacteria","Firmicutes","Clostridia","Oscillospirales","Oscillospiraceae","Oscillibacter"
"7990","ASV353","SRR2923803",14,"stool","Ringel","NA","NA","1st","Bacteria","Firmicutes","Negativicutes","Acidaminococcales","Acidaminococcaceae","Acidaminococcus"
"8006","ASV353","SRR2923366",14,"stool","Ringel","NA","NA","1st","Bacteria","Firmicutes","Negativicutes","Acidaminococcales","Acidaminococcaceae","Acidaminococcus"
"8037","ASV378","SRR2923369",14,"stool","Ringel","NA","NA","1st","Bacteria","Firmicutes","Clostridia","Peptostreptococcales-Tissierellales","Anaerovoracaceae","Family_XIII_AD3011_group"
"8055","ASV378","SRR2923794",14,"stool","Ringel","NA","NA","1st","Bacteria","Firmicutes","Clostridia","Peptostreptococcales-Tissierellales","Anaerovoracaceae","Family_XIII_AD3011_group"
"8084","ASV378","SRR2923375",14,"stool","Ringel","NA","NA","1st","Bacteria","Firmicutes","Clostridia","Peptostreptococcales-Tissierellales","Anaerovoracaceae","Family_XIII_AD3011_group"
"8411","ASV425","SRR2923368",14,"stool","Ringel","NA","NA","1st","Bacteria","Firmicutes","Bacilli","Lactobacillales","Enterococcaceae","Enterococcus"
"8920","ASV505","SRR2923378",14,"stool","Ringel","NA","NA","1st","Bacteria","Firmicutes","Clostridia","Oscillospirales","Ruminococcaceae","UBA1819"
"9006","ASV567","SRR2923383",14,"stool","Ringel","NA","NA","1st","Bacteria","Firmicutes","Clostridia","Oscillospirales","Oscillospiraceae","Colidextribacter"
"9315","ASV636","SRR2923774",14,"stool","Ringel","NA","NA","1st","Bacteria","Firmicutes","Clostridia","Oscillospirales","Ruminococcaceae","Negativibacillus"
"9325","ASV636","SRR2923772",14,"stool","Ringel","NA","NA","1st","Bacteria","Firmicutes","Clostridia","Oscillospirales","Ruminococcaceae","Negativibacillus"
"10660","ASV946","SRR2923761",14,"stool","Ringel","NA","NA","1st","Bacteria","Firmicutes","Clostridia","Oscillospirales","Oscillospiraceae","UCG-003"
"10770","ASV948","SRR2923751",14,"stool","Ringel","NA","NA","1st","Bacteria","Firmicutes","Clostridia","Lachnospirales","Lachnospiraceae","Tyzzerella"
"10776","ASV948","SRR2923800",14,"stool","Ringel","NA","NA","1st","Bacteria","Firmicutes","Clostridia","Lachnospirales","Lachnospiraceae","Tyzzerella"
"304","ASV1149","SRR2923754",13,"stool","Ringel","NA","NA","1st","Bacteria","Firmicutes","Clostridia","Lachnospirales","Lachnospiraceae","Eisenbergiella"
"399","ASV116","SRR2923774",13,"stool","Ringel","NA","NA","1st","Bacteria","Firmicutes","Bacilli","Erysipelotrichales","Erysipelatoclostridiaceae","Erysipelatoclostridium"
"442","ASV116","SRR2923761",13,"stool","Ringel","NA","NA","1st","Bacteria","Firmicutes","Bacilli","Erysipelotrichales","Erysipelatoclostridiaceae","Erysipelatoclostridium"
"621","ASV1207","SRR2923390",13,"stool","Ringel","NA","NA","1st","Bacteria","Firmicutes","Negativicutes","Veillonellales-Selenomonadales","Veillonellaceae","Veillonella"
"751","ASV126","SRR2923362",13,"stool","Ringel","NA","NA","1st","Bacteria","Firmicutes","Clostridia","Lachnospirales","Lachnospiraceae","Lachnospiraceae_NK4A136_group"
"931","ASV133","SRR2923787",13,"stool","Ringel","NA","NA","1st","Bacteria","Firmicutes","Clostridia","Monoglobales","Monoglobaceae","Monoglobus"
"973","ASV133","SRR2923354",13,"stool","Ringel","NA","NA","1st","Bacteria","Firmicutes","Clostridia","Monoglobales","Monoglobaceae","Monoglobus"
"1049","ASV134","SRR2923387",13,"stool","Ringel","NA","NA","1st","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Tannerellaceae","Parabacteroides"
"1571","ASV1527","SRR2923774",13,"stool","Ringel","NA","NA","1st","Bacteria","Firmicutes","Clostridia","Lachnospirales","Lachnospiraceae","Lachnospiraceae_NK4B4_group"
"1892","ASV16","SRR2923391",13,"stool","Ringel","NA","NA","1st","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Prevotellaceae","Prevotella"
"2038","ASV1636","SRR2923400",13,"stool","Ringel","NA","NA","1st","Bacteria","Firmicutes","Clostridia","Peptococcales","Peptococcaceae","Peptococcus"
"2170","ASV1638","SRR2923751",13,"stool","Ringel","NA","NA","1st","Bacteria","Firmicutes","Clostridia","Eubacteriales","Eubacteriaceae","Eubacterium"
"3225","ASV2037","SRR2923750",13,"stool","Ringel","NA","NA","1st","Bacteria","Actinobacteriota","Actinobacteria","Actinomycetales","Actinomycetaceae","Actinomyces"
"3240","ASV2060","SRR2923797",13,"stool","Ringel","NA","NA","1st","Bacteria","Synergistota","Synergistia","Synergistales","Synergistaceae","Cloacibacillus"
"3401","ASV2187","SRR2923349",13,"stool","Ringel","NA","NA","1st","Bacteria","Firmicutes","Clostridia","Oscillospirales","Oscillospiraceae","Intestinimonas"
"3526","ASV2199","SRR2923399",13,"stool","Ringel","NA","NA","1st","Bacteria","Firmicutes","Bacilli","Erysipelotrichales","Erysipelotrichaceae","Holdemania"
"3700","ASV221","SRR2923376",13,"stool","Ringel","NA","NA","1st","Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Sutterellaceae","Parasutterella"
"3743","ASV221","SRR2923350",13,"stool","Ringel","NA","NA","1st","Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Sutterellaceae","Parasutterella"
"3886","ASV230","SRR2923327",13,"stool","Ringel","NA","NA","1st","Bacteria","Firmicutes","Clostridia","Oscillospirales","Ruminococcaceae","Incertae_Sedis"
"3980","ASV235","SRR2923369",13,"stool","Ringel","NA","NA","1st","Bacteria","Actinobacteriota","Coriobacteriia","Coriobacteriales","Eggerthellaceae","Adlercreutzia"
"3987","ASV235","SRR2923765",13,"stool","Ringel","NA","NA","1st","Bacteria","Actinobacteriota","Coriobacteriia","Coriobacteriales","Eggerthellaceae","Adlercreutzia"
"3989","ASV235","SRR2923754",13,"stool","Ringel","NA","NA","1st","Bacteria","Actinobacteriota","Coriobacteriia","Coriobacteriales","Eggerthellaceae","Adlercreutzia"
"4009","ASV235","SRR2923796",13,"stool","Ringel","NA","NA","1st","Bacteria","Actinobacteriota","Coriobacteriia","Coriobacteriales","Eggerthellaceae","Adlercreutzia"
"4028","ASV235","SRR2923787",13,"stool","Ringel","NA","NA","1st","Bacteria","Actinobacteriota","Coriobacteriia","Coriobacteriales","Eggerthellaceae","Adlercreutzia"
"6500","ASV30","SRR2923366",13,"stool","Ringel","NA","NA","1st","Bacteria","Firmicutes","Bacilli","Lactobacillales","Streptococcaceae","Streptococcus"
"7054","ASV308","SRR2923772",13,"stool","Ringel","NA","NA","1st","Bacteria","Firmicutes","Clostridia","Oscillospirales","Oscillospiraceae","NK4A214_group"
"7084","ASV308","SRR2923395",13,"stool","Ringel","NA","NA","1st","Bacteria","Firmicutes","Clostridia","Oscillospirales","Oscillospiraceae","NK4A214_group"
"7085","ASV308","SRR2923371",13,"stool","Ringel","NA","NA","1st","Bacteria","Firmicutes","Clostridia","Oscillospirales","Oscillospiraceae","NK4A214_group"
"7582","ASV330","SRR2923361",13,"stool","Ringel","NA","NA","1st","Bacteria","Firmicutes","Clostridia","Oscillospirales","Oscillospiraceae","UCG-005"
"7633","ASV330","SRR2923792",13,"stool","Ringel","NA","NA","1st","Bacteria","Firmicutes","Clostridia","Oscillospirales","Oscillospiraceae","UCG-005"
"8047","ASV378","SRR2923356",13,"stool","Ringel","NA","NA","1st","Bacteria","Firmicutes","Clostridia","Peptostreptococcales-Tissierellales","Anaerovoracaceae","Family_XIII_AD3011_group"
"8325","ASV411","SRR2923766",13,"stool","Ringel","NA","NA","1st","Bacteria","Firmicutes","Clostridia","Oscillospirales","Oscillospiraceae","Flavonifractor"
"8554","ASV481","SRR2923806",13,"stool","Ringel","NA","NA","1st","Bacteria","Firmicutes","Clostridia","Lachnospirales","Lachnospiraceae","Lachnoclostridium"
"8992","ASV51","SRR2923369",13,"stool","Ringel","NA","NA","1st","Bacteria","Firmicutes","Bacilli","Lactobacillales","Lactobacillaceae","Lactobacillus"
"9000","ASV51","SRR2923789",13,"stool","Ringel","NA","NA","1st","Bacteria","Firmicutes","Bacilli","Lactobacillales","Lactobacillaceae","Lactobacillus"
"9986","ASV798","SRR2923327",13,"stool","Ringel","NA","NA","1st","Bacteria","Firmicutes","Clostridia","Lachnospirales","Lachnospiraceae","Tuzzerella"
"10150","ASV83","SRR2923390",13,"stool","Ringel","NA","NA","1st","Bacteria","Firmicutes","Clostridia","Peptostreptococcales-Tissierellales","Peptostreptococcaceae","Intestinibacter"
"10359","ASV9","SRR2923809",13,"stool","Ringel","NA","NA","1st","Bacteria","Firmicutes","Bacilli","Erysipelotrichales","Erysipelatoclostridiaceae","Erysipelotrichaceae_UCG-003"
"10836","ASV97","SRR2923376",13,"stool","Ringel","NA","NA","1st","Bacteria","Firmicutes","Clostridia","Lachnospirales","Lachnospiraceae","Roseburia"
"11024","ASV994","SRR2923400",13,"stool","Ringel","NA","NA","1st","Bacteria","Firmicutes","Clostridia","Oscillospirales","Butyricicoccaceae","Butyricicoccus"
"119","ASV107","SRR2923749",12,"stool","Ringel","NA","NA","1st","Bacteria","Firmicutes","Clostridia","Oscillospirales","Oscillospiraceae","UCG-002"
"195","ASV1118","SRR2923803",12,"stool","Ringel","NA","NA","1st","Bacteria","Firmicutes","Clostridia","Lachnospirales","Lachnospiraceae","Sellimonas"
"354","ASV1149","SRR2923348",12,"stool","Ringel","NA","NA","1st","Bacteria","Firmicutes","Clostridia","Lachnospirales","Lachnospiraceae","Eisenbergiella"
"386","ASV116","SRR2923792",12,"stool","Ringel","NA","NA","1st","Bacteria","Firmicutes","Bacilli","Erysipelotrichales","Erysipelatoclostridiaceae","Erysipelatoclostridium"
"430","ASV116","SRR2923354",12,"stool","Ringel","NA","NA","1st","Bacteria","Firmicutes","Bacilli","Erysipelotrichales","Erysipelatoclostridiaceae","Erysipelatoclostridium"
"432","ASV116","SRR2923348",12,"stool","Ringel","NA","NA","1st","Bacteria","Firmicutes","Bacilli","Erysipelotrichales","Erysipelatoclostridiaceae","Erysipelatoclostridium"
"450","ASV116","SRR2923360",12,"stool","Ringel","NA","NA","1st","Bacteria","Firmicutes","Bacilli","Erysipelotrichales","Erysipelatoclostridiaceae","Erysipelatoclostridium"
"750","ASV1229","SRR2923376",12,"stool","Ringel","NA","NA","1st","Bacteria","Verrucomicrobiota","Verrucomicrobiae","Verrucomicrobiales","Akkermansiaceae","Akkermansia"
"767","ASV126","SRR2923348",12,"stool","Ringel","NA","NA","1st","Bacteria","Firmicutes","Clostridia","Lachnospirales","Lachnospiraceae","Lachnospiraceae_NK4A136_group"
"1816","ASV1582","SRR2923354",12,"stool","Ringel","NA","NA","1st","Bacteria","Firmicutes","Clostridia","Lachnospirales","Lachnospiraceae","Lachnospiraceae_FCS020_group"
"2209","ASV164","SRR2923361",12,"stool","Ringel","NA","NA","1st","Bacteria","Firmicutes","Negativicutes","Veillonellales-Selenomonadales","Veillonellaceae","Dialister"
"2324","ASV1689","SRR2923803",12,"stool","Ringel","NA","NA","1st","Bacteria","Actinobacteriota","Actinobacteria","Bifidobacteriales","Bifidobacteriaceae","Bifidobacterium"
"2896","ASV1951","SRR2923771",12,"stool","Ringel","NA","NA","1st","Bacteria","Actinobacteriota","Coriobacteriia","Coriobacteriales","Eggerthellaceae","Slackia"
"3730","ASV221","SRR2923792",12,"stool","Ringel","NA","NA","1st","Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Sutterellaceae","Parasutterella"
"3875","ASV230","SRR2923809",12,"stool","Ringel","NA","NA","1st","Bacteria","Firmicutes","Clostridia","Oscillospirales","Ruminococcaceae","Incertae_Sedis"
"4612","ASV260","SRR2923368",12,"stool","Ringel","NA","NA","1st","Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Sutterellaceae","Sutterella"
"7082","ASV308","SRR2923369",12,"stool","Ringel","NA","NA","1st","Bacteria","Firmicutes","Clostridia","Oscillospirales","Oscillospiraceae","NK4A214_group"
"7610","ASV330","SRR2923754",12,"stool","Ringel","NA","NA","1st","Bacteria","Firmicutes","Clostridia","Oscillospirales","Oscillospiraceae","UCG-005"
"7645","ASV330","SRR2923354",12,"stool","Ringel","NA","NA","1st","Bacteria","Firmicutes","Clostridia","Oscillospirales","Oscillospiraceae","UCG-005"
"7793","ASV34","SRR2923747",12,"stool","Ringel","NA","NA","1st","Bacteria","Firmicutes","Clostridia","Peptostreptococcales-Tissierellales","Peptostreptococcaceae","Romboutsia"
"7861","ASV345","SRR2923805",12,"stool","Ringel","NA","NA","1st","Bacteria","Firmicutes","Clostridia","Clostridiales","Clostridiaceae","Clostridium_sensu_stricto_1"
"7884","ASV350","SRR2923350",12,"stool","Ringel","NA","NA","1st","Bacteria","Firmicutes","Clostridia","Oscillospirales","Oscillospiraceae","Oscillibacter"
"7911","ASV350","SRR2923792",12,"stool","Ringel","NA","NA","1st","Bacteria","Firmicutes","Clostridia","Oscillospirales","Oscillospiraceae","Oscillibacter"
"7922","ASV350","SRR2923360",12,"stool","Ringel","NA","NA","1st","Bacteria","Firmicutes","Clostridia","Oscillospirales","Oscillospiraceae","Oscillibacter"
"7944","ASV350","SRR2923813",12,"stool","Ringel","NA","NA","1st","Bacteria","Firmicutes","Clostridia","Oscillospirales","Oscillospiraceae","Oscillibacter"
"8052","ASV378","SRR2923364",12,"stool","Ringel","NA","NA","1st","Bacteria","Firmicutes","Clostridia","Peptostreptococcales-Tissierellales","Anaerovoracaceae","Family_XIII_AD3011_group"
"8067","ASV378","SRR2923811",12,"stool","Ringel","NA","NA","1st","Bacteria","Firmicutes","Clostridia","Peptostreptococcales-Tissierellales","Anaerovoracaceae","Family_XIII_AD3011_group"
"8079","ASV378","SRR2923747",12,"stool","Ringel","NA","NA","1st","Bacteria","Firmicutes","Clostridia","Peptostreptococcales-Tissierellales","Anaerovoracaceae","Family_XIII_AD3011_group"
"8285","ASV411","SRR2923398",12,"stool","Ringel","NA","NA","1st","Bacteria","Firmicutes","Clostridia","Oscillospirales","Oscillospiraceae","Flavonifractor"
"8308","ASV411","SRR2923759",12,"stool","Ringel","NA","NA","1st","Bacteria","Firmicutes","Clostridia","Oscillospirales","Oscillospiraceae","Flavonifractor"
"8345","ASV418","SRR2923802",12,"stool","Ringel","NA","NA","1st","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Barnesiellaceae","Barnesiella"
"8523","ASV45","SRR2923813",12,"stool","Ringel","NA","NA","1st","Bacteria","Firmicutes","Bacilli","Erysipelotrichales","Erysipelotrichaceae","Faecalitalea"
"8533","ASV45","SRR2923754",12,"stool","Ringel","NA","NA","1st","Bacteria","Firmicutes","Bacilli","Erysipelotrichales","Erysipelotrichaceae","Faecalitalea"
"8612","ASV481","SRR2923354",12,"stool","Ringel","NA","NA","1st","Bacteria","Firmicutes","Clostridia","Lachnospirales","Lachnospiraceae","Lachnoclostridium"
"8815","ASV50","SRR2923383",12,"stool","Ringel","NA","NA","1st","Bacteria","Firmicutes","Bacilli","Lactobacillales","Streptococcaceae","Lactococcus"
"8901","ASV505","SRR2923759",12,"stool","Ringel","NA","NA","1st","Bacteria","Firmicutes","Clostridia","Oscillospirales","Ruminococcaceae","UBA1819"
"8993","ASV51","SRR2923368",12,"stool","Ringel","NA","NA","1st","Bacteria","Firmicutes","Bacilli","Lactobacillales","Lactobacillaceae","Lactobacillus"
"9023","ASV567","SRR2923773",12,"stool","Ringel","NA","NA","1st","Bacteria","Firmicutes","Clostridia","Oscillospirales","Oscillospiraceae","Colidextribacter"
"9198","ASV607","SRR2923371",12,"stool","Ringel","NA","NA","1st","Bacteria","Firmicutes","Clostridia","Lachnospirales","Lachnospiraceae","Marvinbryantia"
"9783","ASV716","SRR2923380",12,"stool","Ringel","NA","NA","1st","Bacteria","Actinobacteriota","Coriobacteriia","Coriobacteriales","Eggerthellaceae","Eggerthella"
