"","OTU","Sample","Abundance","sample_type","author","host_disease","host_subtype","Collection","Kingdom","Phylum"
"25","ASV1","SRR2923349",3654,"stool","Ringel","NA","NA","1st","Bacteria","Bacteroidota"
"505","ASV2","SRR2923362",3627,"stool","Ringel","NA","NA","1st","Bacteria","Firmicutes"
"469","ASV2","SRR2923359",3613,"stool","Ringel","NA","NA","1st","Bacteria","Firmicutes"
"525","ASV2","SRR2923364",3499,"stool","Ringel","NA","NA","1st","Bacteria","Firmicutes"
"10","ASV1","SRR2923390",3464,"stool","Ringel","NA","NA","1st","Bacteria","Bacteroidota"
"491","ASV2","SRR2923393",3314,"stool","Ringel","NA","NA","1st","Bacteria","Firmicutes"
"73","ASV1","SRR2923354",3313,"stool","Ringel","NA","NA","1st","Bacteria","Bacteroidota"
"26","ASV1","SRR2923747",3071,"stool","Ringel","NA","NA","1st","Bacteria","Bacteroidota"
"70","ASV1","SRR2923398",3033,"stool","Ringel","NA","NA","1st","Bacteria","Bacteroidota"
"524","ASV2","SRR2923773",3028,"stool","Ringel","NA","NA","1st","Bacteria","Firmicutes"
"72","ASV1","SRR2923364",2971,"stool","Ringel","NA","NA","1st","Bacteria","Bacteroidota"
"498","ASV2","SRR2923385",2853,"stool","Ringel","NA","NA","1st","Bacteria","Firmicutes"
"457","ASV2","SRR2923327",2804,"stool","Ringel","NA","NA","1st","Bacteria","Firmicutes"
"458","ASV2","SRR2923757",2793,"stool","Ringel","NA","NA","1st","Bacteria","Firmicutes"
"475","ASV2","SRR2923809",2722,"stool","Ringel","NA","NA","1st","Bacteria","Firmicutes"
"468","ASV2","SRR2923371",2720,"stool","Ringel","NA","NA","1st","Bacteria","Firmicutes"
"75","ASV1","SRR2923358",2719,"stool","Ringel","NA","NA","1st","Bacteria","Bacteroidota"
"518","ASV2","SRR2923368",2701,"stool","Ringel","NA","NA","1st","Bacteria","Firmicutes"
"496","ASV2","SRR2923802",2700,"stool","Ringel","NA","NA","1st","Bacteria","Firmicutes"
"27","ASV1","SRR2923800",2657,"stool","Ringel","NA","NA","1st","Bacteria","Bacteroidota"
"453","ASV2","SRR2923351",2607,"stool","Ringel","NA","NA","1st","Bacteria","Firmicutes"
"481","ASV2","SRR2923360",2550,"stool","Ringel","NA","NA","1st","Bacteria","Firmicutes"
"13","ASV1","SRR2923348",2499,"stool","Ringel","NA","NA","1st","Bacteria","Bacteroidota"
"46","ASV1","SRR2923395",2480,"stool","Ringel","NA","NA","1st","Bacteria","Bacteroidota"
"8","ASV1","SRR2923765",2470,"stool","Ringel","NA","NA","1st","Bacteria","Bacteroidota"
"18","ASV1","SRR2923809",2467,"stool","Ringel","NA","NA","1st","Bacteria","Bacteroidota"
"49","ASV1","SRR2923351",2461,"stool","Ringel","NA","NA","1st","Bacteria","Bacteroidota"
"31","ASV1","SRR2923796",2384,"stool","Ringel","NA","NA","1st","Bacteria","Bacteroidota"
"477","ASV2","SRR2923766",2351,"stool","Ringel","NA","NA","1st","Bacteria","Firmicutes"
"56","ASV1","SRR2923366",2297,"stool","Ringel","NA","NA","1st","Bacteria","Bacteroidota"
"520","ASV2","SRR2923791",2288,"stool","Ringel","NA","NA","1st","Bacteria","Firmicutes"
"14","ASV1","SRR2923400",2252,"stool","Ringel","NA","NA","1st","Bacteria","Bacteroidota"
"461","ASV2","SRR2923355",2189,"stool","Ringel","NA","NA","1st","Bacteria","Firmicutes"
"7","ASV1","SRR2923792",2019,"stool","Ringel","NA","NA","1st","Bacteria","Bacteroidota"
"17","ASV1","SRR2923754",2015,"stool","Ringel","NA","NA","1st","Bacteria","Bacteroidota"
"16","ASV1","SRR2923772",2010,"stool","Ringel","NA","NA","1st","Bacteria","Bacteroidota"
"504","ASV2","SRR2923376",2003,"stool","Ringel","NA","NA","1st","Bacteria","Firmicutes"
"44","ASV1","SRR2923365",1975,"stool","Ringel","NA","NA","1st","Bacteria","Bacteroidota"
"493","ASV2","SRR2923361",1781,"stool","Ringel","NA","NA","1st","Bacteria","Firmicutes"
"54","ASV1","SRR2923385",1746,"stool","Ringel","NA","NA","1st","Bacteria","Bacteroidota"
"11","ASV1","SRR2923371",1714,"stool","Ringel","NA","NA","1st","Bacteria","Bacteroidota"
"57","ASV1","SRR2923356",1657,"stool","Ringel","NA","NA","1st","Bacteria","Bacteroidota"
"15","ASV1","SRR2923799",1636,"stool","Ringel","NA","NA","1st","Bacteria","Bacteroidota"
"45","ASV1","SRR2923355",1624,"stool","Ringel","NA","NA","1st","Bacteria","Bacteroidota"
"237","ASV14","SRR2923787",1567,"stool","Ringel","NA","NA","1st","Bacteria","Actinobacteriota"
"69","ASV1","SRR2923357",1556,"stool","Ringel","NA","NA","1st","Bacteria","Bacteroidota"
"295","ASV14","SRR2923399",1476,"stool","Ringel","NA","NA","1st","Bacteria","Actinobacteriota"
"37","ASV1","SRR2923350",1471,"stool","Ringel","NA","NA","1st","Bacteria","Bacteroidota"
"3","ASV1","SRR2923797",1371,"stool","Ringel","NA","NA","1st","Bacteria","Bacteroidota"
"227","ASV14","SRR2923353",1282,"stool","Ringel","NA","NA","1st","Bacteria","Actinobacteriota"
"138","ASV105","SRR2923400",1273,"stool","Ringel","NA","NA","1st","Bacteria","WPS-2"
"245","ASV14","SRR2923808",1265,"stool","Ringel","NA","NA","1st","Bacteria","Actinobacteriota"
"50","ASV1","SRR2923805",1155,"stool","Ringel","NA","NA","1st","Bacteria","Bacteroidota"
"39","ASV1","SRR2923802",1149,"stool","Ringel","NA","NA","1st","Bacteria","Bacteroidota"
"64","ASV1","SRR2923789",1101,"stool","Ringel","NA","NA","1st","Bacteria","Bacteroidota"
"53","ASV1","SRR2923759",1016,"stool","Ringel","NA","NA","1st","Bacteria","Bacteroidota"
"32","ASV1","SRR2923768",987,"stool","Ringel","NA","NA","1st","Bacteria","Bacteroidota"
"248","ASV14","SRR2923749",969,"stool","Ringel","NA","NA","1st","Bacteria","Actinobacteriota"
"65","ASV1","SRR2923761",917,"stool","Ringel","NA","NA","1st","Bacteria","Bacteroidota"
"38","ASV1","SRR2923748",864,"stool","Ringel","NA","NA","1st","Bacteria","Bacteroidota"
"261","ASV14","SRR2923391",857,"stool","Ringel","NA","NA","1st","Bacteria","Actinobacteriota"
"9","ASV1","SRR2923749",846,"stool","Ringel","NA","NA","1st","Bacteria","Bacteroidota"
"51","ASV1","SRR2923803",798,"stool","Ringel","NA","NA","1st","Bacteria","Bacteroidota"
"68","ASV1","SRR2923368",789,"stool","Ringel","NA","NA","1st","Bacteria","Bacteroidota"
"264","ASV14","SRR2923761",693,"stool","Ringel","NA","NA","1st","Bacteria","Actinobacteriota"
"6","ASV1","SRR2923808",672,"stool","Ringel","NA","NA","1st","Bacteria","Bacteroidota"
"24","ASV1","SRR2923360",665,"stool","Ringel","NA","NA","1st","Bacteria","Bacteroidota"
"5","ASV1","SRR2923752",649,"stool","Ringel","NA","NA","1st","Bacteria","Bacteroidota"
"1","ASV1","SRR2923327",633,"stool","Ringel","NA","NA","1st","Bacteria","Bacteroidota"
"642","ASV221","SRR2923382",633,"stool","Ringel","NA","NA","1st","Bacteria","Proteobacteria"
"297","ASV14","SRR2923380",621,"stool","Ringel","NA","NA","1st","Bacteria","Actinobacteriota"
"272","ASV14","SRR2923395",590,"stool","Ringel","NA","NA","1st","Bacteria","Actinobacteriota"
"22","ASV1","SRR2923391",585,"stool","Ringel","NA","NA","1st","Bacteria","Bacteroidota"
"36","ASV1","SRR2923361",516,"stool","Ringel","NA","NA","1st","Bacteria","Bacteroidota"
"28","ASV1","SRR2923773",512,"stool","Ringel","NA","NA","1st","Bacteria","Bacteroidota"
"240","ASV14","SRR2923356",507,"stool","Ringel","NA","NA","1st","Bacteria","Actinobacteriota"
"275","ASV14","SRR2923375",507,"stool","Ringel","NA","NA","1st","Bacteria","Actinobacteriota"
"48","ASV1","SRR2923362",503,"stool","Ringel","NA","NA","1st","Bacteria","Bacteroidota"
"263","ASV14","SRR2923763",499,"stool","Ringel","NA","NA","1st","Bacteria","Actinobacteriota"
"42","ASV1","SRR2923399",483,"stool","Ringel","NA","NA","1st","Bacteria","Bacteroidota"
"40","ASV1","SRR2923774",466,"stool","Ringel","NA","NA","1st","Bacteria","Bacteroidota"
"265","ASV14","SRR2923759",433,"stool","Ringel","NA","NA","1st","Bacteria","Actinobacteriota"
"281","ASV14","SRR2923813",423,"stool","Ringel","NA","NA","1st","Bacteria","Actinobacteriota"
"649","ASV221","SRR2923393",423,"stool","Ringel","NA","NA","1st","Bacteria","Proteobacteria"
"66","ASV1","SRR2923387",411,"stool","Ringel","NA","NA","1st","Bacteria","Bacteroidota"
"666","ASV221","SRR2923757",407,"stool","Ringel","NA","NA","1st","Bacteria","Proteobacteria"
"258","ASV14","SRR2923363",394,"stool","Ringel","NA","NA","1st","Bacteria","Actinobacteriota"
"12","ASV1","SRR2923359",386,"stool","Ringel","NA","NA","1st","Bacteria","Bacteroidota"
"47","ASV1","SRR2923376",374,"stool","Ringel","NA","NA","1st","Bacteria","Bacteroidota"
"278","ASV14","SRR2923369",354,"stool","Ringel","NA","NA","1st","Bacteria","Actinobacteriota"
"300","ASV14","SRR2923387",344,"stool","Ringel","NA","NA","1st","Bacteria","Actinobacteriota"
"291","ASV14","SRR2923748",343,"stool","Ringel","NA","NA","1st","Bacteria","Actinobacteriota"
"21","ASV1","SRR2923750",342,"stool","Ringel","NA","NA","1st","Bacteria","Bacteroidota"
"63","ASV1","SRR2923791",337,"stool","Ringel","NA","NA","1st","Bacteria","Bacteroidota"
"299","ASV14","SRR2923383",319,"stool","Ringel","NA","NA","1st","Bacteria","Actinobacteriota"
"286","ASV14","SRR2923378",301,"stool","Ringel","NA","NA","1st","Bacteria","Actinobacteriota"
"271","ASV14","SRR2923397",273,"stool","Ringel","NA","NA","1st","Bacteria","Actinobacteriota"
"298","ASV14","SRR2923385",251,"stool","Ringel","NA","NA","1st","Bacteria","Actinobacteriota"
"656","ASV221","SRR2923399",249,"stool","Ringel","NA","NA","1st","Bacteria","Proteobacteria"
"236","ASV14","SRR2923789",237,"stool","Ringel","NA","NA","1st","Bacteria","Actinobacteriota"
"269","ASV14","SRR2923811",225,"stool","Ringel","NA","NA","1st","Bacteria","Actinobacteriota"
"244","ASV14","SRR2923752",211,"stool","Ringel","NA","NA","1st","Bacteria","Actinobacteriota"
"296","ASV14","SRR2923803",198,"stool","Ringel","NA","NA","1st","Bacteria","Actinobacteriota"
"246","ASV14","SRR2923362",190,"stool","Ringel","NA","NA","1st","Bacteria","Actinobacteriota"
"35","ASV1","SRR2923375",187,"stool","Ringel","NA","NA","1st","Bacteria","Bacteroidota"
"280","ASV14","SRR2923400",184,"stool","Ringel","NA","NA","1st","Bacteria","Actinobacteriota"
"232","ASV14","SRR2923766",182,"stool","Ringel","NA","NA","1st","Bacteria","Actinobacteriota"
"624","ASV221","SRR2923371",181,"stool","Ringel","NA","NA","1st","Bacteria","Proteobacteria"
"282","ASV14","SRR2923797",178,"stool","Ringel","NA","NA","1st","Bacteria","Actinobacteriota"
"629","ASV221","SRR2923813",176,"stool","Ringel","NA","NA","1st","Bacteria","Proteobacteria"
"252","ASV14","SRR2923774",174,"stool","Ringel","NA","NA","1st","Bacteria","Actinobacteriota"
"257","ASV14","SRR2923809",163,"stool","Ringel","NA","NA","1st","Bacteria","Actinobacteriota"
"614","ASV221","SRR2923366",162,"stool","Ringel","NA","NA","1st","Bacteria","Proteobacteria"
"256","ASV14","SRR2923754",158,"stool","Ringel","NA","NA","1st","Bacteria","Actinobacteriota"
"241","ASV14","SRR2923355",156,"stool","Ringel","NA","NA","1st","Bacteria","Actinobacteriota"
"235","ASV14","SRR2923791",154,"stool","Ringel","NA","NA","1st","Bacteria","Actinobacteriota"
"255","ASV14","SRR2923772",154,"stool","Ringel","NA","NA","1st","Bacteria","Actinobacteriota"
"74","ASV1","SRR2923763",152,"stool","Ringel","NA","NA","1st","Bacteria","Bacteroidota"
"284","ASV14","SRR2923796",152,"stool","Ringel","NA","NA","1st","Bacteria","Actinobacteriota"
"267","ASV14","SRR2923773",151,"stool","Ringel","NA","NA","1st","Bacteria","Actinobacteriota"
"289","ASV14","SRR2923806",148,"stool","Ringel","NA","NA","1st","Bacteria","Actinobacteriota"
"55","ASV1","SRR2923383",142,"stool","Ringel","NA","NA","1st","Bacteria","Bacteroidota"
"658","ASV221","SRR2923398",137,"stool","Ringel","NA","NA","1st","Bacteria","Proteobacteria"
"640","ASV221","SRR2923385",136,"stool","Ringel","NA","NA","1st","Bacteria","Proteobacteria"
"62","ASV1","SRR2923806",133,"stool","Ringel","NA","NA","1st","Bacteria","Bacteroidota"
"606","ASV221","SRR2923808",132,"stool","Ringel","NA","NA","1st","Bacteria","Proteobacteria"
"254","ASV14","SRR2923366",120,"stool","Ringel","NA","NA","1st","Bacteria","Actinobacteriota"
"242","ASV14","SRR2923365",115,"stool","Ringel","NA","NA","1st","Bacteria","Actinobacteriota"
"663","ASV221","SRR2923751",108,"stool","Ringel","NA","NA","1st","Bacteria","Proteobacteria"
"279","ASV14","SRR2923747",96,"stool","Ringel","NA","NA","1st","Bacteria","Actinobacteriota"
"283","ASV14","SRR2923398",95,"stool","Ringel","NA","NA","1st","Bacteria","Actinobacteriota"
"655","ASV221","SRR2923800",95,"stool","Ringel","NA","NA","1st","Bacteria","Proteobacteria"
"841","ASV868","SRR2923358",93,"stool","Ringel","NA","NA","1st","Bacteria","Cyanobacteria"
"243","ASV14","SRR2923771",85,"stool","Ringel","NA","NA","1st","Bacteria","Actinobacteriota"
"52","ASV1","SRR2923787",80,"stool","Ringel","NA","NA","1st","Bacteria","Bacteroidota"
"647","ASV221","SRR2923768",80,"stool","Ringel","NA","NA","1st","Bacteria","Proteobacteria"
"603","ASV221","SRR2923355",79,"stool","Ringel","NA","NA","1st","Bacteria","Proteobacteria"
"664","ASV221","SRR2923390",72,"stool","Ringel","NA","NA","1st","Bacteria","Proteobacteria"
"604","ASV221","SRR2923348",71,"stool","Ringel","NA","NA","1st","Bacteria","Proteobacteria"
"654","ASV221","SRR2923747",71,"stool","Ringel","NA","NA","1st","Bacteria","Proteobacteria"
"633","ASV221","SRR2923796",70,"stool","Ringel","NA","NA","1st","Bacteria","Proteobacteria"
"643","ASV221","SRR2923799",69,"stool","Ringel","NA","NA","1st","Bacteria","Proteobacteria"
"285","ASV14","SRR2923794",65,"stool","Ringel","NA","NA","1st","Bacteria","Actinobacteriota"
"251","ASV14","SRR2923358",63,"stool","Ringel","NA","NA","1st","Bacteria","Actinobacteriota"
"253","ASV14","SRR2923757",63,"stool","Ringel","NA","NA","1st","Bacteria","Actinobacteriota"
"615","ASV221","SRR2923365",63,"stool","Ringel","NA","NA","1st","Bacteria","Proteobacteria"
"653","ASV221","SRR2923789",63,"stool","Ringel","NA","NA","1st","Bacteria","Proteobacteria"
"674","ASV221","SRR2923750",60,"stool","Ringel","NA","NA","1st","Bacteria","Proteobacteria"
"270","ASV14","SRR2923364",58,"stool","Ringel","NA","NA","1st","Bacteria","Actinobacteriota"
"276","ASV14","SRR2923373",58,"stool","Ringel","NA","NA","1st","Bacteria","Actinobacteriota"
