"","OTU","Sample","Abundance","sample_type","author","host_disease","host_subtype","Collection","Kingdom","Phylum"
"155","ASV1229","SRR2923362",9,"stool","Ringel","NA","NA","1st","Bacteria","Verrucomicrobiota"
"214","ASV1229","SRR2923763",9,"stool","Ringel","NA","NA","1st","Bacteria","Verrucomicrobiota"
"292","ASV14","SRR2923382",9,"stool","Ringel","NA","NA","1st","Bacteria","Actinobacteriota"
"609","ASV221","SRR2923360",9,"stool","Ringel","NA","NA","1st","Bacteria","Proteobacteria"
"207","ASV1229","SRR2923773",8,"stool","Ringel","NA","NA","1st","Bacteria","Verrucomicrobiota"
"316","ASV1432","SRR2923748",7,"stool","Ringel","NA","NA","1st","Bacteria","Desulfobacterota"
"601","ASV221","SRR2923327",7,"stool","Ringel","NA","NA","1st","Bacteria","Proteobacteria"
"60","ASV1","SRR2923363",6,"stool","Ringel","NA","NA","1st","Bacteria","Bacteroidota"
"203","ASV1229","SRR2923789",6,"stool","Ringel","NA","NA","1st","Bacteria","Verrucomicrobiota"
"224","ASV1229","SRR2923765",6,"stool","Ringel","NA","NA","1st","Bacteria","Verrucomicrobiota"
"266","ASV14","SRR2923368",6,"stool","Ringel","NA","NA","1st","Bacteria","Actinobacteriota"
"294","ASV14","SRR2923799",6,"stool","Ringel","NA","NA","1st","Bacteria","Actinobacteriota"
"665","ASV221","SRR2923791",6,"stool","Ringel","NA","NA","1st","Bacteria","Proteobacteria"
"670","ASV221","SRR2923749",6,"stool","Ringel","NA","NA","1st","Bacteria","Proteobacteria"
"883","ASV868","SRR2923806",6,"stool","Ringel","NA","NA","1st","Bacteria","Cyanobacteria"
"190","ASV1229","SRR2923759",5,"stool","Ringel","NA","NA","1st","Bacteria","Verrucomicrobiota"
"211","ASV1229","SRR2923768",5,"stool","Ringel","NA","NA","1st","Bacteria","Verrucomicrobiota"
"610","ASV221","SRR2923359",5,"stool","Ringel","NA","NA","1st","Bacteria","Proteobacteria"
"634","ASV221","SRR2923794",5,"stool","Ringel","NA","NA","1st","Bacteria","Proteobacteria"
"726","ASV2748","SRR2923349",5,"stool","Ringel","NA","NA","1st","Bacteria","Campilobacterota"
"844","ASV868","SRR2923366",5,"stool","Ringel","NA","NA","1st","Bacteria","Cyanobacteria"
"169","ASV1229","SRR2923375",4,"stool","Ringel","NA","NA","1st","Bacteria","Verrucomicrobiota"
"364","ASV1432","SRR2923809",4,"stool","Ringel","NA","NA","1st","Bacteria","Desulfobacterota"
"628","ASV221","SRR2923383",4,"stool","Ringel","NA","NA","1st","Bacteria","Proteobacteria"
"660","ASV221","SRR2923395",4,"stool","Ringel","NA","NA","1st","Bacteria","Proteobacteria"
"671","ASV221","SRR2923755",4,"stool","Ringel","NA","NA","1st","Bacteria","Proteobacteria"
"639","ASV221","SRR2923803",3,"stool","Ringel","NA","NA","1st","Bacteria","Proteobacteria"
"675","ASV221","SRR2923761",3,"stool","Ringel","NA","NA","1st","Bacteria","Proteobacteria"
"216","ASV1229","SRR2923806",2,"stool","Ringel","NA","NA","1st","Bacteria","Verrucomicrobiota"
"221","ASV1229","SRR2923799",2,"stool","Ringel","NA","NA","1st","Bacteria","Verrucomicrobiota"
"239","ASV14","SRR2923357",2,"stool","Ringel","NA","NA","1st","Bacteria","Actinobacteriota"
"805","ASV3144","SRR2923391",2,"stool","Ringel","NA","NA","1st","Bacteria","Patescibacteria"
"19","ASV1","SRR2923794",0,"stool","Ringel","NA","NA","1st","Bacteria","Bacteroidota"
"20","ASV1","SRR2923766",0,"stool","Ringel","NA","NA","1st","Bacteria","Bacteroidota"
"30","ASV1","SRR2923811",0,"stool","Ringel","NA","NA","1st","Bacteria","Bacteroidota"
"61","ASV1","SRR2923353",0,"stool","Ringel","NA","NA","1st","Bacteria","Bacteroidota"
"76","ASV105","SRR2923354",0,"stool","Ringel","NA","NA","1st","Bacteria","WPS-2"
"77","ASV105","SRR2923792",0,"stool","Ringel","NA","NA","1st","Bacteria","WPS-2"
"78","ASV105","SRR2923351",0,"stool","Ringel","NA","NA","1st","Bacteria","WPS-2"
"79","ASV105","SRR2923350",0,"stool","Ringel","NA","NA","1st","Bacteria","WPS-2"
"80","ASV105","SRR2923327",0,"stool","Ringel","NA","NA","1st","Bacteria","WPS-2"
"81","ASV105","SRR2923349",0,"stool","Ringel","NA","NA","1st","Bacteria","WPS-2"
"82","ASV105","SRR2923348",0,"stool","Ringel","NA","NA","1st","Bacteria","WPS-2"
"83","ASV105","SRR2923362",0,"stool","Ringel","NA","NA","1st","Bacteria","WPS-2"
"84","ASV105","SRR2923355",0,"stool","Ringel","NA","NA","1st","Bacteria","WPS-2"
"85","ASV105","SRR2923797",0,"stool","Ringel","NA","NA","1st","Bacteria","WPS-2"
"86","ASV105","SRR2923353",0,"stool","Ringel","NA","NA","1st","Bacteria","WPS-2"
"87","ASV105","SRR2923363",0,"stool","Ringel","NA","NA","1st","Bacteria","WPS-2"
"88","ASV105","SRR2923794",0,"stool","Ringel","NA","NA","1st","Bacteria","WPS-2"
"89","ASV105","SRR2923766",0,"stool","Ringel","NA","NA","1st","Bacteria","WPS-2"
"90","ASV105","SRR2923765",0,"stool","Ringel","NA","NA","1st","Bacteria","WPS-2"
"91","ASV105","SRR2923360",0,"stool","Ringel","NA","NA","1st","Bacteria","WPS-2"
"92","ASV105","SRR2923359",0,"stool","Ringel","NA","NA","1st","Bacteria","WPS-2"
"93","ASV105","SRR2923803",0,"stool","Ringel","NA","NA","1st","Bacteria","WPS-2"
"94","ASV105","SRR2923802",0,"stool","Ringel","NA","NA","1st","Bacteria","WPS-2"
"95","ASV105","SRR2923357",0,"stool","Ringel","NA","NA","1st","Bacteria","WPS-2"
"96","ASV105","SRR2923356",0,"stool","Ringel","NA","NA","1st","Bacteria","WPS-2"
"97","ASV105","SRR2923799",0,"stool","Ringel","NA","NA","1st","Bacteria","WPS-2"
"98","ASV105","SRR2923365",0,"stool","Ringel","NA","NA","1st","Bacteria","WPS-2"
"99","ASV105","SRR2923364",0,"stool","Ringel","NA","NA","1st","Bacteria","WPS-2"
"100","ASV105","SRR2923796",0,"stool","Ringel","NA","NA","1st","Bacteria","WPS-2"
"101","ASV105","SRR2923768",0,"stool","Ringel","NA","NA","1st","Bacteria","WPS-2"
"102","ASV105","SRR2923376",0,"stool","Ringel","NA","NA","1st","Bacteria","WPS-2"
"103","ASV105","SRR2923361",0,"stool","Ringel","NA","NA","1st","Bacteria","WPS-2"
"104","ASV105","SRR2923806",0,"stool","Ringel","NA","NA","1st","Bacteria","WPS-2"
"105","ASV105","SRR2923805",0,"stool","Ringel","NA","NA","1st","Bacteria","WPS-2"
"106","ASV105","SRR2923371",0,"stool","Ringel","NA","NA","1st","Bacteria","WPS-2"
"107","ASV105","SRR2923358",0,"stool","Ringel","NA","NA","1st","Bacteria","WPS-2"
"108","ASV105","SRR2923787",0,"stool","Ringel","NA","NA","1st","Bacteria","WPS-2"
"109","ASV105","SRR2923800",0,"stool","Ringel","NA","NA","1st","Bacteria","WPS-2"
"110","ASV105","SRR2923366",0,"stool","Ringel","NA","NA","1st","Bacteria","WPS-2"
"111","ASV105","SRR2923773",0,"stool","Ringel","NA","NA","1st","Bacteria","WPS-2"
"112","ASV105","SRR2923772",0,"stool","Ringel","NA","NA","1st","Bacteria","WPS-2"
"113","ASV105","SRR2923771",0,"stool","Ringel","NA","NA","1st","Bacteria","WPS-2"
"114","ASV105","SRR2923378",0,"stool","Ringel","NA","NA","1st","Bacteria","WPS-2"
"115","ASV105","SRR2923752",0,"stool","Ringel","NA","NA","1st","Bacteria","WPS-2"
"116","ASV105","SRR2923808",0,"stool","Ringel","NA","NA","1st","Bacteria","WPS-2"
"117","ASV105","SRR2923375",0,"stool","Ringel","NA","NA","1st","Bacteria","WPS-2"
"118","ASV105","SRR2923373",0,"stool","Ringel","NA","NA","1st","Bacteria","WPS-2"
"119","ASV105","SRR2923791",0,"stool","Ringel","NA","NA","1st","Bacteria","WPS-2"
"120","ASV105","SRR2923789",0,"stool","Ringel","NA","NA","1st","Bacteria","WPS-2"
"121","ASV105","SRR2923369",0,"stool","Ringel","NA","NA","1st","Bacteria","WPS-2"
"122","ASV105","SRR2923368",0,"stool","Ringel","NA","NA","1st","Bacteria","WPS-2"
"123","ASV105","SRR2923774",0,"stool","Ringel","NA","NA","1st","Bacteria","WPS-2"
"124","ASV105","SRR2923757",0,"stool","Ringel","NA","NA","1st","Bacteria","WPS-2"
"125","ASV105","SRR2923382",0,"stool","Ringel","NA","NA","1st","Bacteria","WPS-2"
"126","ASV105","SRR2923380",0,"stool","Ringel","NA","NA","1st","Bacteria","WPS-2"
"127","ASV105","SRR2923754",0,"stool","Ringel","NA","NA","1st","Bacteria","WPS-2"
"128","ASV105","SRR2923809",0,"stool","Ringel","NA","NA","1st","Bacteria","WPS-2"
"129","ASV105","SRR2923397",0,"stool","Ringel","NA","NA","1st","Bacteria","WPS-2"
"130","ASV105","SRR2923751",0,"stool","Ringel","NA","NA","1st","Bacteria","WPS-2"
"131","ASV105","SRR2923750",0,"stool","Ringel","NA","NA","1st","Bacteria","WPS-2"
"132","ASV105","SRR2923749",0,"stool","Ringel","NA","NA","1st","Bacteria","WPS-2"
"133","ASV105","SRR2923390",0,"stool","Ringel","NA","NA","1st","Bacteria","WPS-2"
"134","ASV105","SRR2923763",0,"stool","Ringel","NA","NA","1st","Bacteria","WPS-2"
"135","ASV105","SRR2923761",0,"stool","Ringel","NA","NA","1st","Bacteria","WPS-2"
"136","ASV105","SRR2923759",0,"stool","Ringel","NA","NA","1st","Bacteria","WPS-2"
"137","ASV105","SRR2923383",0,"stool","Ringel","NA","NA","1st","Bacteria","WPS-2"
"139","ASV105","SRR2923755",0,"stool","Ringel","NA","NA","1st","Bacteria","WPS-2"
"140","ASV105","SRR2923811",0,"stool","Ringel","NA","NA","1st","Bacteria","WPS-2"
"141","ASV105","SRR2923398",0,"stool","Ringel","NA","NA","1st","Bacteria","WPS-2"
"142","ASV105","SRR2923747",0,"stool","Ringel","NA","NA","1st","Bacteria","WPS-2"
"143","ASV105","SRR2923395",0,"stool","Ringel","NA","NA","1st","Bacteria","WPS-2"
"144","ASV105","SRR2923393",0,"stool","Ringel","NA","NA","1st","Bacteria","WPS-2"
"145","ASV105","SRR2923391",0,"stool","Ringel","NA","NA","1st","Bacteria","WPS-2"
"146","ASV105","SRR2923748",0,"stool","Ringel","NA","NA","1st","Bacteria","WPS-2"
"147","ASV105","SRR2923387",0,"stool","Ringel","NA","NA","1st","Bacteria","WPS-2"
"148","ASV105","SRR2923385",0,"stool","Ringel","NA","NA","1st","Bacteria","WPS-2"
"149","ASV105","SRR2923813",0,"stool","Ringel","NA","NA","1st","Bacteria","WPS-2"
"150","ASV105","SRR2923399",0,"stool","Ringel","NA","NA","1st","Bacteria","WPS-2"
"151","ASV1229","SRR2923371",0,"stool","Ringel","NA","NA","1st","Bacteria","Verrucomicrobiota"
"152","ASV1229","SRR2923369",0,"stool","Ringel","NA","NA","1st","Bacteria","Verrucomicrobiota"
"153","ASV1229","SRR2923365",0,"stool","Ringel","NA","NA","1st","Bacteria","Verrucomicrobiota"
"154","ASV1229","SRR2923382",0,"stool","Ringel","NA","NA","1st","Bacteria","Verrucomicrobiota"
"157","ASV1229","SRR2923373",0,"stool","Ringel","NA","NA","1st","Bacteria","Verrucomicrobiota"
"158","ASV1229","SRR2923360",0,"stool","Ringel","NA","NA","1st","Bacteria","Verrucomicrobiota"
"159","ASV1229","SRR2923359",0,"stool","Ringel","NA","NA","1st","Bacteria","Verrucomicrobiota"
"160","ASV1229","SRR2923368",0,"stool","Ringel","NA","NA","1st","Bacteria","Verrucomicrobiota"
"161","ASV1229","SRR2923366",0,"stool","Ringel","NA","NA","1st","Bacteria","Verrucomicrobiota"
"162","ASV1229","SRR2923383",0,"stool","Ringel","NA","NA","1st","Bacteria","Verrucomicrobiota"
"163","ASV1229","SRR2923356",0,"stool","Ringel","NA","NA","1st","Bacteria","Verrucomicrobiota"
"164","ASV1229","SRR2923364",0,"stool","Ringel","NA","NA","1st","Bacteria","Verrucomicrobiota"
"165","ASV1229","SRR2923363",0,"stool","Ringel","NA","NA","1st","Bacteria","Verrucomicrobiota"
"166","ASV1229","SRR2923378",0,"stool","Ringel","NA","NA","1st","Bacteria","Verrucomicrobiota"
"167","ASV1229","SRR2923353",0,"stool","Ringel","NA","NA","1st","Bacteria","Verrucomicrobiota"
"168","ASV1229","SRR2923351",0,"stool","Ringel","NA","NA","1st","Bacteria","Verrucomicrobiota"
"170","ASV1229","SRR2923361",0,"stool","Ringel","NA","NA","1st","Bacteria","Verrucomicrobiota"
"171","ASV1229","SRR2923391",0,"stool","Ringel","NA","NA","1st","Bacteria","Verrucomicrobiota"
"172","ASV1229","SRR2923390",0,"stool","Ringel","NA","NA","1st","Bacteria","Verrucomicrobiota"
"173","ASV1229","SRR2923387",0,"stool","Ringel","NA","NA","1st","Bacteria","Verrucomicrobiota"
"174","ASV1229","SRR2923385",0,"stool","Ringel","NA","NA","1st","Bacteria","Verrucomicrobiota"
"175","ASV1229","SRR2923357",0,"stool","Ringel","NA","NA","1st","Bacteria","Verrucomicrobiota"
"176","ASV1229","SRR2923400",0,"stool","Ringel","NA","NA","1st","Bacteria","Verrucomicrobiota"
"177","ASV1229","SRR2923399",0,"stool","Ringel","NA","NA","1st","Bacteria","Verrucomicrobiota"
"178","ASV1229","SRR2923380",0,"stool","Ringel","NA","NA","1st","Bacteria","Verrucomicrobiota"
"179","ASV1229","SRR2923354",0,"stool","Ringel","NA","NA","1st","Bacteria","Verrucomicrobiota"
"180","ASV1229","SRR2923397",0,"stool","Ringel","NA","NA","1st","Bacteria","Verrucomicrobiota"
"181","ASV1229","SRR2923395",0,"stool","Ringel","NA","NA","1st","Bacteria","Verrucomicrobiota"
"182","ASV1229","SRR2923752",0,"stool","Ringel","NA","NA","1st","Bacteria","Verrucomicrobiota"
"183","ASV1229","SRR2923393",0,"stool","Ringel","NA","NA","1st","Bacteria","Verrucomicrobiota"
"184","ASV1229","SRR2923809",0,"stool","Ringel","NA","NA","1st","Bacteria","Verrucomicrobiota"
"185","ASV1229","SRR2923808",0,"stool","Ringel","NA","NA","1st","Bacteria","Verrucomicrobiota"
"186","ASV1229","SRR2923749",0,"stool","Ringel","NA","NA","1st","Bacteria","Verrucomicrobiota"
"187","ASV1229","SRR2923358",0,"stool","Ringel","NA","NA","1st","Bacteria","Verrucomicrobiota"
"188","ASV1229","SRR2923747",0,"stool","Ringel","NA","NA","1st","Bacteria","Verrucomicrobiota"
"189","ASV1229","SRR2923327",0,"stool","Ringel","NA","NA","1st","Bacteria","Verrucomicrobiota"
"191","ASV1229","SRR2923355",0,"stool","Ringel","NA","NA","1st","Bacteria","Verrucomicrobiota"
"192","ASV1229","SRR2923398",0,"stool","Ringel","NA","NA","1st","Bacteria","Verrucomicrobiota"
"193","ASV1229","SRR2923755",0,"stool","Ringel","NA","NA","1st","Bacteria","Verrucomicrobiota"
"195","ASV1229","SRR2923813",0,"stool","Ringel","NA","NA","1st","Bacteria","Verrucomicrobiota"
"196","ASV1229","SRR2923811",0,"stool","Ringel","NA","NA","1st","Bacteria","Verrucomicrobiota"
"197","ASV1229","SRR2923751",0,"stool","Ringel","NA","NA","1st","Bacteria","Verrucomicrobiota"
"198","ASV1229","SRR2923750",0,"stool","Ringel","NA","NA","1st","Bacteria","Verrucomicrobiota"
"199","ASV1229","SRR2923350",0,"stool","Ringel","NA","NA","1st","Bacteria","Verrucomicrobiota"
"200","ASV1229","SRR2923748",0,"stool","Ringel","NA","NA","1st","Bacteria","Verrucomicrobiota"
"201","ASV1229","SRR2923348",0,"stool","Ringel","NA","NA","1st","Bacteria","Verrucomicrobiota"
"202","ASV1229","SRR2923761",0,"stool","Ringel","NA","NA","1st","Bacteria","Verrucomicrobiota"
"204","ASV1229","SRR2923757",0,"stool","Ringel","NA","NA","1st","Bacteria","Verrucomicrobiota"
"205","ASV1229","SRR2923774",0,"stool","Ringel","NA","NA","1st","Bacteria","Verrucomicrobiota"
"206","ASV1229","SRR2923802",0,"stool","Ringel","NA","NA","1st","Bacteria","Verrucomicrobiota"
"208","ASV1229","SRR2923772",0,"stool","Ringel","NA","NA","1st","Bacteria","Verrucomicrobiota"
"209","ASV1229","SRR2923771",0,"stool","Ringel","NA","NA","1st","Bacteria","Verrucomicrobiota"
"210","ASV1229","SRR2923797",0,"stool","Ringel","NA","NA","1st","Bacteria","Verrucomicrobiota"
"212","ASV1229","SRR2923766",0,"stool","Ringel","NA","NA","1st","Bacteria","Verrucomicrobiota"
"213","ASV1229","SRR2923349",0,"stool","Ringel","NA","NA","1st","Bacteria","Verrucomicrobiota"
"215","ASV1229","SRR2923791",0,"stool","Ringel","NA","NA","1st","Bacteria","Verrucomicrobiota"
"217","ASV1229","SRR2923787",0,"stool","Ringel","NA","NA","1st","Bacteria","Verrucomicrobiota"
"218","ASV1229","SRR2923803",0,"stool","Ringel","NA","NA","1st","Bacteria","Verrucomicrobiota"
"219","ASV1229","SRR2923792",0,"stool","Ringel","NA","NA","1st","Bacteria","Verrucomicrobiota"
"220","ASV1229","SRR2923800",0,"stool","Ringel","NA","NA","1st","Bacteria","Verrucomicrobiota"
"222","ASV1229","SRR2923794",0,"stool","Ringel","NA","NA","1st","Bacteria","Verrucomicrobiota"
"223","ASV1229","SRR2923796",0,"stool","Ringel","NA","NA","1st","Bacteria","Verrucomicrobiota"
"225","ASV1229","SRR2923805",0,"stool","Ringel","NA","NA","1st","Bacteria","Verrucomicrobiota"
"229","ASV14","SRR2923327",0,"stool","Ringel","NA","NA","1st","Bacteria","Actinobacteriota"
"230","ASV14","SRR2923349",0,"stool","Ringel","NA","NA","1st","Bacteria","Actinobacteriota"
"249","ASV14","SRR2923390",0,"stool","Ringel","NA","NA","1st","Bacteria","Actinobacteriota"
"260","ASV14","SRR2923393",0,"stool","Ringel","NA","NA","1st","Bacteria","Actinobacteriota"
"301","ASV1432","SRR2923378",0,"stool","Ringel","NA","NA","1st","Bacteria","Desulfobacterota"
"302","ASV1432","SRR2923391",0,"stool","Ringel","NA","NA","1st","Bacteria","Desulfobacterota"
"303","ASV1432","SRR2923380",0,"stool","Ringel","NA","NA","1st","Bacteria","Desulfobacterota"
"304","ASV1432","SRR2923385",0,"stool","Ringel","NA","NA","1st","Bacteria","Desulfobacterota"
"305","ASV1432","SRR2923383",0,"stool","Ringel","NA","NA","1st","Bacteria","Desulfobacterota"
"306","ASV1432","SRR2923393",0,"stool","Ringel","NA","NA","1st","Bacteria","Desulfobacterota"
"307","ASV1432","SRR2923365",0,"stool","Ringel","NA","NA","1st","Bacteria","Desulfobacterota"
"308","ASV1432","SRR2923398",0,"stool","Ringel","NA","NA","1st","Bacteria","Desulfobacterota"
"309","ASV1432","SRR2923376",0,"stool","Ringel","NA","NA","1st","Bacteria","Desulfobacterota"
"310","ASV1432","SRR2923382",0,"stool","Ringel","NA","NA","1st","Bacteria","Desulfobacterota"
"311","ASV1432","SRR2923362",0,"stool","Ringel","NA","NA","1st","Bacteria","Desulfobacterota"
"312","ASV1432","SRR2923751",0,"stool","Ringel","NA","NA","1st","Bacteria","Desulfobacterota"
"313","ASV1432","SRR2923390",0,"stool","Ringel","NA","NA","1st","Bacteria","Desulfobacterota"
"314","ASV1432","SRR2923395",0,"stool","Ringel","NA","NA","1st","Bacteria","Desulfobacterota"
"315","ASV1432","SRR2923387",0,"stool","Ringel","NA","NA","1st","Bacteria","Desulfobacterota"
"317","ASV1432","SRR2923747",0,"stool","Ringel","NA","NA","1st","Bacteria","Desulfobacterota"
"318","ASV1432","SRR2923400",0,"stool","Ringel","NA","NA","1st","Bacteria","Desulfobacterota"
"319","ASV1432","SRR2923366",0,"stool","Ringel","NA","NA","1st","Bacteria","Desulfobacterota"
"320","ASV1432","SRR2923399",0,"stool","Ringel","NA","NA","1st","Bacteria","Desulfobacterota"
"321","ASV1432","SRR2923356",0,"stool","Ringel","NA","NA","1st","Bacteria","Desulfobacterota"
"322","ASV1432","SRR2923397",0,"stool","Ringel","NA","NA","1st","Bacteria","Desulfobacterota"
"323","ASV1432","SRR2923363",0,"stool","Ringel","NA","NA","1st","Bacteria","Desulfobacterota"
"324","ASV1432","SRR2923752",0,"stool","Ringel","NA","NA","1st","Bacteria","Desulfobacterota"
"325","ASV1432","SRR2923353",0,"stool","Ringel","NA","NA","1st","Bacteria","Desulfobacterota"
"326","ASV1432","SRR2923750",0,"stool","Ringel","NA","NA","1st","Bacteria","Desulfobacterota"
"327","ASV1432","SRR2923749",0,"stool","Ringel","NA","NA","1st","Bacteria","Desulfobacterota"
"328","ASV1432","SRR2923765",0,"stool","Ringel","NA","NA","1st","Bacteria","Desulfobacterota"
"329","ASV1432","SRR2923371",0,"stool","Ringel","NA","NA","1st","Bacteria","Desulfobacterota"
"330","ASV1432","SRR2923369",0,"stool","Ringel","NA","NA","1st","Bacteria","Desulfobacterota"
"331","ASV1432","SRR2923368",0,"stool","Ringel","NA","NA","1st","Bacteria","Desulfobacterota"
"332","ASV1432","SRR2923759",0,"stool","Ringel","NA","NA","1st","Bacteria","Desulfobacterota"
"333","ASV1432","SRR2923357",0,"stool","Ringel","NA","NA","1st","Bacteria","Desulfobacterota"
"335","ASV1432","SRR2923364",0,"stool","Ringel","NA","NA","1st","Bacteria","Desulfobacterota"
"337","ASV1432","SRR2923354",0,"stool","Ringel","NA","NA","1st","Bacteria","Desulfobacterota"
"339","ASV1432","SRR2923351",0,"stool","Ringel","NA","NA","1st","Bacteria","Desulfobacterota"
"340","ASV1432","SRR2923766",0,"stool","Ringel","NA","NA","1st","Bacteria","Desulfobacterota"
"341","ASV1432","SRR2923373",0,"stool","Ringel","NA","NA","1st","Bacteria","Desulfobacterota"
"342","ASV1432","SRR2923360",0,"stool","Ringel","NA","NA","1st","Bacteria","Desulfobacterota"
"343","ASV1432","SRR2923359",0,"stool","Ringel","NA","NA","1st","Bacteria","Desulfobacterota"
"346","ASV1432","SRR2923787",0,"stool","Ringel","NA","NA","1st","Bacteria","Desulfobacterota"
"347","ASV1432","SRR2923327",0,"stool","Ringel","NA","NA","1st","Bacteria","Desulfobacterota"
"348","ASV1432","SRR2923755",0,"stool","Ringel","NA","NA","1st","Bacteria","Desulfobacterota"
"349","ASV1432","SRR2923355",0,"stool","Ringel","NA","NA","1st","Bacteria","Desulfobacterota"
"350","ASV1432","SRR2923772",0,"stool","Ringel","NA","NA","1st","Bacteria","Desulfobacterota"
"351","ASV1432","SRR2923799",0,"stool","Ringel","NA","NA","1st","Bacteria","Desulfobacterota"
"352","ASV1432","SRR2923768",0,"stool","Ringel","NA","NA","1st","Bacteria","Desulfobacterota"
"354","ASV1432","SRR2923361",0,"stool","Ringel","NA","NA","1st","Bacteria","Desulfobacterota"
"355","ASV1432","SRR2923792",0,"stool","Ringel","NA","NA","1st","Bacteria","Desulfobacterota"
"356","ASV1432","SRR2923763",0,"stool","Ringel","NA","NA","1st","Bacteria","Desulfobacterota"
"357","ASV1432","SRR2923791",0,"stool","Ringel","NA","NA","1st","Bacteria","Desulfobacterota"
"358","ASV1432","SRR2923789",0,"stool","Ringel","NA","NA","1st","Bacteria","Desulfobacterota"
"360","ASV1432","SRR2923803",0,"stool","Ringel","NA","NA","1st","Bacteria","Desulfobacterota"
"361","ASV1432","SRR2923774",0,"stool","Ringel","NA","NA","1st","Bacteria","Desulfobacterota"
"362","ASV1432","SRR2923773",0,"stool","Ringel","NA","NA","1st","Bacteria","Desulfobacterota"
"363","ASV1432","SRR2923800",0,"stool","Ringel","NA","NA","1st","Bacteria","Desulfobacterota"
"365","ASV1432","SRR2923797",0,"stool","Ringel","NA","NA","1st","Bacteria","Desulfobacterota"
"366","ASV1432","SRR2923796",0,"stool","Ringel","NA","NA","1st","Bacteria","Desulfobacterota"
"367","ASV1432","SRR2923794",0,"stool","Ringel","NA","NA","1st","Bacteria","Desulfobacterota"
"369","ASV1432","SRR2923808",0,"stool","Ringel","NA","NA","1st","Bacteria","Desulfobacterota"
"370","ASV1432","SRR2923350",0,"stool","Ringel","NA","NA","1st","Bacteria","Desulfobacterota"
"371","ASV1432","SRR2923349",0,"stool","Ringel","NA","NA","1st","Bacteria","Desulfobacterota"
"372","ASV1432","SRR2923811",0,"stool","Ringel","NA","NA","1st","Bacteria","Desulfobacterota"
"373","ASV1432","SRR2923802",0,"stool","Ringel","NA","NA","1st","Bacteria","Desulfobacterota"
"375","ASV1432","SRR2923813",0,"stool","Ringel","NA","NA","1st","Bacteria","Desulfobacterota"
"376","ASV1913","SRR2923399",0,"stool","Ringel","NA","NA","1st","Bacteria","Fusobacteriota"
"377","ASV1913","SRR2923327",0,"stool","Ringel","NA","NA","1st","Bacteria","Fusobacteriota"
"378","ASV1913","SRR2923754",0,"stool","Ringel","NA","NA","1st","Bacteria","Fusobacteriota"
"379","ASV1913","SRR2923752",0,"stool","Ringel","NA","NA","1st","Bacteria","Fusobacteriota"
"380","ASV1913","SRR2923395",0,"stool","Ringel","NA","NA","1st","Bacteria","Fusobacteriota"
"381","ASV1913","SRR2923750",0,"stool","Ringel","NA","NA","1st","Bacteria","Fusobacteriota"
"382","ASV1913","SRR2923749",0,"stool","Ringel","NA","NA","1st","Bacteria","Fusobacteriota"
"383","ASV1913","SRR2923748",0,"stool","Ringel","NA","NA","1st","Bacteria","Fusobacteriota"
"384","ASV1913","SRR2923397",0,"stool","Ringel","NA","NA","1st","Bacteria","Fusobacteriota"
"385","ASV1913","SRR2923400",0,"stool","Ringel","NA","NA","1st","Bacteria","Fusobacteriota"
"386","ASV1913","SRR2923348",0,"stool","Ringel","NA","NA","1st","Bacteria","Fusobacteriota"
"387","ASV1913","SRR2923383",0,"stool","Ringel","NA","NA","1st","Bacteria","Fusobacteriota"
"388","ASV1913","SRR2923398",0,"stool","Ringel","NA","NA","1st","Bacteria","Fusobacteriota"
"389","ASV1913","SRR2923755",0,"stool","Ringel","NA","NA","1st","Bacteria","Fusobacteriota"
"390","ASV1913","SRR2923380",0,"stool","Ringel","NA","NA","1st","Bacteria","Fusobacteriota"
"391","ASV1913","SRR2923378",0,"stool","Ringel","NA","NA","1st","Bacteria","Fusobacteriota"
"392","ASV1913","SRR2923376",0,"stool","Ringel","NA","NA","1st","Bacteria","Fusobacteriota"
"393","ASV1913","SRR2923751",0,"stool","Ringel","NA","NA","1st","Bacteria","Fusobacteriota"
"394","ASV1913","SRR2923393",0,"stool","Ringel","NA","NA","1st","Bacteria","Fusobacteriota"
"395","ASV1913","SRR2923391",0,"stool","Ringel","NA","NA","1st","Bacteria","Fusobacteriota"
"396","ASV1913","SRR2923390",0,"stool","Ringel","NA","NA","1st","Bacteria","Fusobacteriota"
"397","ASV1913","SRR2923747",0,"stool","Ringel","NA","NA","1st","Bacteria","Fusobacteriota"
"398","ASV1913","SRR2923349",0,"stool","Ringel","NA","NA","1st","Bacteria","Fusobacteriota"
"399","ASV1913","SRR2923385",0,"stool","Ringel","NA","NA","1st","Bacteria","Fusobacteriota"
"400","ASV1913","SRR2923759",0,"stool","Ringel","NA","NA","1st","Bacteria","Fusobacteriota"
"401","ASV1913","SRR2923757",0,"stool","Ringel","NA","NA","1st","Bacteria","Fusobacteriota"
"402","ASV1913","SRR2923382",0,"stool","Ringel","NA","NA","1st","Bacteria","Fusobacteriota"
"403","ASV1913","SRR2923365",0,"stool","Ringel","NA","NA","1st","Bacteria","Fusobacteriota"
"404","ASV1913","SRR2923772",0,"stool","Ringel","NA","NA","1st","Bacteria","Fusobacteriota"
"405","ASV1913","SRR2923771",0,"stool","Ringel","NA","NA","1st","Bacteria","Fusobacteriota"
"406","ASV1913","SRR2923363",0,"stool","Ringel","NA","NA","1st","Bacteria","Fusobacteriota"
