"","OTU","Sample","Abundance","sample_type","author","host_disease","host_subtype","Collection","Kingdom","Phylum","Class"
"479","ASV1913","SRR2923802",0,"stool","Ringel","NA","NA","1st","Bacteria","Fusobacteriota","Fusobacteriia"
"480","ASV1913","SRR2923759",0,"stool","Ringel","NA","NA","1st","Bacteria","Fusobacteriota","Fusobacteriia"
"481","ASV1913","SRR2923754",0,"stool","Ringel","NA","NA","1st","Bacteria","Fusobacteriota","Fusobacteriia"
"482","ASV1913","SRR2923362",0,"stool","Ringel","NA","NA","1st","Bacteria","Fusobacteriota","Fusobacteriia"
"483","ASV1913","SRR2923803",0,"stool","Ringel","NA","NA","1st","Bacteria","Fusobacteriota","Fusobacteriia"
"484","ASV1913","SRR2923809",0,"stool","Ringel","NA","NA","1st","Bacteria","Fusobacteriota","Fusobacteriia"
"485","ASV1913","SRR2923327",0,"stool","Ringel","NA","NA","1st","Bacteria","Fusobacteriota","Fusobacteriia"
"486","ASV1913","SRR2923363",0,"stool","Ringel","NA","NA","1st","Bacteria","Fusobacteriota","Fusobacteriia"
"487","ASV1913","SRR2923794",0,"stool","Ringel","NA","NA","1st","Bacteria","Fusobacteriota","Fusobacteriia"
"488","ASV1913","SRR2923360",0,"stool","Ringel","NA","NA","1st","Bacteria","Fusobacteriota","Fusobacteriia"
"489","ASV1913","SRR2923353",0,"stool","Ringel","NA","NA","1st","Bacteria","Fusobacteriota","Fusobacteriia"
"490","ASV1913","SRR2923364",0,"stool","Ringel","NA","NA","1st","Bacteria","Fusobacteriota","Fusobacteriia"
"491","ASV1913","SRR2923361",0,"stool","Ringel","NA","NA","1st","Bacteria","Fusobacteriota","Fusobacteriia"
"492","ASV1913","SRR2923391",0,"stool","Ringel","NA","NA","1st","Bacteria","Fusobacteriota","Fusobacteriia"
"493","ASV1913","SRR2923383",0,"stool","Ringel","NA","NA","1st","Bacteria","Fusobacteriota","Fusobacteriia"
"494","ASV1913","SRR2923808",0,"stool","Ringel","NA","NA","1st","Bacteria","Fusobacteriota","Fusobacteriia"
"495","ASV1913","SRR2923350",0,"stool","Ringel","NA","NA","1st","Bacteria","Fusobacteriota","Fusobacteriia"
"496","ASV1913","SRR2923393",0,"stool","Ringel","NA","NA","1st","Bacteria","Fusobacteriota","Fusobacteriia"
"497","ASV1913","SRR2923761",0,"stool","Ringel","NA","NA","1st","Bacteria","Fusobacteriota","Fusobacteriia"
"498","ASV1913","SRR2923799",0,"stool","Ringel","NA","NA","1st","Bacteria","Fusobacteriota","Fusobacteriia"
"500","ASV1913","SRR2923805",0,"stool","Ringel","NA","NA","1st","Bacteria","Fusobacteriota","Fusobacteriia"
"501","ASV1913","SRR2923811",0,"stool","Ringel","NA","NA","1st","Bacteria","Fusobacteriota","Fusobacteriia"
"502","ASV1913","SRR2923382",0,"stool","Ringel","NA","NA","1st","Bacteria","Fusobacteriota","Fusobacteriia"
"503","ASV1913","SRR2923375",0,"stool","Ringel","NA","NA","1st","Bacteria","Fusobacteriota","Fusobacteriia"
"504","ASV1913","SRR2923796",0,"stool","Ringel","NA","NA","1st","Bacteria","Fusobacteriota","Fusobacteriia"
"505","ASV1913","SRR2923813",0,"stool","Ringel","NA","NA","1st","Bacteria","Fusobacteriota","Fusobacteriia"
"506","ASV1913","SRR2923376",0,"stool","Ringel","NA","NA","1st","Bacteria","Fusobacteriota","Fusobacteriia"
"507","ASV1913","SRR2923365",0,"stool","Ringel","NA","NA","1st","Bacteria","Fusobacteriota","Fusobacteriia"
"508","ASV1913","SRR2923378",0,"stool","Ringel","NA","NA","1st","Bacteria","Fusobacteriota","Fusobacteriia"
"509","ASV1913","SRR2923371",0,"stool","Ringel","NA","NA","1st","Bacteria","Fusobacteriota","Fusobacteriia"
"510","ASV1913","SRR2923368",0,"stool","Ringel","NA","NA","1st","Bacteria","Fusobacteriota","Fusobacteriia"
"511","ASV1913","SRR2923749",0,"stool","Ringel","NA","NA","1st","Bacteria","Fusobacteriota","Fusobacteriia"
"512","ASV1913","SRR2923380",0,"stool","Ringel","NA","NA","1st","Bacteria","Fusobacteriota","Fusobacteriia"
"513","ASV1913","SRR2923395",0,"stool","Ringel","NA","NA","1st","Bacteria","Fusobacteriota","Fusobacteriia"
"514","ASV1913","SRR2923369",0,"stool","Ringel","NA","NA","1st","Bacteria","Fusobacteriota","Fusobacteriia"
"515","ASV1913","SRR2923800",0,"stool","Ringel","NA","NA","1st","Bacteria","Fusobacteriota","Fusobacteriia"
"516","ASV1913","SRR2923366",0,"stool","Ringel","NA","NA","1st","Bacteria","Fusobacteriota","Fusobacteriia"
"517","ASV1913","SRR2923747",0,"stool","Ringel","NA","NA","1st","Bacteria","Fusobacteriota","Fusobacteriia"
"518","ASV1913","SRR2923397",0,"stool","Ringel","NA","NA","1st","Bacteria","Fusobacteriota","Fusobacteriia"
"519","ASV1913","SRR2923398",0,"stool","Ringel","NA","NA","1st","Bacteria","Fusobacteriota","Fusobacteriia"
"520","ASV1913","SRR2923750",0,"stool","Ringel","NA","NA","1st","Bacteria","Fusobacteriota","Fusobacteriia"
"521","ASV1913","SRR2923797",0,"stool","Ringel","NA","NA","1st","Bacteria","Fusobacteriota","Fusobacteriia"
"522","ASV1913","SRR2923748",0,"stool","Ringel","NA","NA","1st","Bacteria","Fusobacteriota","Fusobacteriia"
"523","ASV1913","SRR2923373",0,"stool","Ringel","NA","NA","1st","Bacteria","Fusobacteriota","Fusobacteriia"
"524","ASV1913","SRR2923399",0,"stool","Ringel","NA","NA","1st","Bacteria","Fusobacteriota","Fusobacteriia"
"525","ASV1913","SRR2923400",0,"stool","Ringel","NA","NA","1st","Bacteria","Fusobacteriota","Fusobacteriia"
"602","ASV2060","SRR2923757",0,"stool","Ringel","NA","NA","1st","Bacteria","Synergistota","Synergistia"
"603","ASV2060","SRR2923393",0,"stool","Ringel","NA","NA","1st","Bacteria","Synergistota","Synergistia"
"604","ASV2060","SRR2923759",0,"stool","Ringel","NA","NA","1st","Bacteria","Synergistota","Synergistia"
"605","ASV2060","SRR2923774",0,"stool","Ringel","NA","NA","1st","Bacteria","Synergistota","Synergistia"
"606","ASV2060","SRR2923787",0,"stool","Ringel","NA","NA","1st","Bacteria","Synergistota","Synergistia"
"607","ASV2060","SRR2923391",0,"stool","Ringel","NA","NA","1st","Bacteria","Synergistota","Synergistia"
"608","ASV2060","SRR2923772",0,"stool","Ringel","NA","NA","1st","Bacteria","Synergistota","Synergistia"
"610","ASV2060","SRR2923796",0,"stool","Ringel","NA","NA","1st","Bacteria","Synergistota","Synergistia"
"611","ASV2060","SRR2923358",0,"stool","Ringel","NA","NA","1st","Bacteria","Synergistota","Synergistia"
"612","ASV2060","SRR2923752",0,"stool","Ringel","NA","NA","1st","Bacteria","Synergistota","Synergistia"
"613","ASV2060","SRR2923799",0,"stool","Ringel","NA","NA","1st","Bacteria","Synergistota","Synergistia"
"614","ASV2060","SRR2923768",0,"stool","Ringel","NA","NA","1st","Bacteria","Synergistota","Synergistia"
"615","ASV2060","SRR2923395",0,"stool","Ringel","NA","NA","1st","Bacteria","Synergistota","Synergistia"
"616","ASV2060","SRR2923761",0,"stool","Ringel","NA","NA","1st","Bacteria","Synergistota","Synergistia"
"617","ASV2060","SRR2923794",0,"stool","Ringel","NA","NA","1st","Bacteria","Synergistota","Synergistia"
"618","ASV2060","SRR2923771",0,"stool","Ringel","NA","NA","1st","Bacteria","Synergistota","Synergistia"
"619","ASV2060","SRR2923789",0,"stool","Ringel","NA","NA","1st","Bacteria","Synergistota","Synergistia"
"620","ASV2060","SRR2923765",0,"stool","Ringel","NA","NA","1st","Bacteria","Synergistota","Synergistia"
"621","ASV2060","SRR2923369",0,"stool","Ringel","NA","NA","1st","Bacteria","Synergistota","Synergistia"
"622","ASV2060","SRR2923800",0,"stool","Ringel","NA","NA","1st","Bacteria","Synergistota","Synergistia"
"623","ASV2060","SRR2923791",0,"stool","Ringel","NA","NA","1st","Bacteria","Synergistota","Synergistia"
"624","ASV2060","SRR2923766",0,"stool","Ringel","NA","NA","1st","Bacteria","Synergistota","Synergistia"
"625","ASV2060","SRR2923754",0,"stool","Ringel","NA","NA","1st","Bacteria","Synergistota","Synergistia"
"626","ASV2060","SRR2923755",0,"stool","Ringel","NA","NA","1st","Bacteria","Synergistota","Synergistia"
"627","ASV2060","SRR2923792",0,"stool","Ringel","NA","NA","1st","Bacteria","Synergistota","Synergistia"
"628","ASV2060","SRR2923359",0,"stool","Ringel","NA","NA","1st","Bacteria","Synergistota","Synergistia"
"629","ASV2060","SRR2923763",0,"stool","Ringel","NA","NA","1st","Bacteria","Synergistota","Synergistia"
"630","ASV2060","SRR2923356",0,"stool","Ringel","NA","NA","1st","Bacteria","Synergistota","Synergistia"
"631","ASV2060","SRR2923751",0,"stool","Ringel","NA","NA","1st","Bacteria","Synergistota","Synergistia"
"632","ASV2060","SRR2923397",0,"stool","Ringel","NA","NA","1st","Bacteria","Synergistota","Synergistia"
"633","ASV2060","SRR2923364",0,"stool","Ringel","NA","NA","1st","Bacteria","Synergistota","Synergistia"
"634","ASV2060","SRR2923357",0,"stool","Ringel","NA","NA","1st","Bacteria","Synergistota","Synergistia"
"635","ASV2060","SRR2923802",0,"stool","Ringel","NA","NA","1st","Bacteria","Synergistota","Synergistia"
"636","ASV2060","SRR2923354",0,"stool","Ringel","NA","NA","1st","Bacteria","Synergistota","Synergistia"
"637","ASV2060","SRR2923365",0,"stool","Ringel","NA","NA","1st","Bacteria","Synergistota","Synergistia"
"638","ASV2060","SRR2923371",0,"stool","Ringel","NA","NA","1st","Bacteria","Synergistota","Synergistia"
"639","ASV2060","SRR2923803",0,"stool","Ringel","NA","NA","1st","Bacteria","Synergistota","Synergistia"
"640","ASV2060","SRR2923355",0,"stool","Ringel","NA","NA","1st","Bacteria","Synergistota","Synergistia"
"641","ASV2060","SRR2923809",0,"stool","Ringel","NA","NA","1st","Bacteria","Synergistota","Synergistia"
"642","ASV2060","SRR2923363",0,"stool","Ringel","NA","NA","1st","Bacteria","Synergistota","Synergistia"
"643","ASV2060","SRR2923805",0,"stool","Ringel","NA","NA","1st","Bacteria","Synergistota","Synergistia"
"644","ASV2060","SRR2923368",0,"stool","Ringel","NA","NA","1st","Bacteria","Synergistota","Synergistia"
"645","ASV2060","SRR2923360",0,"stool","Ringel","NA","NA","1st","Bacteria","Synergistota","Synergistia"
"646","ASV2060","SRR2923353",0,"stool","Ringel","NA","NA","1st","Bacteria","Synergistota","Synergistia"
"647","ASV2060","SRR2923390",0,"stool","Ringel","NA","NA","1st","Bacteria","Synergistota","Synergistia"
"648","ASV2060","SRR2923361",0,"stool","Ringel","NA","NA","1st","Bacteria","Synergistota","Synergistia"
"649","ASV2060","SRR2923398",0,"stool","Ringel","NA","NA","1st","Bacteria","Synergistota","Synergistia"
"650","ASV2060","SRR2923349",0,"stool","Ringel","NA","NA","1st","Bacteria","Synergistota","Synergistia"
"651","ASV2060","SRR2923808",0,"stool","Ringel","NA","NA","1st","Bacteria","Synergistota","Synergistia"
"652","ASV2060","SRR2923362",0,"stool","Ringel","NA","NA","1st","Bacteria","Synergistota","Synergistia"
"653","ASV2060","SRR2923385",0,"stool","Ringel","NA","NA","1st","Bacteria","Synergistota","Synergistia"
"654","ASV2060","SRR2923366",0,"stool","Ringel","NA","NA","1st","Bacteria","Synergistota","Synergistia"
"655","ASV2060","SRR2923373",0,"stool","Ringel","NA","NA","1st","Bacteria","Synergistota","Synergistia"
"656","ASV2060","SRR2923351",0,"stool","Ringel","NA","NA","1st","Bacteria","Synergistota","Synergistia"
"657","ASV2060","SRR2923387",0,"stool","Ringel","NA","NA","1st","Bacteria","Synergistota","Synergistia"
"658","ASV2060","SRR2923811",0,"stool","Ringel","NA","NA","1st","Bacteria","Synergistota","Synergistia"
"659","ASV2060","SRR2923348",0,"stool","Ringel","NA","NA","1st","Bacteria","Synergistota","Synergistia"
"660","ASV2060","SRR2923806",0,"stool","Ringel","NA","NA","1st","Bacteria","Synergistota","Synergistia"
"661","ASV2060","SRR2923747",0,"stool","Ringel","NA","NA","1st","Bacteria","Synergistota","Synergistia"
"662","ASV2060","SRR2923813",0,"stool","Ringel","NA","NA","1st","Bacteria","Synergistota","Synergistia"
"663","ASV2060","SRR2923376",0,"stool","Ringel","NA","NA","1st","Bacteria","Synergistota","Synergistia"
"664","ASV2060","SRR2923383",0,"stool","Ringel","NA","NA","1st","Bacteria","Synergistota","Synergistia"
"665","ASV2060","SRR2923350",0,"stool","Ringel","NA","NA","1st","Bacteria","Synergistota","Synergistia"
"666","ASV2060","SRR2923399",0,"stool","Ringel","NA","NA","1st","Bacteria","Synergistota","Synergistia"
"667","ASV2060","SRR2923378",0,"stool","Ringel","NA","NA","1st","Bacteria","Synergistota","Synergistia"
"668","ASV2060","SRR2923749",0,"stool","Ringel","NA","NA","1st","Bacteria","Synergistota","Synergistia"
"669","ASV2060","SRR2923327",0,"stool","Ringel","NA","NA","1st","Bacteria","Synergistota","Synergistia"
"670","ASV2060","SRR2923400",0,"stool","Ringel","NA","NA","1st","Bacteria","Synergistota","Synergistia"
"671","ASV2060","SRR2923380",0,"stool","Ringel","NA","NA","1st","Bacteria","Synergistota","Synergistia"
"672","ASV2060","SRR2923375",0,"stool","Ringel","NA","NA","1st","Bacteria","Synergistota","Synergistia"
"673","ASV2060","SRR2923382",0,"stool","Ringel","NA","NA","1st","Bacteria","Synergistota","Synergistia"
"675","ASV2060","SRR2923750",0,"stool","Ringel","NA","NA","1st","Bacteria","Synergistota","Synergistia"
"678","ASV221","SRR2923766",0,"stool","Ringel","NA","NA","1st","Bacteria","Proteobacteria","Gammaproteobacteria"
"681","ASV221","SRR2923391",0,"stool","Ringel","NA","NA","1st","Bacteria","Proteobacteria","Gammaproteobacteria"
"684","ASV221","SRR2923397",0,"stool","Ringel","NA","NA","1st","Bacteria","Proteobacteria","Gammaproteobacteria"
"694","ASV221","SRR2923774",0,"stool","Ringel","NA","NA","1st","Bacteria","Proteobacteria","Gammaproteobacteria"
"695","ASV221","SRR2923763",0,"stool","Ringel","NA","NA","1st","Bacteria","Proteobacteria","Gammaproteobacteria"
"701","ASV221","SRR2923353",0,"stool","Ringel","NA","NA","1st","Bacteria","Proteobacteria","Gammaproteobacteria"
"703","ASV221","SRR2923357",0,"stool","Ringel","NA","NA","1st","Bacteria","Proteobacteria","Gammaproteobacteria"
"708","ASV221","SRR2923755",0,"stool","Ringel","NA","NA","1st","Bacteria","Proteobacteria","Gammaproteobacteria"
"711","ASV221","SRR2923787",0,"stool","Ringel","NA","NA","1st","Bacteria","Proteobacteria","Gammaproteobacteria"
"717","ASV221","SRR2923349",0,"stool","Ringel","NA","NA","1st","Bacteria","Proteobacteria","Gammaproteobacteria"
"719","ASV221","SRR2923791",0,"stool","Ringel","NA","NA","1st","Bacteria","Proteobacteria","Gammaproteobacteria"
"721","ASV221","SRR2923380",0,"stool","Ringel","NA","NA","1st","Bacteria","Proteobacteria","Gammaproteobacteria"
"726","ASV221","SRR2923811",0,"stool","Ringel","NA","NA","1st","Bacteria","Proteobacteria","Gammaproteobacteria"
"731","ASV221","SRR2923361",0,"stool","Ringel","NA","NA","1st","Bacteria","Proteobacteria","Gammaproteobacteria"
"733","ASV221","SRR2923387",0,"stool","Ringel","NA","NA","1st","Bacteria","Proteobacteria","Gammaproteobacteria"
"736","ASV221","SRR2923369",0,"stool","Ringel","NA","NA","1st","Bacteria","Proteobacteria","Gammaproteobacteria"
"737","ASV221","SRR2923752",0,"stool","Ringel","NA","NA","1st","Bacteria","Proteobacteria","Gammaproteobacteria"
"738","ASV221","SRR2923375",0,"stool","Ringel","NA","NA","1st","Bacteria","Proteobacteria","Gammaproteobacteria"
"739","ASV221","SRR2923363",0,"stool","Ringel","NA","NA","1st","Bacteria","Proteobacteria","Gammaproteobacteria"
"741","ASV221","SRR2923802",0,"stool","Ringel","NA","NA","1st","Bacteria","Proteobacteria","Gammaproteobacteria"
"743","ASV221","SRR2923364",0,"stool","Ringel","NA","NA","1st","Bacteria","Proteobacteria","Gammaproteobacteria"
"748","ASV221","SRR2923799",0,"stool","Ringel","NA","NA","1st","Bacteria","Proteobacteria","Gammaproteobacteria"
"751","ASV2748","SRR2923774",0,"stool","Ringel","NA","NA","1st","Bacteria","Campilobacterota","Campylobacteria"
"752","ASV2748","SRR2923773",0,"stool","Ringel","NA","NA","1st","Bacteria","Campilobacterota","Campylobacteria"
"753","ASV2748","SRR2923765",0,"stool","Ringel","NA","NA","1st","Bacteria","Campilobacterota","Campylobacteria"
"754","ASV2748","SRR2923787",0,"stool","Ringel","NA","NA","1st","Bacteria","Campilobacterota","Campylobacteria"
"755","ASV2748","SRR2923362",0,"stool","Ringel","NA","NA","1st","Bacteria","Campilobacterota","Campylobacteria"
"756","ASV2748","SRR2923791",0,"stool","Ringel","NA","NA","1st","Bacteria","Campilobacterota","Campylobacteria"
"757","ASV2748","SRR2923799",0,"stool","Ringel","NA","NA","1st","Bacteria","Campilobacterota","Campylobacteria"
"758","ASV2748","SRR2923796",0,"stool","Ringel","NA","NA","1st","Bacteria","Campilobacterota","Campylobacteria"
"759","ASV2748","SRR2923763",0,"stool","Ringel","NA","NA","1st","Bacteria","Campilobacterota","Campylobacteria"
"760","ASV2748","SRR2923792",0,"stool","Ringel","NA","NA","1st","Bacteria","Campilobacterota","Campylobacteria"
"761","ASV2748","SRR2923800",0,"stool","Ringel","NA","NA","1st","Bacteria","Campilobacterota","Campylobacteria"
"762","ASV2748","SRR2923757",0,"stool","Ringel","NA","NA","1st","Bacteria","Campilobacterota","Campylobacteria"
"763","ASV2748","SRR2923789",0,"stool","Ringel","NA","NA","1st","Bacteria","Campilobacterota","Campylobacteria"
"764","ASV2748","SRR2923361",0,"stool","Ringel","NA","NA","1st","Bacteria","Campilobacterota","Campylobacteria"
"765","ASV2748","SRR2923752",0,"stool","Ringel","NA","NA","1st","Bacteria","Campilobacterota","Campylobacteria"
"766","ASV2748","SRR2923766",0,"stool","Ringel","NA","NA","1st","Bacteria","Campilobacterota","Campylobacteria"
"767","ASV2748","SRR2923797",0,"stool","Ringel","NA","NA","1st","Bacteria","Campilobacterota","Campylobacteria"
"768","ASV2748","SRR2923768",0,"stool","Ringel","NA","NA","1st","Bacteria","Campilobacterota","Campylobacteria"
"769","ASV2748","SRR2923754",0,"stool","Ringel","NA","NA","1st","Bacteria","Campilobacterota","Campylobacteria"
"770","ASV2748","SRR2923350",0,"stool","Ringel","NA","NA","1st","Bacteria","Campilobacterota","Campylobacteria"
"771","ASV2748","SRR2923755",0,"stool","Ringel","NA","NA","1st","Bacteria","Campilobacterota","Campylobacteria"
"772","ASV2748","SRR2923363",0,"stool","Ringel","NA","NA","1st","Bacteria","Campilobacterota","Campylobacteria"
"773","ASV2748","SRR2923794",0,"stool","Ringel","NA","NA","1st","Bacteria","Campilobacterota","Campylobacteria"
"774","ASV2748","SRR2923360",0,"stool","Ringel","NA","NA","1st","Bacteria","Campilobacterota","Campylobacteria"
"775","ASV2748","SRR2923772",0,"stool","Ringel","NA","NA","1st","Bacteria","Campilobacterota","Campylobacteria"
"776","ASV2748","SRR2923806",0,"stool","Ringel","NA","NA","1st","Bacteria","Campilobacterota","Campylobacteria"
"777","ASV2748","SRR2923348",0,"stool","Ringel","NA","NA","1st","Bacteria","Campilobacterota","Campylobacteria"
"778","ASV2748","SRR2923802",0,"stool","Ringel","NA","NA","1st","Bacteria","Campilobacterota","Campylobacteria"
"779","ASV2748","SRR2923759",0,"stool","Ringel","NA","NA","1st","Bacteria","Campilobacterota","Campylobacteria"
"780","ASV2748","SRR2923358",0,"stool","Ringel","NA","NA","1st","Bacteria","Campilobacterota","Campylobacteria"
"781","ASV2748","SRR2923354",0,"stool","Ringel","NA","NA","1st","Bacteria","Campilobacterota","Campylobacteria"
"782","ASV2748","SRR2923803",0,"stool","Ringel","NA","NA","1st","Bacteria","Campilobacterota","Campylobacteria"
"783","ASV2748","SRR2923761",0,"stool","Ringel","NA","NA","1st","Bacteria","Campilobacterota","Campylobacteria"
"784","ASV2748","SRR2923373",0,"stool","Ringel","NA","NA","1st","Bacteria","Campilobacterota","Campylobacteria"
"785","ASV2748","SRR2923771",0,"stool","Ringel","NA","NA","1st","Bacteria","Campilobacterota","Campylobacteria"
"786","ASV2748","SRR2923805",0,"stool","Ringel","NA","NA","1st","Bacteria","Campilobacterota","Campylobacteria"
"787","ASV2748","SRR2923351",0,"stool","Ringel","NA","NA","1st","Bacteria","Campilobacterota","Campylobacteria"
"788","ASV2748","SRR2923375",0,"stool","Ringel","NA","NA","1st","Bacteria","Campilobacterota","Campylobacteria"
"789","ASV2748","SRR2923364",0,"stool","Ringel","NA","NA","1st","Bacteria","Campilobacterota","Campylobacteria"
"790","ASV2748","SRR2923390",0,"stool","Ringel","NA","NA","1st","Bacteria","Campilobacterota","Campylobacteria"
"791","ASV2748","SRR2923391",0,"stool","Ringel","NA","NA","1st","Bacteria","Campilobacterota","Campylobacteria"
"792","ASV2748","SRR2923376",0,"stool","Ringel","NA","NA","1st","Bacteria","Campilobacterota","Campylobacteria"
"793","ASV2748","SRR2923808",0,"stool","Ringel","NA","NA","1st","Bacteria","Campilobacterota","Campylobacteria"
"795","ASV2748","SRR2923393",0,"stool","Ringel","NA","NA","1st","Bacteria","Campilobacterota","Campylobacteria"
"796","ASV2748","SRR2923385",0,"stool","Ringel","NA","NA","1st","Bacteria","Campilobacterota","Campylobacteria"
"797","ASV2748","SRR2923359",0,"stool","Ringel","NA","NA","1st","Bacteria","Campilobacterota","Campylobacteria"
"798","ASV2748","SRR2923355",0,"stool","Ringel","NA","NA","1st","Bacteria","Campilobacterota","Campylobacteria"
"799","ASV2748","SRR2923395",0,"stool","Ringel","NA","NA","1st","Bacteria","Campilobacterota","Campylobacteria"
"800","ASV2748","SRR2923327",0,"stool","Ringel","NA","NA","1st","Bacteria","Campilobacterota","Campylobacteria"
"801","ASV2748","SRR2923811",0,"stool","Ringel","NA","NA","1st","Bacteria","Campilobacterota","Campylobacteria"
"802","ASV2748","SRR2923751",0,"stool","Ringel","NA","NA","1st","Bacteria","Campilobacterota","Campylobacteria"
"803","ASV2748","SRR2923747",0,"stool","Ringel","NA","NA","1st","Bacteria","Campilobacterota","Campylobacteria"
"804","ASV2748","SRR2923353",0,"stool","Ringel","NA","NA","1st","Bacteria","Campilobacterota","Campylobacteria"
"805","ASV2748","SRR2923813",0,"stool","Ringel","NA","NA","1st","Bacteria","Campilobacterota","Campylobacteria"
"806","ASV2748","SRR2923365",0,"stool","Ringel","NA","NA","1st","Bacteria","Campilobacterota","Campylobacteria"
"807","ASV2748","SRR2923748",0,"stool","Ringel","NA","NA","1st","Bacteria","Campilobacterota","Campylobacteria"
"808","ASV2748","SRR2923378",0,"stool","Ringel","NA","NA","1st","Bacteria","Campilobacterota","Campylobacteria"
"809","ASV2748","SRR2923387",0,"stool","Ringel","NA","NA","1st","Bacteria","Campilobacterota","Campylobacteria"
"810","ASV2748","SRR2923809",0,"stool","Ringel","NA","NA","1st","Bacteria","Campilobacterota","Campylobacteria"
"811","ASV2748","SRR2923749",0,"stool","Ringel","NA","NA","1st","Bacteria","Campilobacterota","Campylobacteria"
"812","ASV2748","SRR2923380",0,"stool","Ringel","NA","NA","1st","Bacteria","Campilobacterota","Campylobacteria"
"813","ASV2748","SRR2923369",0,"stool","Ringel","NA","NA","1st","Bacteria","Campilobacterota","Campylobacteria"
"814","ASV2748","SRR2923368",0,"stool","Ringel","NA","NA","1st","Bacteria","Campilobacterota","Campylobacteria"
"815","ASV2748","SRR2923356",0,"stool","Ringel","NA","NA","1st","Bacteria","Campilobacterota","Campylobacteria"
"816","ASV2748","SRR2923397",0,"stool","Ringel","NA","NA","1st","Bacteria","Campilobacterota","Campylobacteria"
"817","ASV2748","SRR2923371",0,"stool","Ringel","NA","NA","1st","Bacteria","Campilobacterota","Campylobacteria"
"818","ASV2748","SRR2923357",0,"stool","Ringel","NA","NA","1st","Bacteria","Campilobacterota","Campylobacteria"
"819","ASV2748","SRR2923398",0,"stool","Ringel","NA","NA","1st","Bacteria","Campilobacterota","Campylobacteria"
"820","ASV2748","SRR2923382",0,"stool","Ringel","NA","NA","1st","Bacteria","Campilobacterota","Campylobacteria"
"821","ASV2748","SRR2923366",0,"stool","Ringel","NA","NA","1st","Bacteria","Campilobacterota","Campylobacteria"
"822","ASV2748","SRR2923399",0,"stool","Ringel","NA","NA","1st","Bacteria","Campilobacterota","Campylobacteria"
"823","ASV2748","SRR2923383",0,"stool","Ringel","NA","NA","1st","Bacteria","Campilobacterota","Campylobacteria"
"824","ASV2748","SRR2923750",0,"stool","Ringel","NA","NA","1st","Bacteria","Campilobacterota","Campylobacteria"
"825","ASV2748","SRR2923400",0,"stool","Ringel","NA","NA","1st","Bacteria","Campilobacterota","Campylobacteria"
"826","ASV2775","SRR2923361",0,"stool","Ringel","NA","NA","1st","Bacteria","Cyanobacteria","Cyanobacteriia"
"827","ASV2775","SRR2923773",0,"stool","Ringel","NA","NA","1st","Bacteria","Cyanobacteria","Cyanobacteriia"
"828","ASV2775","SRR2923395",0,"stool","Ringel","NA","NA","1st","Bacteria","Cyanobacteria","Cyanobacteriia"
"829","ASV2775","SRR2923327",0,"stool","Ringel","NA","NA","1st","Bacteria","Cyanobacteria","Cyanobacteriia"
"830","ASV2775","SRR2923397",0,"stool","Ringel","NA","NA","1st","Bacteria","Cyanobacteria","Cyanobacteriia"
"831","ASV2775","SRR2923348",0,"stool","Ringel","NA","NA","1st","Bacteria","Cyanobacteria","Cyanobacteriia"
"832","ASV2775","SRR2923391",0,"stool","Ringel","NA","NA","1st","Bacteria","Cyanobacteria","Cyanobacteriia"
"833","ASV2775","SRR2923362",0,"stool","Ringel","NA","NA","1st","Bacteria","Cyanobacteria","Cyanobacteriia"
"834","ASV2775","SRR2923358",0,"stool","Ringel","NA","NA","1st","Bacteria","Cyanobacteria","Cyanobacteriia"
"835","ASV2775","SRR2923349",0,"stool","Ringel","NA","NA","1st","Bacteria","Cyanobacteria","Cyanobacteriia"
"836","ASV2775","SRR2923393",0,"stool","Ringel","NA","NA","1st","Bacteria","Cyanobacteria","Cyanobacteriia"
"837","ASV2775","SRR2923363",0,"stool","Ringel","NA","NA","1st","Bacteria","Cyanobacteria","Cyanobacteriia"
"838","ASV2775","SRR2923359",0,"stool","Ringel","NA","NA","1st","Bacteria","Cyanobacteria","Cyanobacteriia"
"839","ASV2775","SRR2923774",0,"stool","Ringel","NA","NA","1st","Bacteria","Cyanobacteria","Cyanobacteriia"
"840","ASV2775","SRR2923799",0,"stool","Ringel","NA","NA","1st","Bacteria","Cyanobacteria","Cyanobacteriia"
"841","ASV2775","SRR2923768",0,"stool","Ringel","NA","NA","1st","Bacteria","Cyanobacteria","Cyanobacteriia"
"842","ASV2775","SRR2923364",0,"stool","Ringel","NA","NA","1st","Bacteria","Cyanobacteria","Cyanobacteriia"
"843","ASV2775","SRR2923794",0,"stool","Ringel","NA","NA","1st","Bacteria","Cyanobacteria","Cyanobacteriia"
"844","ASV2775","SRR2923800",0,"stool","Ringel","NA","NA","1st","Bacteria","Cyanobacteria","Cyanobacteriia"
"845","ASV2775","SRR2923772",0,"stool","Ringel","NA","NA","1st","Bacteria","Cyanobacteria","Cyanobacteriia"
"846","ASV2775","SRR2923365",0,"stool","Ringel","NA","NA","1st","Bacteria","Cyanobacteria","Cyanobacteriia"
"847","ASV2775","SRR2923398",0,"stool","Ringel","NA","NA","1st","Bacteria","Cyanobacteria","Cyanobacteriia"
"848","ASV2775","SRR2923802",0,"stool","Ringel","NA","NA","1st","Bacteria","Cyanobacteria","Cyanobacteriia"
