"","OTU","Sample","Abundance","host_disease","host_subtype","sample_type","author","Collection","Kingdom","Phylum"
"227","ASV746","SRR7282485",0,"IBS","IBS-D","stool","Zhuang","1st","Bacteria","Cyanobacteria"
"228","ASV746","SRR7282487",0,"IBS","IBS-D","stool","Zhuang","1st","Bacteria","Cyanobacteria"
"229","ASV746","SRR7282502",0,"IBS","IBS-D","stool","Zhuang","1st","Bacteria","Cyanobacteria"
"230","ASV746","SRR7282511",0,"IBS","IBS-D","stool","Zhuang","1st","Bacteria","Cyanobacteria"
"231","ASV746","SRR7282525",0,"Healthy","HC","stool","Zhuang","1st","Bacteria","Cyanobacteria"
"232","ASV746","SRR7282483",0,"IBS","IBS-D","stool","Zhuang","1st","Bacteria","Cyanobacteria"
"233","ASV746","SRR7282488",0,"IBS","IBS-D","stool","Zhuang","1st","Bacteria","Cyanobacteria"
"234","ASV746","SRR7282507",0,"IBS","IBS-D","stool","Zhuang","1st","Bacteria","Cyanobacteria"
"235","ASV746","SRR7282521",0,"Healthy","HC","stool","Zhuang","1st","Bacteria","Cyanobacteria"
"236","ASV746","SRR7282482",0,"IBS","IBS-D","stool","Zhuang","1st","Bacteria","Cyanobacteria"
"237","ASV746","SRR7282484",0,"IBS","IBS-D","stool","Zhuang","1st","Bacteria","Cyanobacteria"
"238","ASV746","SRR7282503",0,"IBS","IBS-D","stool","Zhuang","1st","Bacteria","Cyanobacteria"
"239","ASV746","SRR7282517",0,"Healthy","HC","stool","Zhuang","1st","Bacteria","Cyanobacteria"
"240","ASV746","SRR7282526",0,"Healthy","HC","stool","Zhuang","1st","Bacteria","Cyanobacteria"
"241","ASV88","SRR7282518",0,"Healthy","HC","stool","Zhuang","1st","Bacteria","Desulfobacterota"
"242","ASV88","SRR7282505",0,"IBS","IBS-D","stool","Zhuang","1st","Bacteria","Desulfobacterota"
"248","ASV88","SRR7282524",0,"Healthy","HC","stool","Zhuang","1st","Bacteria","Desulfobacterota"
"254","ASV88","SRR7282483",0,"IBS","IBS-D","stool","Zhuang","1st","Bacteria","Desulfobacterota"
"264","ASV88","SRR7282503",0,"IBS","IBS-D","stool","Zhuang","1st","Bacteria","Desulfobacterota"
"266","ASV88","SRR7282509",0,"IBS","IBS-D","stool","Zhuang","1st","Bacteria","Desulfobacterota"
