#SampleID	Sex
39_IonXpress_026_rawlib_fil	NA
39_IonXpress_027_rawlib_fil	NA
39_IonXpress_028_rawlib_fil	NA
39_IonXpress_029_rawlib_fil	NA
39_IonXpress_030_rawlib_fil	NA
39_IonXpress_031_rawlib_fil	NA
39_IonXpress_032_rawlib_fil	NA
39_IonXpress_033_rawlib_fil	NA
39_IonXpress_034_rawlib_fil	NA
IonXpress_001_rawlib_fil	F
IonXpress_002_rawlib_fil	F
IonXpress_003_rawlib_fil	M
IonXpress_004_rawlib_fil	M
IonXpress_005_rawlib_fil	M
IonXpress_006_rawlib_fil	M
IonXpress_007_rawlib_fil	M
IonXpress_008_rawlib_fil	M
IonXpress_009_rawlib_fil	F
IonXpress_010_rawlib_fil	F
IonXpress_011_rawlib_fil	F
IonXpress_012_rawlib_fil	F
IonXpress_013_rawlib_fil	F
IonXpress_014_rawlib_fil	F
IonXpress_015_rawlib_fil	F
IonXpress_016_rawlib_fil	F
IonXpress_017_rawlib_fil	F
IonXpress_018_rawlib_fil	F
IonXpress_019_rawlib_fil	F
IonXpress_020_rawlib_fil	F
IonXpress_021_rawlib_fil	F
IonXpress_022_rawlib_fil	F
IonXpress_023_rawlib_fil	M
IonXpress_024_rawlib_fil	M
IonXpress_025_rawlib_fil	F
IonXpress_026_rawlib_fil	F
IonXpress_027_rawlib_fil	F
IonXpress_028_rawlib_fil	F
IonXpress_029_rawlib_fil	F
IonXpress_030_rawlib_fil	F
IonXpress_031_rawlib_fil	M
IonXpress_032_rawlib_fil	M
IonXpress_033_rawlib_fil	F
IonXpress_034_rawlib_fil	F
IonXpress_035_rawlib_fil	F
IonXpress_036_rawlib_fil	F
IonXpress_037_rawlib_fil	F
IonXpress_038_rawlib_fil	F
IonXpress_039_rawlib_fil	F
IonXpress_040_rawlib_fil	F
IonXpress_041_rawlib_fil	M
IonXpress_042_rawlib_fil	M
IonXpress_043_rawlib_fil	M
IonXpress_044_rawlib_fil	M
IonXpress_045_rawlib_fil	F
IonXpress_046_rawlib_fil	F
IonXpress_047_rawlib_fil	M
IonXpress_048_rawlib_fil	M
