run_accession	sample_accession	experiment_accession	study_accession	tax_id	scientific_name	fastq_ftp	submitted_ftp	sra_ftp
SRR7282493	SAMN08393132	SRX4186061	PRJNA475187	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/fastq/SRR728/003/SRR7282493/SRR7282493_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR728/003/SRR7282493/SRR7282493_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR728/003/SRR7282493
SRR7282502	SAMN08392976	SRX4186052	PRJNA475187	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/fastq/SRR728/002/SRR7282502/SRR7282502_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR728/002/SRR7282502/SRR7282502_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR728/002/SRR7282502
SRR7282513	SAMN08393289	SRX4186041	PRJNA475187	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/fastq/SRR728/003/SRR7282513/SRR7282513_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR728/003/SRR7282513/SRR7282513_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR728/003/SRR7282513
SRR7282519	SAMN08389739	SRX4186035	PRJNA475187	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/fastq/SRR728/009/SRR7282519/SRR7282519_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR728/009/SRR7282519/SRR7282519_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR728/009/SRR7282519
SRR7282485	SAMN08390879	SRX4186069	PRJNA475187	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/fastq/SRR728/005/SRR7282485/SRR7282485_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR728/005/SRR7282485/SRR7282485_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR728/005/SRR7282485
SRR7282487	SAMN08390921	SRX4186067	PRJNA475187	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/fastq/SRR728/007/SRR7282487/SRR7282487_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR728/007/SRR7282487/SRR7282487_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR728/007/SRR7282487
SRR7282488	SAMN08390928	SRX4186066	PRJNA475187	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/fastq/SRR728/008/SRR7282488/SRR7282488_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR728/008/SRR7282488/SRR7282488_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR728/008/SRR7282488
SRR7282490	SAMN08390943	SRX4186064	PRJNA475187	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/fastq/SRR728/000/SRR7282490/SRR7282490_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR728/000/SRR7282490/SRR7282490_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR728/000/SRR7282490
SRR7282494	SAMN08393117	SRX4186060	PRJNA475187	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/fastq/SRR728/004/SRR7282494/SRR7282494_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR728/004/SRR7282494/SRR7282494_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR728/004/SRR7282494
SRR7282503	SAMN08392986	SRX4186051	PRJNA475187	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/fastq/SRR728/003/SRR7282503/SRR7282503_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR728/003/SRR7282503/SRR7282503_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR728/003/SRR7282503
SRR7282516	SAMN08393287	SRX4186038	PRJNA475187	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/fastq/SRR728/006/SRR7282516/SRR7282516_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR728/006/SRR7282516/SRR7282516_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR728/006/SRR7282516
SRR7282522	SAMN08389349	SRX4186032	PRJNA475187	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/fastq/SRR728/002/SRR7282522/SRR7282522_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR728/002/SRR7282522/SRR7282522_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR728/002/SRR7282522
SRR7282482	SAMN08390944	SRX4186072	PRJNA475187	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/fastq/SRR728/002/SRR7282482/SRR7282482_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR728/002/SRR7282482/SRR7282482_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR728/002/SRR7282482
SRR7282484	SAMN08390920	SRX4186070	PRJNA475187	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/fastq/SRR728/004/SRR7282484/SRR7282484_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR728/004/SRR7282484/SRR7282484_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR728/004/SRR7282484
SRR7282491	SAMN08390937	SRX4186063	PRJNA475187	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/fastq/SRR728/001/SRR7282491/SRR7282491_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR728/001/SRR7282491/SRR7282491_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR728/001/SRR7282491
SRR7282498	SAMN08393256	SRX4186056	PRJNA475187	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/fastq/SRR728/008/SRR7282498/SRR7282498_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR728/008/SRR7282498/SRR7282498_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR728/008/SRR7282498
SRR7282501	SAMN08393278	SRX4186053	PRJNA475187	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/fastq/SRR728/001/SRR7282501/SRR7282501_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR728/001/SRR7282501/SRR7282501_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR728/001/SRR7282501
SRR7282504	SAMN08392873	SRX4186050	PRJNA475187	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/fastq/SRR728/004/SRR7282504/SRR7282504_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR728/004/SRR7282504/SRR7282504_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR728/004/SRR7282504
SRR7282505	SAMN08392911	SRX4186049	PRJNA475187	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/fastq/SRR728/005/SRR7282505/SRR7282505_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR728/005/SRR7282505/SRR7282505_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR728/005/SRR7282505
SRR7282511	SAMN08390953	SRX4186043	PRJNA475187	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/fastq/SRR728/001/SRR7282511/SRR7282511_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR728/001/SRR7282511/SRR7282511_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR728/001/SRR7282511
SRR7282524	SAMN08389746	SRX4186030	PRJNA475187	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/fastq/SRR728/004/SRR7282524/SRR7282524_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR728/004/SRR7282524/SRR7282524_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR728/004/SRR7282524
SRR7282526	SAMN08389743	SRX4186028	PRJNA475187	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/fastq/SRR728/006/SRR7282526/SRR7282526.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR728/006/SRR7282526/SRR7282526_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR728/006/SRR7282526/SRR7282526_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR728/006/SRR7282526
